Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40884,2023-03-19 5:50:19,2023-03-18 23:50:19,2023-03-19 22:04:26,2023-03-19 16:04:26-06:00,Iridium,46.76475,-113.96452,1540,4.8,3D Validated,Nothing Detected,13,3.2,3.6,Animal with Collar 40884
40884,2022-11-21 2:01:09,2022-11-20 20:01:09,2022-11-21 9:02:17,2022-11-21 02:02:17-07:00,Iridium,46.76474,-113.9642,1555,8.2,3D Validated,Nothing Detected,7,3.2,0,Animal with Collar 40884
40884,2022-11-21 0:00:43,2022-11-20 18:00:43,2022-11-21 9:02:26,2022-11-21 02:02:26-07:00,Iridium,46.76481,-113.96454,1520,3,3D Validated,Nothing Detected,8,3.2,0.16,Animal with Collar 40884
40884,2022-11-20 23:00:42,2022-11-20 17:00:42,2022-11-21 9:02:26,2022-11-21 02:02:26-07:00,Iridium,46.76529,-113.96352,1566,6.8,3D Validated,Nothing Detected,8,3.28,0,Animal with Collar 40884
40884,2022-11-20 22:00:12,2022-11-20 16:00:12,2022-11-21 9:02:26,2022-11-21 02:02:26-07:00,Iridium,46.76536,-113.96365,1548,2.2,3D Validated,Nothing Detected,11,3.28,0,Animal with Collar 40884
40884,2022-11-20 21:02:08,2022-11-20 15:02:08,2022-11-20 21:03:42,2022-11-20 14:03:42-07:00,Iridium,46.76537,-113.96375,1547,3.2,3D Validated,Nothing Detected,18,3.2,0,Animal with Collar 40884
40884,2022-11-20 20:00:40,2022-11-20 14:00:40,2022-11-20 21:03:42,2022-11-20 14:03:42-07:00,Iridium,46.76535,-113.96364,1565,5.4,3D Validated,Nothing Detected,15,3.2,0,Animal with Collar 40884
40884,2022-11-20 19:00:37,2022-11-20 13:00:37,2022-11-20 21:03:42,2022-11-20 14:03:42-07:00,Iridium,46.76521,-113.96359,1569,4.2,3D Validated,Nothing Detected,10,3.2,0,Animal with Collar 40884
40884,2022-11-20 18:00:13,2022-11-20 12:00:13,2022-11-20 21:03:42,2022-11-20 14:03:42-07:00,Iridium,46.76537,-113.96373,1552,3,3D Validated,Nothing Detected,7,3.28,0,Animal with Collar 40884
40884,2022-11-20 17:00:38,2022-11-20 11:00:38,2022-11-21 9:02:59,2022-11-21 02:02:59-07:00,Iridium,46.76535,-113.9637,1543,4.8,3D Validated,Nothing Detected,6,3.28,0,Animal with Collar 40884
40884,2022-11-20 16:00:39,2022-11-20 10:00:39,2022-11-21 9:02:59,2022-11-21 02:02:59-07:00,Iridium,46.76533,-113.9638,1545,2,3D Validated,Nothing Detected,2,3.28,0,Animal with Collar 40884
40884,2022-11-20 15:00:11,2022-11-20 9:00:11,2022-11-21 9:02:59,2022-11-21 02:02:59-07:00,Iridium,46.76535,-113.96391,1554,4.2,3D Validated,Nothing Detected,0,3.28,0,Animal with Collar 40884
40884,2022-11-20 14:00:39,2022-11-20 8:00:39,2022-11-21 9:02:59,2022-11-21 02:02:59-07:00,Iridium,46.76536,-113.96378,1545,4.4,3D Validated,Nothing Detected,0,3.28,0,Animal with Collar 40884
40884,2022-11-20 1:00:56,2022-11-19 19:00:56,2022-11-20 1:01:18,2022-11-19 18:01:18-07:00,Iridium,46.76535,-113.9637,1543,2.4,3D Validated,Nothing Detected,0,3.2,0,Animal with Collar 40884
40884,2022-11-20 0:00:13,2022-11-19 18:00:13,2022-11-20 1:01:18,2022-11-19 18:01:18-07:00,Iridium,46.76537,-113.96376,1538,3.4,3D Validated,Nothing Detected,4,3.28,0,Animal with Collar 40884
40884,2022-11-19 23:00:41,2022-11-19 17:00:41,2022-11-20 1:01:18,2022-11-19 18:01:18-07:00,Iridium,46.76505,-113.96397,1553,5.2,3D Validated,Nothing Detected,7,3.28,0,Animal with Collar 40884
40884,2022-11-19 22:00:25,2022-11-19 16:00:25,2022-11-20 1:01:18,2022-11-19 18:01:18-07:00,Iridium,46.76519,-113.96332,1540,2.2,3D Validated,Nothing Detected,12,3.2,0.08,Animal with Collar 40884
40884,2022-11-19 21:02:08,2022-11-19 15:02:08,2022-11-20 1:01:27,2022-11-19 18:01:27-07:00,Iridium,46.76534,-113.96371,1545,3.2,3D Validated,Nothing Detected,25,3.2,0.48,Animal with Collar 40884
40884,2022-11-19 20:00:38,2022-11-19 14:00:38,2022-11-20 1:01:27,2022-11-19 18:01:27-07:00,Iridium,46.76534,-113.96376,1541,5.4,3D Validated,Nothing Detected,17,3.2,0.08,Animal with Collar 40884
40884,2022-11-19 19:00:40,2022-11-19 13:00:40,2022-11-20 1:01:27,2022-11-19 18:01:27-07:00,Iridium,46.76525,-113.9636,1564,3,3D Validated,Nothing Detected,9,3.2,0.16,Animal with Collar 40884
40884,2022-11-19 18:00:10,2022-11-19 12:00:10,2022-11-20 1:01:27,2022-11-19 18:01:27-07:00,Iridium,46.76534,-113.96375,1544,2.4,3D Validated,Nothing Detected,1,3.28,0,Animal with Collar 40884
40884,2022-11-19 17:00:40,2022-11-19 11:00:40,2022-11-20 1:01:35,2022-11-19 18:01:35-07:00,Iridium,46.76467,-113.96439,1557,2.4,3D Validated,Nothing Detected,-2,3.28,0,Animal with Collar 40884
