Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40884,2023-07-04 05:01:39,2023-07-03 23:01:39-06:00,2023-07-05 22:02:03,2023-07-05 16:02:03-06:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.52,Animal with Collar 40884
40884,2023-07-04 04:00:38,2023-07-03 22:00:38-06:00,2023-07-05 22:02:03,2023-07-05 16:02:03-06:00,Iridium,46.700726,-113.94478,1685,2.6,3D Validated,Nothing Detected,17,3.28,3.52,Animal with Collar 40884
40884,2023-07-04 03:00:36,2023-07-03 21:00:36-06:00,2023-07-05 22:02:03,2023-07-05 16:02:03-06:00,Iridium,46.69985,-113.94411,1672,2.8,3D Validated,Nothing Detected,19,3.28,3.52,Animal with Collar 40884
40884,2023-07-04 02:01:38,2023-07-03 20:01:38-06:00,2023-07-05 22:02:11,2023-07-05 16:02:11-06:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.2,3.52,Animal with Collar 40884
40884,2023-07-04 01:01:38,2023-07-03 19:01:38-06:00,2023-07-05 22:02:11,2023-07-05 16:02:11-06:00,Iridium,,,,0,No Fix,Nothing Detected,25,3.2,3.52,Animal with Collar 40884
40884,2023-07-04 00:01:39,2023-07-03 18:01:39-06:00,2023-07-05 22:02:11,2023-07-05 16:02:11-06:00,Iridium,,,,0,No Fix,Nothing Detected,25,3.2,3.52,Animal with Collar 40884
40884,2023-07-03 23:01:39,2023-07-03 17:01:39-06:00,2023-07-05 22:02:11,2023-07-05 16:02:11-06:00,Iridium,,,,0,No Fix,Nothing Detected,25,3.2,3.52,Animal with Collar 40884
40884,2023-06-28 17:00:38,2023-06-28 11:00:38-06:00,2023-07-05 22:02:18,2023-07-05 16:02:18-06:00,Iridium,46.67361,-114.01603,1116,3.2,3D Validated,Nothing Detected,15,3.28,3.52,Animal with Collar 40884
40884,2023-06-28 16:00:39,2023-06-28 10:00:39-06:00,2023-07-05 22:02:18,2023-07-05 16:02:18-06:00,Iridium,46.756725,-113.94837,1265,4.2,3D Validated,Nothing Detected,13,3.28,3.52,Animal with Collar 40884
40884,2023-06-28 15:01:39,2023-06-28 09:01:39-06:00,2023-07-05 22:02:18,2023-07-05 16:02:18-06:00,Iridium,,,,0,No Fix,Nothing Detected,23,3.2,3.52,Animal with Collar 40884
40884,2023-06-28 14:01:39,2023-06-28 08:01:39-06:00,2023-07-05 22:02:18,2023-07-05 16:02:18-06:00,Iridium,,,,0,No Fix,Nothing Detected,21,3.28,3.52,Animal with Collar 40884
40884,2023-06-28 13:01:39,2023-06-28 07:01:39-06:00,2023-07-06 06:01:13,2023-07-06 00:01:13-06:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.2,3.52,Animal with Collar 40884
40884,2023-06-28 12:00:18,2023-06-28 06:00:18-06:00,2023-07-06 06:01:13,2023-07-06 00:01:13-06:00,Iridium,46.757957,-113.9482,1303,2.2,3D Validated,Nothing Detected,18,3.28,3.52,Animal with Collar 40884
40884,2023-06-28 11:00:38,2023-06-28 05:00:38-06:00,2023-07-06 06:01:13,2023-07-06 00:01:13-06:00,Iridium,46.757942,-113.948074,1305,3.4,3D Validated,Nothing Detected,18,3.28,3.52,Animal with Collar 40884
40884,2023-06-28 10:00:37,2023-06-28 04:00:37-06:00,2023-07-06 06:01:13,2023-07-06 00:01:13-06:00,Iridium,46.75786,-113.94805,1300,4.4,3D Validated,Nothing Detected,23,3.28,3.52,Animal with Collar 40884
40884,2023-06-28 09:00:12,2023-06-28 03:00:12-06:00,2023-07-06 06:01:20,2023-07-06 00:01:20-06:00,Iridium,46.75795,-113.94793,1320,4.2,3D Validated,Nothing Detected,21,3.28,3.52,Animal with Collar 40884
40884,2023-06-28 08:01:06,2023-06-28 02:01:06-06:00,2023-07-06 06:01:20,2023-07-06 00:01:20-06:00,Iridium,46.75787,-113.94797,1329,7.2,3D Validated,Nothing Detected,19,3.28,3.6,Animal with Collar 40884
40884,2023-06-28 07:00:08,2023-06-28 01:00:08-06:00,2023-07-06 06:01:20,2023-07-06 00:01:20-06:00,Iridium,46.757935,-113.948044,1289,2,3D Validated,Nothing Detected,20,3.28,3.52,Animal with Collar 40884
40884,2023-06-28 06:00:37,2023-06-28 00:00:37-06:00,2023-07-06 06:01:20,2023-07-06 00:01:20-06:00,Iridium,46.757854,-113.94805,1306,2.2,3D Validated,Nothing Detected,23,3.28,3.52,Animal with Collar 40884
40884,2023-06-28 05:01:39,2023-06-27 23:01:39-06:00,2023-06-28 05:02:05,2023-06-27 23:02:05-06:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.2,3.52,Animal with Collar 40884
40884,2023-06-28 04:00:38,2023-06-27 22:00:38-06:00,2023-06-28 05:02:05,2023-06-27 23:02:05-06:00,Iridium,46.757923,-113.94807,1296,2.2,3D Validated,Nothing Detected,22,3.28,3.52,Animal with Collar 40884
40884,2023-06-28 03:00:09,2023-06-27 21:00:09-06:00,2023-06-28 05:02:05,2023-06-27 23:02:05-06:00,Iridium,46.75995,-113.95039,1369,2.8,3D Validated,Nothing Detected,23,3.28,3.52,Animal with Collar 40884
