Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
46030,12/6/2024 20:00,2024-12-06 13:00:11-07:00,12/6/2024 20:01,2024-12-06 13:01:13-07:00,Iridium,46.74245,-113.9537,1511,7.2,3D Valid,Nothing Detected,14,3.28,3.6,
46030,12/6/2024 19:01,2024-12-06 12:01:09-07:00,12/6/2024 20:01,2024-12-06 13:01:13-07:00,Iridium,46.7425,-113.95364,1525,3.4,3D Valid,Nothing Detected,13,3.28,3.6,
46030,12/1/2024 20:00,2024-12-01 13:00:38-07:00,12/1/2024 20:01,2024-12-01 13:01:06-07:00,Iridium,46.74242,-113.9537,1531,7.8,3D Valid,Nothing Detected,15,3.28,3.6,
46030,12/1/2024 19:01,2024-12-01 12:01:02-07:00,12/1/2024 20:01,2024-12-01 13:01:06-07:00,Iridium,46.7425,-113.95374,1536,3.2,3D Valid,Nothing Detected,15,3.28,3.6,
46030,11/17/2024 0:00,2024-11-16 17:00:10-07:00,11/17/2024 0:00,2024-11-16 17:00:49-07:00,Iridium,46.74244,-113.95354,1515,4.4,3D Valid,Nothing Detected,11,3.28,3.6,
46030,11/16/2024 23:00,2024-11-16 16:00:35-07:00,11/17/2024 0:00,2024-11-16 17:00:49-07:00,Iridium,46.7433,-113.95264,1534,1.8,3D Valid,Nothing Detected,10,3.36,3.6,
46030,11/16/2024 22:00,2024-11-16 15:00:36-07:00,11/17/2024 0:00,2024-11-16 17:00:49-07:00,Iridium,46.74302,-113.95274,1490,2.8,3D Valid,Nothing Detected,10,3.28,3.6,
46030,11/16/2024 21:00,2024-11-16 14:00:37-07:00,11/17/2024 0:00,2024-11-16 17:00:49-07:00,Iridium,46.74298,-113.95275,1474,3,3D Valid,Nothing Detected,12,3.28,3.6,
46030,11/16/2024 20:00,2024-11-16 13:00:21-07:00,11/17/2024 0:00,2024-11-16 17:00:59-07:00,Iridium,46.74309,-113.95398,1502,5.2,3D Valid,Nothing Detected,10,3.36,3.6,
46030,11/16/2024 19:00,2024-11-16 12:00:10-07:00,11/17/2024 0:00,2024-11-16 17:00:59-07:00,Iridium,46.74301,-113.95399,1485,3,3D Valid,Nothing Detected,11,3.36,3.6,
46030,11/16/2024 18:00,2024-11-16 11:00:36-07:00,11/17/2024 0:00,2024-11-16 17:00:59-07:00,Iridium,46.74305,-113.95388,1515,2.8,3D Valid,Nothing Detected,11,3.36,3.6,
46030,11/16/2024 17:00,2024-11-16 10:00:11-07:00,11/17/2024 0:00,2024-11-16 17:00:59-07:00,Iridium,46.74316,-113.95363,1513,3.2,3D Valid,Nothing Detected,10,3.36,3.6,
46030,11/16/2024 16:00,2024-11-16 09:00:10-07:00,11/17/2024 0:01,2024-11-16 17:01:21-07:00,Iridium,46.74306,-113.95391,1508,2.8,3D Valid,Nothing Detected,9,3.36,3.6,
