Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40889,2021-11-23 18:01:49,2021-11-23 11:01:49-07:00,2022-04-15 21:40:47,2022-04-15 15:40:47-06:00,Iridium,46.72985,-113.96039,1498,3.8,3D Valid,Nothing Detected,12,3.36,3.6,Animal with Collar 40889
40889,2021-11-23 17:02:06,2021-11-23 10:02:06-07:00,2022-04-15 21:40:47,2022-04-15 15:40:47-06:00,Iridium,46.72994,-113.96039,1502,2.8,3D Valid,Nothing Detected,12,3.36,3.6,Animal with Collar 40889
40889,2021-11-23 15:02:06,2021-11-23 08:02:06-07:00,2022-04-15 21:40:57,2022-04-15 15:40:57-06:00,Iridium,46.72986,-113.96041,1500,4.2,3D Valid,Nothing Detected,10,3.36,3.6,Animal with Collar 40889
40889,2021-11-23 14:02:58,2021-11-23 07:02:58-07:00,2022-04-15 21:40:57,2022-04-15 15:40:57-06:00,Iridium,46.72987,-113.96043,1499,8.2,3D,Nothing Detected,11,3.36,3.6,Animal with Collar 40889
40889,2021-11-23 12:00:46,2021-11-23 05:00:46-07:00,2022-04-15 21:40:57,2022-04-15 15:40:57-06:00,Iridium,46.72989,-113.96051,1486,5.6,3D Valid,Nothing Detected,10,3.36,3.6,Animal with Collar 40889
40889,2021-11-23 04:01:36,2021-11-22 21:01:36-07:00,2022-04-15 21:41:11,2022-04-15 15:41:11-06:00,Iridium,46.72993,-113.96053,1495,4.8,3D Valid,Nothing Detected,13,3.36,3.6,Animal with Collar 40889
40889,2021-11-22 22:02:49,2021-11-22 15:02:49-07:00,2022-04-15 21:41:26,2022-04-15 15:41:26-06:00,Iridium,46.72987,-113.96035,1512,4.4,3D,Nothing Detected,17,3.36,3.6,Animal with Collar 40889
40889,2021-11-22 18:02:09,2021-11-22 11:02:09-07:00,2022-04-15 21:41:35,2022-04-15 15:41:35-06:00,Iridium,46.72981,-113.96020,1499,2.8,3D Valid,Nothing Detected,15,3.28,3.6,Animal with Collar 40889
40889,2021-11-18 17:01:06,2021-11-18 10:01:06-07:00,2022-04-16 17:01:17,2022-04-16 11:01:17-06:00,Iridium,46.72978,-113.96031,1502,3.6,3D Valid,Nothing Detected,13,3.28,3.6,Animal with Collar 40889
40889,2021-11-18 16:02:59,2021-11-18 09:02:59-07:00,2021-11-18 16:03:34,2021-11-18 09:03:34-07:00,Iridium,46.72979,-113.96015,1501,7,3D,Nothing Detected,12,3.28,3.6,Animal with Collar 40889
40889,2021-11-18 09:03:00,2021-11-18 02:03:00-07:00,2021-11-18 16:03:54,2021-11-18 09:03:54-07:00,Iridium,46.72984,-113.96039,1490,5.4,3D,Nothing Detected,11,3.36,3.6,Animal with Collar 40889
40889,2021-11-18 07:01:52,2021-11-18 00:01:52-07:00,2021-11-18 16:04:13,2021-11-18 09:04:13-07:00,Iridium,46.72984,-113.96056,1490,7.4,3D,Nothing Detected,10,3.36,3.6,Animal with Collar 40889
40889,2021-11-17 17:00:09,2021-11-17 10:00:09-07:00,2021-11-18 16:05:19,2021-11-18 09:05:19-07:00,Iridium,46.72990,-113.96043,1503,3.8,3D Valid,Nothing Detected,9,3.28,3.6,Animal with Collar 40889
40889,2021-11-17 16:00:36,2021-11-17 09:00:36-07:00,2021-11-17 16:01:01,2021-11-17 09:01:01-07:00,Iridium,46.72985,-113.96042,1512,2.8,3D Valid,Nothing Detected,10,3.36,3.6,Animal with Collar 40889
40889,2021-11-17 15:01:32,2021-11-17 08:01:32-07:00,2021-11-17 16:01:01,2021-11-17 09:01:01-07:00,Iridium,46.72986,-113.96041,1500,4.4,3D Valid,Nothing Detected,9,3.36,3.6,Animal with Collar 40889
40889,2021-11-17 12:00:40,2021-11-17 05:00:40-07:00,2021-11-17 16:01:10,2021-11-17 09:01:10-07:00,Iridium,46.72988,-113.96027,1511,6.4,3D Valid,Nothing Detected,6,3.36,3.6,Animal with Collar 40889
