Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40881,2023-11-30 07:00:39,2023-11-30 00:00:39-07:00,2024-03-21 14:01:47,2024-03-21 08:01:47-06:00,Iridium,46.64779,-113.91956,1361,4.2,3D Valid,Nothing Detected,6,3.28,3.6,Animal with Collar 40881
40881,2023-11-30 06:02:55,2023-11-29 23:02:55-07:00,2024-03-21 14:01:47,2024-03-21 08:01:47-06:00,Iridium,46.64784,-113.91959,1378,4,3D,Nothing Detected,5,3.28,3.6,Animal with Collar 40881
40881,2023-11-27 20:03:00,2023-11-27 13:03:00-07:00,2024-03-21 14:04:41,2024-03-21 08:04:41-06:00,Iridium,46.64803,-113.91962,1386,7,3D,Nothing Detected,8,3.28,3.6,Animal with Collar 40881
40881,2023-11-26 07:01:31,2023-11-26 00:01:31-07:00,2024-03-21 18:01:29,2024-03-21 12:01:29-06:00,Iridium,46.64772,-113.91959,1358,4,3D Valid,Nothing Detected,8,3.28,3.6,Animal with Collar 40881
40881,2023-11-15 22:01:04,2023-11-15 15:01:04-07:00,2024-03-23 06:01:11,2024-03-23 00:01:11-06:00,Iridium,46.64787,-113.91968,1383,7,3D Valid,Nothing Detected,18,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 16:00:37,2023-11-04 10:00:37-06:00,2024-03-26 14:02:14,2024-03-26 08:02:14-06:00,Iridium,46.64780,-113.91975,1379,2.6,3D Valid,Nothing Detected,10,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 15:00:16,2023-11-04 09:00:16-06:00,2024-03-26 14:02:14,2024-03-26 08:02:14-06:00,Iridium,46.64770,-113.91969,1395,2.6,3D Valid,Nothing Detected,9,3.36,3.6,Animal with Collar 40881
40881,2023-11-04 14:00:10,2023-11-04 08:00:10-06:00,2023-11-04 14:00:39,2023-11-04 08:00:39-06:00,Iridium,46.64795,-113.91973,1386,3.2,3D Valid,Nothing Detected,9,3.36,3.6,Animal with Collar 40881
40881,2023-11-04 13:00:38,2023-11-04 07:00:38-06:00,2023-11-04 14:00:39,2023-11-04 08:00:39-06:00,Iridium,46.64785,-113.91971,1372,2.4,3D Valid,Nothing Detected,6,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 12:00:10,2023-11-04 06:00:10-06:00,2023-11-04 14:00:39,2023-11-04 08:00:39-06:00,Iridium,46.64772,-113.91970,1366,2.2,3D Valid,Nothing Detected,5,3.36,3.6,Animal with Collar 40881
40881,2023-11-04 11:00:36,2023-11-04 05:00:36-06:00,2023-11-04 14:00:39,2023-11-04 08:00:39-06:00,Iridium,46.64785,-113.91972,1377,2.6,3D Valid,Nothing Detected,7,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 10:00:37,2023-11-04 04:00:37-06:00,2023-11-04 14:00:48,2023-11-04 08:00:48-06:00,Iridium,46.64777,-113.91975,1366,2,3D Valid,Nothing Detected,9,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 09:00:19,2023-11-04 03:00:19-06:00,2023-11-04 14:00:48,2023-11-04 08:00:48-06:00,Iridium,46.64782,-113.91965,1375,3.2,3D Valid,Nothing Detected,10,3.36,3.6,Animal with Collar 40881
40881,2023-11-04 08:00:36,2023-11-04 02:00:36-06:00,2023-11-04 14:00:48,2023-11-04 08:00:48-06:00,Iridium,46.64785,-113.91972,1377,2.8,3D Valid,Nothing Detected,10,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 07:00:10,2023-11-04 01:00:10-06:00,2023-11-04 14:00:48,2023-11-04 08:00:48-06:00,Iridium,46.64800,-113.91968,1383,5.2,3D Valid,Nothing Detected,11,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 06:00:38,2023-11-04 00:00:38-06:00,2023-11-04 06:01:04,2023-11-04 00:01:04-06:00,Iridium,46.64782,-113.91975,1374,2.2,3D Valid,Nothing Detected,12,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 05:00:36,2023-11-03 23:00:36-06:00,2023-11-04 06:01:04,2023-11-04 00:01:04-06:00,Iridium,46.64784,-113.91974,1370,3.6,3D Valid,Nothing Detected,12,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 04:00:12,2023-11-03 22:00:12-06:00,2023-11-04 06:01:04,2023-11-04 00:01:04-06:00,Iridium,46.64776,-113.91975,1367,2.6,3D Valid,Nothing Detected,12,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 03:00:36,2023-11-03 21:00:36-06:00,2023-11-04 06:01:04,2023-11-04 00:01:04-06:00,Iridium,46.64788,-113.91974,1374,2,3D Valid,Nothing Detected,15,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 02:00:37,2023-11-03 20:00:37-06:00,2023-11-04 06:01:41,2023-11-04 00:01:41-06:00,Iridium,46.64784,-113.91978,1368,4.2,3D Valid,Nothing Detected,21,3.28,3.52,Animal with Collar 40881
40881,2023-11-04 01:01:03,2023-11-03 19:01:03-06:00,2023-11-04 06:01:41,2023-11-04 00:01:41-06:00,Iridium,46.64817,-113.91962,1412,4.8,3D Valid,Nothing Detected,18,3.28,3.6,Animal with Collar 40881
40881,2023-11-04 00:00:12,2023-11-03 18:00:12-06:00,2023-11-04 06:01:41,2023-11-04 00:01:41-06:00,Iridium,46.64775,-113.91962,1354,3.2,3D Valid,Nothing Detected,16,3.28,3.6,Animal with Collar 40881
40881,2023-11-03 23:00:33,2023-11-03 17:00:33-06:00,2023-11-04 06:01:41,2023-11-04 00:01:41-06:00,Iridium,46.64786,-113.91956,1398,2.2,3D Valid,Nothing Detected,17,3.28,3.6,Animal with Collar 40881
40881,2023-11-03 22:00:12,2023-11-03 16:00:12-06:00,2023-11-04 06:01:54,2023-11-04 00:01:54-06:00,Iridium,46.64787,-113.91974,1373,4.4,3D Valid,Nothing Detected,18,3.28,3.52,Animal with Collar 40881
40881,2023-11-03 21:01:08,2023-11-03 15:01:08-06:00,2023-11-04 06:01:54,2023-11-04 00:01:54-06:00,Iridium,46.64785,-113.91944,1375,3.2,3D Valid,Nothing Detected,18,3.28,3.6,Animal with Collar 40881
40881,2023-10-27 14:01:26,2023-10-27 08:01:26-06:00,2024-03-28 02:02:48,2024-03-27 20:02:48-06:00,Iridium,46.64780,-113.91962,1366,5.2,3D Valid,Nothing Detected,5,3.28,3.6,Animal with Collar 40881
40881,2023-10-27 13:01:32,2023-10-27 07:01:32-06:00,2024-03-28 02:02:55,2024-03-27 20:02:55-06:00,Iridium,46.64785,-113.91960,1371,5.2,3D Valid,Nothing Detected,8,3.28,3.6,Animal with Collar 40881
40881,2023-10-26 07:00:45,2023-10-26 01:00:45-06:00,2024-03-28 06:01:00,2024-03-28 00:01:00-06:00,Iridium,46.64776,-113.91963,1359,6.8,3D Valid,Nothing Detected,6,3.36,3.6,Animal with Collar 40881
40881,2023-10-26 06:00:37,2023-10-26 00:00:37-06:00,2024-03-28 06:01:00,2024-03-28 00:01:00-06:00,Iridium,46.64776,-113.91960,1367,2.8,3D Valid,Nothing Detected,6,3.28,3.6,Animal with Collar 40881
40881,2023-10-26 04:03:00,2023-10-25 22:03:00-06:00,2024-03-28 06:01:00,2024-03-28 00:01:00-06:00,Iridium,46.64781,-113.91946,1378,11,3D,Nothing Detected,5,3.28,3.6,Animal with Collar 40881
40881,2023-10-26 03:00:39,2023-10-25 21:00:39-06:00,2024-03-28 06:01:11,2024-03-28 00:01:11-06:00,Iridium,46.64784,-113.91970,1365,5.2,3D Valid,Nothing Detected,9,3.36,3.6,Animal with Collar 40881
40881,2023-10-25 23:00:42,2023-10-25 17:00:42-06:00,2024-03-28 06:01:23,2024-03-28 00:01:23-06:00,Iridium,46.64784,-113.91960,1376,4.2,3D Valid,Nothing Detected,8,3.28,3.6,Animal with Collar 40881
