Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
46031,2024-04-18 05:44:37,2024-04-17 23:44:37-06:00,2024-04-18 05:46:17,2024-04-17 23:46:17-06:00,Iridium,46.67473,-113.89716,1662,4,3D Valid,Mortality,-5,3.28,3.6,
46031,2024-04-18 05:14:23,2024-04-17 23:14:23-06:00,2024-04-18 05:46:17,2024-04-17 23:46:17-06:00,Iridium,46.67473,-113.89726,1661,4.4,3D Valid,Mortality,-5,3.2,3.6,
46031,2024-04-18 04:44:41,2024-04-17 22:44:41-06:00,2024-04-18 04:45:05,2024-04-17 22:45:05-06:00,Iridium,46.67476,-113.89722,1653,3.2,3D Valid,Mortality,-5,3.2,3.6,
46031,2024-04-18 04:14:24,2024-04-17 22:14:24-06:00,2024-04-18 04:45:05,2024-04-17 22:45:05-06:00,Iridium,46.67472,-113.89713,1662,2.2,3D Valid,Mortality,-4,3.28,3.6,
46031,2024-04-18 03:44:25,2024-04-17 21:44:25-06:00,2024-04-18 03:45:09,2024-04-17 21:45:09-06:00,Iridium,46.67473,-113.89713,1664,2.8,3D Valid,Mortality,-4,3.28,3.6,
46031,2024-04-18 03:00:09,2024-04-17 21:00:09-06:00,2024-04-18 03:45:09,2024-04-17 21:45:09-06:00,Iridium,46.67471,-113.89706,1664,2.6,3D Valid,Nothing Detected,-3,3.28,3.6,
46031,2024-04-18 02:00:36,2024-04-17 20:00:36-06:00,2024-04-18 03:45:09,2024-04-17 21:45:09-06:00,Iridium,46.67471,-113.89705,1667,1.6,3D Valid,Nothing Detected,-1,3.28,3.6,
46031,2024-04-18 01:00:09,2024-04-17 19:00:09-06:00,2024-04-18 01:01:02,2024-04-17 19:01:02-06:00,Iridium,46.67473,-113.89712,1659,3.6,3D Valid,Nothing Detected,0,3.28,3.6,
46031,2024-04-18 00:00:37,2024-04-17 18:00:37-06:00,2024-04-18 01:01:02,2024-04-17 19:01:02-06:00,Iridium,46.67471,-113.89706,1655,3.6,3D Valid,Nothing Detected,0,3.28,3.6,
46031,2024-04-17 23:00:09,2024-04-17 17:00:09-06:00,2024-04-18 01:01:02,2024-04-17 19:01:02-06:00,Iridium,46.67473,-113.89708,1661,5.4,3D Valid,Nothing Detected,2,3.28,3.6,
46031,2024-04-17 22:00:10,2024-04-17 16:00:10-06:00,2024-04-18 01:01:02,2024-04-17 19:01:02-06:00,Iridium,46.67468,-113.89695,1645,3.8,3D Valid,Nothing Detected,5,3.28,3.6,
46031,2024-04-17 21:00:36,2024-04-17 15:00:36-06:00,2024-04-17 21:00:59,2024-04-17 15:00:59-06:00,Iridium,46.67470,-113.89709,1664,2.4,3D Valid,Nothing Detected,7,3.28,3.6,
46031,2024-04-17 20:00:10,2024-04-17 14:00:10-06:00,2024-04-17 21:00:59,2024-04-17 15:00:59-06:00,Iridium,46.67472,-113.89707,1663,2.4,3D Valid,Nothing Detected,7,3.28,3.6,
46031,2024-04-17 19:00:38,2024-04-17 13:00:38-06:00,2024-04-17 21:00:59,2024-04-17 15:00:59-06:00,Iridium,46.67474,-113.89712,1661,2,3D Valid,Nothing Detected,4,3.28,3.6,
46031,2024-04-17 18:00:09,2024-04-17 12:00:09-06:00,2024-04-17 21:00:59,2024-04-17 15:00:59-06:00,Iridium,46.67472,-113.89714,1660,8.8,3D Valid,Nothing Detected,0,3.28,3.6,
46031,2024-04-17 17:00:36,2024-04-17 11:00:36-06:00,2024-04-17 17:01:04,2024-04-17 11:01:04-06:00,Iridium,46.67475,-113.89704,1659,1.6,3D Valid,Nothing Detected,0,3.28,3.6,
