Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
89200,2024-10-21 16:00:10,2024-10-21 10:00:10-06:00,2024-10-21 16:00:35,2024-10-21 10:00:35-06:00,Iridium,46.68359,-113.88538,1802,3.8,3D Valid,Nothing Detected,14,3.44,3.68,
89200,2024-10-21 15:00:38,2024-10-21 09:00:38-06:00,2024-10-21 16:00:35,2024-10-21 10:00:35-06:00,Iridium,46.68364,-113.88547,1813,2.2,3D Valid,Nothing Detected,13,3.44,3.6,
89200,2024-10-21 14:00:36,2024-10-21 08:00:36-06:00,2024-10-21 16:00:35,2024-10-21 10:00:35-06:00,Iridium,46.68354,-113.88541,1846,2.8,3D Valid,Nothing Detected,14,3.44,3.68,
89200,2024-10-21 13:00:11,2024-10-21 07:00:11-06:00,2024-10-21 16:00:35,2024-10-21 10:00:35-06:00,Iridium,46.68355,-113.88545,1814,3,3D Valid,Nothing Detected,13,3.44,3.68,
89200,2024-10-21 12:00:38,2024-10-21 06:00:38-06:00,2024-10-21 12:01:32,2024-10-21 06:01:32-06:00,Iridium,46.68366,-113.88546,1833,2,3D Valid,Nothing Detected,14,3.44,3.68,
89200,2024-10-21 11:00:15,2024-10-21 05:00:15-06:00,2024-10-21 12:01:32,2024-10-21 06:01:32-06:00,Iridium,46.68386,-113.88527,1833,3.4,3D Valid,Nothing Detected,14,3.44,3.6,
89200,2024-10-21 10:00:38,2024-10-21 04:00:38-06:00,2024-10-21 12:01:32,2024-10-21 06:01:32-06:00,Iridium,46.68362,-113.88560,1837,2.4,3D Valid,Nothing Detected,16,3.44,3.6,
89200,2024-10-21 09:00:11,2024-10-21 03:00:11-06:00,2024-10-21 12:01:32,2024-10-21 06:01:32-06:00,Iridium,46.68356,-113.88547,1826,5.8,3D Valid,Nothing Detected,13,3.44,3.6,
89200,2024-10-21 08:00:38,2024-10-21 02:00:38-06:00,2024-10-21 16:00:44,2024-10-21 10:00:44-06:00,Iridium,46.68361,-113.88546,1835,3,3D Valid,Nothing Detected,13,3.44,3.6,
89200,2024-10-21 07:00:11,2024-10-21 01:00:11-06:00,2024-10-21 16:00:44,2024-10-21 10:00:44-06:00,Iridium,46.68351,-113.88542,1868,2,3D Valid,Nothing Detected,14,3.44,3.6,
89200,2024-10-21 06:00:37,2024-10-21 00:00:37-06:00,2024-10-21 16:00:44,2024-10-21 10:00:44-06:00,Iridium,46.68360,-113.88556,1867,1.8,3D Valid,Nothing Detected,13,3.44,3.6,
89200,2024-10-21 05:00:16,2024-10-20 23:00:16-06:00,2024-10-21 16:00:44,2024-10-21 10:00:44-06:00,Iridium,46.68349,-113.88577,1829,6.4,3D Valid,Nothing Detected,12,3.44,3.68,
89200,2024-10-21 04:00:38,2024-10-20 22:00:38-06:00,2024-10-21 16:00:57,2024-10-21 10:00:57-06:00,Iridium,46.68399,-113.88557,1793,4.2,3D Valid,Nothing Detected,14,3.44,3.6,
89200,2024-10-21 03:00:13,2024-10-20 21:00:13-06:00,2024-10-21 16:00:57,2024-10-21 10:00:57-06:00,Iridium,46.68382,-113.88554,1755,8,3D Valid,Nothing Detected,13,3.44,3.6,
89200,2024-10-21 02:00:44,2024-10-20 20:00:44-06:00,2024-10-21 16:00:57,2024-10-21 10:00:57-06:00,Iridium,46.68362,-113.88541,1818,3.2,3D Valid,Nothing Detected,15,3.44,3.6,
89200,2024-10-21 01:00:13,2024-10-20 19:00:13-06:00,2024-10-21 16:00:57,2024-10-21 10:00:57-06:00,Iridium,46.68362,-113.88545,1804,1.8,3D Valid,Nothing Detected,18,3.44,3.6,
89200,2024-10-21 00:17:15,2024-10-20 18:17:15-06:00,2024-10-21 00:18:04,2024-10-20 18:18:04-06:00,Iridium,46.68366,-113.88551,1808,3,3D Valid,Nothing Detected,20,3.44,3.6,
89200,2024-10-18 17:01:42,2024-10-18 11:01:42-06:00,2024-10-21 16:01:20,2024-10-21 10:01:20-06:00,Iridium,46.68360,-113.88550,1817,6,3D Valid,Nothing Detected,13,3.44,3.68,
