Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
89194,2023-12-07 06:01:06,2023-12-06 23:01:06-07:00,2023-12-07 06:02:09,2023-12-06 23:02:09-07:00,Iridium,46.86169,-113.99815,974,3.4,3D Valid,Nothing Detected,18,3.44,3.6,
89194,2023-12-07 05:00:39,2023-12-06 22:00:39-07:00,2023-12-07 06:02:09,2023-12-06 23:02:09-07:00,Iridium,46.86185,-113.99832,999,3,3D Valid,Nothing Detected,18,3.44,3.6,
89194,2023-12-07 04:00:43,2023-12-06 21:00:43-07:00,2023-12-07 06:02:09,2023-12-06 23:02:09-07:00,Iridium,46.86158,-113.99853,945,3.2,3D Valid,Nothing Detected,18,3.44,3.6,
89194,2023-12-07 03:00:56,2023-12-06 20:00:56-07:00,2023-12-07 06:02:09,2023-12-06 23:02:09-07:00,Iridium,46.86168,-113.99799,983,2.2,3D Valid,Nothing Detected,18,3.44,3.6,
89194,2023-12-06 17:42:46,2023-12-06 10:42:46-07:00,2023-12-06 17:44:17,2023-12-06 10:44:17-07:00,Iridium,46.67217,-113.89918,1616,6.4,3D Valid,Nothing Detected,17,3.44,3.6,
89194,2023-10-02 07:01:00,2023-10-02 01:01:00-06:00,2023-10-02 07:02:41,2023-10-02 01:02:41-06:00,Iridium,46.67090,-113.89865,1599,7.4,3D Valid,Nothing Detected,17,3.44,3.6,
89194,2023-10-02 06:00:18,2023-10-02 00:00:18-06:00,2023-10-02 07:02:41,2023-10-02 01:02:41-06:00,Iridium,46.67078,-113.89861,1567,3.4,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-10-02 05:00:13,2023-10-01 23:00:13-06:00,2023-10-02 07:02:41,2023-10-02 01:02:41-06:00,Iridium,46.67086,-113.89870,1575,4.2,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-10-02 04:00:33,2023-10-01 22:00:33-06:00,2023-10-02 07:02:41,2023-10-02 01:02:41-06:00,Iridium,46.67082,-113.89879,1598,2.4,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-10-02 03:00:39,2023-10-01 21:00:39-06:00,2023-10-02 07:02:52,2023-10-02 01:02:52-06:00,Iridium,46.67081,-113.89870,1591,3.8,3D Valid,Nothing Detected,17,3.44,3.6,
89194,2023-10-02 02:00:36,2023-10-01 20:00:36-06:00,2023-10-02 07:02:52,2023-10-02 01:02:52-06:00,Iridium,46.67086,-113.89873,1597,3,3D Valid,Nothing Detected,15,3.44,3.6,
89194,2023-10-02 01:00:55,2023-10-01 19:00:55-06:00,2023-10-02 07:02:52,2023-10-02 01:02:52-06:00,Iridium,46.67076,-113.89883,1583,3.6,3D Valid,Nothing Detected,15,3.44,3.6,
89194,2023-10-02 00:00:36,2023-10-01 18:00:36-06:00,2023-10-02 07:02:52,2023-10-02 01:02:52-06:00,Iridium,46.67094,-113.89900,1616,3.6,3D Valid,Nothing Detected,18,3.44,3.6,
89194,2023-10-01 23:00:36,2023-10-01 17:00:36-06:00,2023-10-01 23:02:02,2023-10-01 17:02:02-06:00,Iridium,46.67099,-113.89893,1561,4.6,3D Valid,Nothing Detected,18,3.44,3.6,
89194,2023-10-01 22:00:44,2023-10-01 16:00:44-06:00,2023-10-01 23:02:02,2023-10-01 17:02:02-06:00,Iridium,46.67087,-113.89874,1582,6.4,3D Valid,Nothing Detected,19,3.44,3.6,
89194,2023-10-01 21:00:15,2023-10-01 15:00:15-06:00,2023-10-01 23:02:02,2023-10-01 17:02:02-06:00,Iridium,46.67088,-113.89882,1590,5.4,3D Valid,Nothing Detected,18,3.44,3.6,
89194,2023-10-01 20:00:38,2023-10-01 14:00:38-06:00,2023-10-01 23:02:02,2023-10-01 17:02:02-06:00,Iridium,46.67081,-113.89871,1611,3.2,3D Valid,Nothing Detected,18,3.44,3.6,
89194,2023-10-01 19:00:13,2023-10-01 13:00:13-06:00,2023-10-01 23:02:12,2023-10-01 17:02:12-06:00,Iridium,46.67097,-113.89863,1585,2,3D Valid,Nothing Detected,17,3.44,3.6,
89194,2023-10-01 18:00:42,2023-10-01 12:00:42-06:00,2023-10-01 23:02:12,2023-10-01 17:02:12-06:00,Iridium,46.67088,-113.89877,1590,2.2,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-10-01 17:00:12,2023-10-01 11:00:12-06:00,2023-10-01 23:02:12,2023-10-01 17:02:12-06:00,Iridium,46.67097,-113.89877,1607,7.6,3D Valid,Nothing Detected,15,3.44,3.6,
89194,2023-10-01 16:00:38,2023-10-01 10:00:38-06:00,2023-10-01 23:02:12,2023-10-01 17:02:12-06:00,Iridium,46.67099,-113.89879,1575,3,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-10-01 15:05:56,2023-10-01 09:05:56-06:00,2023-10-01 23:02:20,2023-10-01 17:02:20-06:00,Iridium,46.67094,-113.89880,1574,3.6,3D Valid,Nothing Detected,17,3.44,3.6,
89194,2023-09-30 15:00:12,2023-09-30 09:00:12-06:00,2023-10-01 23:02:20,2023-10-01 17:02:20-06:00,Iridium,46.67068,-113.89861,1640,8,3D Valid,Nothing Detected,15,3.44,3.6,
89194,2023-09-30 14:00:44,2023-09-30 08:00:44-06:00,2023-10-01 23:02:20,2023-10-01 17:02:20-06:00,Iridium,46.67088,-113.89873,1592,2.2,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 13:00:33,2023-09-30 07:00:33-06:00,2023-10-01 23:02:20,2023-10-01 17:02:20-06:00,Iridium,46.67091,-113.89881,1581,5.4,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 12:00:36,2023-09-30 06:00:36-06:00,2023-09-30 12:01:06,2023-09-30 06:01:06-06:00,Iridium,46.67090,-113.89874,1579,3.2,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 11:00:36,2023-09-30 05:00:36-06:00,2023-09-30 12:01:06,2023-09-30 06:01:06-06:00,Iridium,46.67092,-113.89878,1583,3.4,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 10:00:36,2023-09-30 04:00:36-06:00,2023-09-30 12:01:06,2023-09-30 06:01:06-06:00,Iridium,46.67089,-113.89857,1605,3,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 09:00:37,2023-09-30 03:00:37-06:00,2023-09-30 12:01:06,2023-09-30 06:01:06-06:00,Iridium,46.67084,-113.89871,1586,3.4,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 08:00:12,2023-09-30 02:00:12-06:00,2023-09-30 08:00:38,2023-09-30 02:00:38-06:00,Iridium,46.67092,-113.89871,1574,5.2,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 07:00:46,2023-09-30 01:00:46-06:00,2023-09-30 08:00:38,2023-09-30 02:00:38-06:00,Iridium,46.67097,-113.89866,1571,6,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 06:00:13,2023-09-30 00:00:13-06:00,2023-09-30 08:00:38,2023-09-30 02:00:38-06:00,Iridium,46.67090,-113.89907,1544,5,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 05:00:11,2023-09-29 23:00:11-06:00,2023-09-30 08:00:38,2023-09-30 02:00:38-06:00,Iridium,46.67090,-113.89874,1579,2.8,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 04:00:37,2023-09-29 22:00:37-06:00,2023-09-30 04:01:00,2023-09-29 22:01:00-06:00,Iridium,46.67086,-113.89865,1595,2.4,3D Valid,Nothing Detected,16,3.44,3.6,
89194,2023-09-30 03:00:14,2023-09-29 21:00:14-06:00,2023-09-30 04:01:00,2023-09-29 22:01:00-06:00,Iridium,46.67091,-113.89880,1589,2.8,3D Valid,Nothing Detected,18,3.44,3.6,
89194,2023-09-30 02:00:38,2023-09-29 20:00:38-06:00,2023-09-30 04:01:00,2023-09-29 22:01:00-06:00,Iridium,46.67098,-113.89869,1598,2.8,3D Valid,Nothing Detected,18,3.36,3.6,
89194,2023-09-30 01:00:15,2023-09-29 19:00:15-06:00,2023-09-30 04:01:00,2023-09-29 22:01:00-06:00,Iridium,46.67086,-113.89865,1602,5.2,3D Valid,Nothing Detected,19,3.36,3.6,
89194,2023-09-30 00:00:38,2023-09-29 18:00:38-06:00,2023-09-30 00:01:07,2023-09-29 18:01:07-06:00,Iridium,46.67097,-113.89874,1600,6.4,3D Valid,Nothing Detected,22,3.44,3.6,
89194,2023-09-29 23:00:19,2023-09-29 17:00:19-06:00,2023-09-30 00:01:07,2023-09-29 18:01:07-06:00,Iridium,46.67097,-113.89872,1605,3.2,3D Valid,Nothing Detected,23,3.36,3.6,
89194,2023-09-29 22:00:42,2023-09-29 16:00:42-06:00,2023-09-30 00:01:07,2023-09-29 18:01:07-06:00,Iridium,46.67082,-113.89872,1601,2.4,3D Valid,Nothing Detected,24,3.36,3.6,
89194,2023-09-29 21:00:23,2023-09-29 15:00:23-06:00,2023-09-30 00:01:07,2023-09-29 18:01:07-06:00,Iridium,46.67106,-113.89906,1601,3.2,3D Valid,Nothing Detected,27,3.36,3.6,
89194,2023-09-29 20:00:38,2023-09-29 14:00:38-06:00,2023-09-30 00:01:15,2023-09-29 18:01:15-06:00,Iridium,46.67089,-113.89873,1599,3.6,3D Valid,Nothing Detected,23,3.36,3.6,
