Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40906,2022-10-05 18:14:51,2022-10-05 12:14:51,2022-10-05 18:15:12,2022-10-05 12:15:12-06:00,Iridium,46.71528,-113.95204,1688,4.6,3D Validated,Mortality No Radius,18,3.36,3.6,Animal with Collar 40906
40906,2022-10-05 17:44:52,2022-10-05 11:44:52,2022-10-05 17:45:17,2022-10-05 11:45:17-06:00,Iridium,46.71528,-113.95209,1688,1.8,3D Validated,Mortality No Radius,20,3.36,3.6,Animal with Collar 40906
40906,2022-10-05 17:15:08,2022-10-05 11:15:08,2022-10-05 17:15:36,2022-10-05 11:15:36-06:00,Iridium,46.71524,-113.95206,1700,2,3D Validated,Mortality No Radius,20,3.28,3.6,Animal with Collar 40906
40906,2022-10-05 16:44:56,2022-10-05 10:44:56,2022-10-05 16:45:26,2022-10-05 10:45:26-06:00,Iridium,46.71541,-113.9524,1705,2.4,3D Validated,Mortality No Radius,17,3.28,3.6,Animal with Collar 40906
40906,2022-10-05 16:14:54,2022-10-05 10:14:54,2022-10-05 16:15:54,2022-10-05 10:15:54-06:00,Iridium,46.7152,-113.95208,1696,1.6,3D Validated,Mortality No Radius,13,3.28,3.6,Animal with Collar 40906
40906,2022-10-05 16:00:09,2022-10-05 10:00:09,2022-10-05 16:00:47,2022-10-05 10:00:47-06:00,Iridium,46.7152,-113.95208,1696,1.8,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40906
40906,2022-10-05 15:00:10,2022-10-05 9:00:10,2022-10-05 16:00:47,2022-10-05 10:00:47-06:00,Iridium,46.71529,-113.95208,1701,2,3D Validated,Nothing Detected,9,3.28,3.6,Animal with Collar 40906
40906,2022-10-05 14:00:37,2022-10-05 8:00:37,2022-10-05 16:00:47,2022-10-05 10:00:47-06:00,Iridium,46.71528,-113.95207,1696,1.4,3D Validated,Nothing Detected,6,3.28,3.6,Animal with Collar 40906
40906,2022-10-05 13:00:13,2022-10-05 7:00:13,2022-10-05 16:00:47,2022-10-05 10:00:47-06:00,Iridium,46.71509,-113.95177,1738,8.6,3D Validated,Nothing Detected,6,3.28,3.6,Animal with Collar 40906
40906,2022-10-05 12:00:08,2022-10-05 6:00:08,2022-10-05 12:00:33,2022-10-05 06:00:33-06:00,Iridium,46.71523,-113.95213,1693,1.8,3D Validated,Nothing Detected,7,3.28,3.6,Animal with Collar 40906
40906,2022-10-05 11:00:38,2022-10-05 5:00:38,2022-10-05 12:00:33,2022-10-05 06:00:33-06:00,Iridium,46.71525,-113.952,1686,1.6,3D Validated,Nothing Detected,7,3.28,3.6,Animal with Collar 40906
40906,2022-10-05 10:00:12,2022-10-05 4:00:12,2022-10-05 12:00:33,2022-10-05 06:00:33-06:00,Iridium,46.71538,-113.95209,1686,6.2,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40906
40906,2022-10-05 9:00:11,2022-10-05 3:00:11,2022-10-05 12:00:33,2022-10-05 06:00:33-06:00,Iridium,46.7152,-113.95207,1680,3,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40906
