Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40882,2024-08-21 05:00:38,2024-08-20 23:00:38-06:00,2024-08-21 13:01:22,2024-08-21 07:01:22-06:00,Iridium,46.65054,-113.95139,1189,3.8,3D Valid,Mortality,10,3.28,3.6,Animal with Collar 40882
40882,2024-08-21 04:00:36,2024-08-20 22:00:36-06:00,2024-08-21 13:01:22,2024-08-21 07:01:22-06:00,Iridium,46.65050,-113.95142,1176,2.2,3D Valid,Mortality,12,3.28,3.6,Animal with Collar 40882
40882,2024-08-21 03:00:39,2024-08-20 21:00:39-06:00,2024-08-21 13:01:22,2024-08-21 07:01:22-06:00,Iridium,46.65043,-113.95145,1167,6,3D Valid,Mortality,15,3.28,3.6,Animal with Collar 40882
40882,2024-08-21 02:00:15,2024-08-20 20:00:15-06:00,2024-08-21 13:01:22,2024-08-21 07:01:22-06:00,Iridium,46.65075,-113.95138,1210,5.4,3D Valid,Mortality,17,3.28,3.6,Animal with Collar 40882
40882,2024-08-21 01:00:38,2024-08-20 19:00:38-06:00,2024-08-21 13:01:31,2024-08-21 07:01:31-06:00,Iridium,46.65049,-113.95138,1180,3.8,3D Valid,Mortality,20,3.28,3.6,Animal with Collar 40882
40882,2024-08-21 00:02:58,2024-08-20 18:02:58-06:00,2024-08-21 13:01:31,2024-08-21 07:01:31-06:00,Iridium,46.65051,-113.95141,1174,5.8,3D,Mortality,26,3.28,3.6,Animal with Collar 40882
40882,2024-08-20 23:00:26,2024-08-20 17:00:26-06:00,2024-08-21 13:01:31,2024-08-21 07:01:31-06:00,Iridium,46.65044,-113.95127,1179,4.2,3D Valid,Mortality,35,3.36,3.6,Animal with Collar 40882
40882,2024-08-20 22:01:02,2024-08-20 16:01:02-06:00,2024-08-21 13:01:31,2024-08-21 07:01:31-06:00,Iridium,46.65053,-113.95139,1181,3.8,3D Valid,Mortality,42,3.28,3.6,Animal with Collar 40882
40882,2024-08-20 20:35:25,2024-08-20 14:35:25-06:00,2024-08-20 20:35:44,2024-08-20 14:35:44-06:00,Iridium,46.65063,-113.95136,1179,6,3D Valid,Mortality,46,3.36,3.6,Animal with Collar 40882
40882,2024-08-20 20:05:38,2024-08-20 14:05:38-06:00,2024-08-20 20:35:44,2024-08-20 14:35:44-06:00,Iridium,46.65044,-113.95139,1193,3.6,3D Valid,Mortality,32,3.36,3.6,Animal with Collar 40882
40882,2024-08-20 19:35:10,2024-08-20 13:35:10-06:00,2024-08-20 20:35:44,2024-08-20 14:35:44-06:00,Iridium,46.65053,-113.95133,1195,3.4,3D Valid,Mortality,32,3.36,3.6,Animal with Collar 40882
40882,2024-08-20 19:06:08,2024-08-20 13:06:08-06:00,2024-08-20 20:35:44,2024-08-20 14:35:44-06:00,Iridium,46.65045,-113.95135,1189,3.6,3D Valid,Mortality,40,3.36,3.6,Animal with Collar 40882
40882,2024-08-20 18:35:38,2024-08-20 12:35:38-06:00,2024-08-20 20:35:52,2024-08-20 14:35:52-06:00,Iridium,46.65053,-113.95144,1175,2.8,3D Valid,Mortality,33,3.28,3.6,Animal with Collar 40882
40882,2024-08-20 18:08:00,2024-08-20 12:08:00-06:00,2024-08-20 20:35:52,2024-08-20 14:35:52-06:00,Iridium,46.65051,-113.95142,1178,4.2,3D,Mortality,24,3.28,3.6,Animal with Collar 40882
40882,2024-08-20 17:35:11,2024-08-20 11:35:11-06:00,2024-08-20 20:35:52,2024-08-20 14:35:52-06:00,Iridium,46.65054,-113.95135,1194,3.8,3D Valid,Mortality,21,3.28,3.6,Animal with Collar 40882
40882,2024-08-20 17:05:38,2024-08-20 11:05:38-06:00,2024-08-20 17:05:57,2024-08-20 11:05:57-06:00,Iridium,46.65052,-113.95142,1185,5,3D Valid,Mortality,18,3.28,3.6,Animal with Collar 40882
