Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40876,2022-10-04 16:00:13,2022-10-04 10:00:13,2022-10-04 16:00:57,2022-10-04 10:00:57-06:00,Iridium,46.85908,-114.05927,983,1.6,3D Validated,Nothing Detected,20,3.36,3.6,Animal with Collar 40876
40876,2022-10-04 15:00:10,2022-10-04 9:00:10,2022-10-04 16:00:57,2022-10-04 10:00:57-06:00,Iridium,46.85894,-114.05956,929,7.6,3D Validated,Nothing Detected,14,3.28,3.6,Animal with Collar 40876
40876,2022-10-04 14:00:39,2022-10-04 8:00:39,2022-10-04 16:00:57,2022-10-04 10:00:57-06:00,Iridium,46.64269,-113.99791,1086,2.4,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40876
40876,2022-10-04 5:00:38,2022-10-03 23:00:38,2022-10-04 16:01:34,2022-10-04 10:01:34-06:00,Iridium,46.62455,-113.92069,1408,5,3D Validated,Nothing Detected,13,3.28,3.6,Animal with Collar 40876
40876,2022-10-04 4:00:10,2022-10-03 22:00:10,2022-10-04 4:00:36,2022-10-03 22:00:36-06:00,Iridium,46.62492,-113.91983,1400,4.6,3D Validated,Nothing Detected,20,3.36,3.6,Animal with Collar 40876
40876,2022-10-04 3:00:39,2022-10-03 21:00:39,2022-10-04 4:00:36,2022-10-03 22:00:36-06:00,Iridium,46.62182,-113.92168,1332,4,3D Validated,Nothing Detected,18,3.36,3.6,Animal with Collar 40876
40876,2022-10-04 2:00:38,2022-10-03 20:00:38,2022-10-04 4:00:36,2022-10-03 22:00:36-06:00,Iridium,46.61854,-113.9181,1272,2,3D Validated,Nothing Detected,19,3.36,3.6,Animal with Collar 40876
40876,2022-10-04 1:00:38,2022-10-03 19:00:38,2022-10-04 4:00:36,2022-10-03 22:00:36-06:00,Iridium,46.62062,-113.91505,1292,2.4,3D Validated,Nothing Detected,22,3.36,3.6,Animal with Collar 40876
40876,2022-10-04 0:00:12,2022-10-03 18:00:12,2022-10-04 0:00:43,2022-10-03 18:00:43-06:00,Iridium,46.6216,-113.9114,1278,2.8,3D Validated,Nothing Detected,23,3.36,3.6,Animal with Collar 40876
40876,2022-10-03 23:00:38,2022-10-03 17:00:38,2022-10-04 0:00:43,2022-10-03 18:00:43-06:00,Iridium,46.62176,-113.91152,1366,1.6,3D Validated,Nothing Detected,24,3.36,3.6,Animal with Collar 40876
40876,2022-10-03 22:02:06,2022-10-03 16:02:06,2022-10-04 0:00:43,2022-10-03 18:00:43-06:00,Iridium,46.62183,-113.91185,1350,2,3D Validated,Nothing Detected,23,3.28,3.6,Animal with Collar 40876
40876,2022-10-03 21:00:10,2022-10-03 15:00:10,2022-10-04 0:00:43,2022-10-03 18:00:43-06:00,Iridium,46.62165,-113.91161,1330,3.2,3D Validated,Nothing Detected,24,3.36,3.6,Animal with Collar 40876
40876,2022-10-03 20:00:12,2022-10-03 14:00:12,2022-10-04 0:01:08,2022-10-03 18:01:08-06:00,Iridium,46.62208,-113.91172,1346,2.6,3D Validated,Nothing Detected,22,3.36,3.6,Animal with Collar 40876
40876,2022-10-03 19:00:38,2022-10-03 13:00:38,2022-10-04 0:01:08,2022-10-03 18:01:08-06:00,Iridium,46.62176,-113.91157,1352,1.6,3D Validated,Nothing Detected,20,3.36,3.6,Animal with Collar 40876
40876,2022-10-03 18:00:20,2022-10-03 12:00:20,2022-10-04 0:01:08,2022-10-03 18:01:08-06:00,Iridium,46.62172,-113.91166,1298,3.6,3D Validated,Nothing Detected,19,3.36,3.6,Animal with Collar 40876
40876,2022-10-03 17:00:38,2022-10-03 11:00:38,2022-10-04 0:01:08,2022-10-03 18:01:08-06:00,Iridium,46.62155,-113.91168,1344,3.2,3D Validated,Nothing Detected,19,3.36,3.6,Animal with Collar 40876
