Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40910,2022-06-15 16:00:38,2022-06-15 10:00:38,2022-06-15 16:02:17,2022-06-15 10:02:17-06:00,Iridium,46.69084,-113.83202,1635,3.2,3D Validated,Mortality No Radius,5,3.28,3.52,Animal with Collar 40910
40910,2022-06-15 15:00:38,2022-06-15 9:00:38,2022-06-15 16:02:17,2022-06-15 10:02:17-06:00,Iridium,46.69095,-113.83188,1648,4.8,3D Validated,Mortality No Radius,5,3.28,3.52,Animal with Collar 40910
40910,2022-06-15 14:00:38,2022-06-15 8:00:38,2022-06-15 16:02:17,2022-06-15 10:02:17-06:00,Iridium,46.69085,-113.83207,1651,2.4,3D Validated,Mortality No Radius,4,3.28,3.52,Animal with Collar 40910
40910,2022-06-15 13:00:11,2022-06-15 7:00:11,2022-06-15 16:02:17,2022-06-15 10:02:17-06:00,Iridium,46.69082,-113.83196,1618,3.2,3D Validated,Mortality No Radius,4,3.28,3.52,Animal with Collar 40910
40910,2022-06-15 12:00:36,2022-06-15 6:00:36,2022-06-15 16:02:27,2022-06-15 10:02:27-06:00,Iridium,46.69073,-113.83197,1627,4.2,3D Validated,Mortality No Radius,4,3.28,3.52,Animal with Collar 40910
40910,2022-06-15 11:00:36,2022-06-15 5:00:36,2022-06-15 16:02:27,2022-06-15 10:02:27-06:00,Iridium,46.69082,-113.83192,1665,2.8,3D Validated,Mortality No Radius,4,3.28,3.52,Animal with Collar 40910
40910,2022-06-15 10:00:38,2022-06-15 4:00:38,2022-06-15 16:02:27,2022-06-15 10:02:27-06:00,Iridium,46.69096,-113.832,1633,2.8,3D Validated,Mortality No Radius,4,3.28,3.52,Animal with Collar 40910
40910,2022-06-15 9:00:38,2022-06-15 3:00:38,2022-06-15 16:02:27,2022-06-15 10:02:27-06:00,Iridium,46.69082,-113.83196,1640,4,3D Validated,Mortality No Radius,4,3.28,3.52,Animal with Collar 40910
40910,2022-06-15 8:00:15,2022-06-15 2:00:15,2022-06-15 8:01:02,2022-06-15 02:01:02-06:00,Iridium,46.69073,-113.83189,1639,2.8,3D Validated,Mortality No Radius,4,3.28,3.52,Animal with Collar 40910
40910,2022-06-15 7:00:38,2022-06-15 1:00:38,2022-06-15 8:01:02,2022-06-15 02:01:02-06:00,Iridium,46.69077,-113.83195,1623,4.2,3D Validated,Mortality No Radius,3,3.28,3.52,Animal with Collar 40910
40910,2022-06-15 6:00:38,2022-06-15 0:00:38,2022-06-15 8:01:02,2022-06-15 02:01:02-06:00,Iridium,46.69092,-113.83198,1646,2.2,3D Validated,Mortality No Radius,3,3.28,3.52,Animal with Collar 40910
