Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
89193,2023-07-20 11:00:36,2023-07-20 05:00:36-06:00,2023-07-20 11:01:04,2023-07-20 05:01:04-06:00,Iridium,46.66977,-113.89771,1580,2.2,3D Validated,Mortality No Radius,7,3.36,3.6,
89193,2023-07-20 10:00:25,2023-07-20 04:00:25-06:00,2023-07-20 11:01:04,2023-07-20 05:01:04-06:00,Iridium,46.669678,-113.89738,1581,7.2,3D Validated,Mortality No Radius,8,3.36,3.6,
89193,2023-07-20 09:00:38,2023-07-20 03:00:38-06:00,2023-07-20 11:01:04,2023-07-20 05:01:04-06:00,Iridium,46.669674,-113.897385,1543,2,3D Validated,Mortality No Radius,8,3.36,3.6,
89193,2023-07-20 08:00:13,2023-07-20 02:00:13-06:00,2023-07-20 11:01:04,2023-07-20 05:01:04-06:00,Iridium,46.6698,-113.897415,1543,3.8,3D Validated,Mortality No Radius,9,3.36,3.6,
89193,2023-07-20 07:00:38,2023-07-20 01:00:38-06:00,2023-07-20 11:01:15,2023-07-20 05:01:15-06:00,Iridium,46.66971,-113.897446,1531,3,3D Validated,Mortality No Radius,10,3.36,3.6,
89193,2023-07-20 06:01:08,2023-07-20 00:01:08-06:00,2023-07-20 11:01:15,2023-07-20 05:01:15-06:00,Iridium,46.669815,-113.8974,1563,3.6,3D Validated,Mortality No Radius,10,3.36,3.6,
89193,2023-07-20 05:00:14,2023-07-19 23:00:14-06:00,2023-07-20 11:01:15,2023-07-20 05:01:15-06:00,Iridium,46.66966,-113.89739,1561,2.6,3D Validated,Mortality No Radius,9,3.36,3.6,
89193,2023-07-20 04:00:35,2023-07-19 22:00:35-06:00,2023-07-20 11:01:15,2023-07-20 05:01:15-06:00,Iridium,46.66975,-113.897484,1598,5,3D Validated,Mortality No Radius,10,3.36,3.6,
89193,2023-07-20 03:00:46,2023-07-19 21:00:46-06:00,2023-07-20 11:01:26,2023-07-20 05:01:26-06:00,Iridium,46.669643,-113.89739,1546,4.6,3D Validated,Mortality No Radius,12,3.36,3.6,
89193,2023-07-20 02:00:27,2023-07-19 20:00:27-06:00,2023-07-20 11:01:26,2023-07-20 05:01:26-06:00,Iridium,46.66967,-113.89744,1551,7.2,3D Validated,Mortality No Radius,14,3.36,3.6,
89193,2023-07-20 01:00:46,2023-07-19 19:00:46-06:00,2023-07-20 11:01:26,2023-07-20 05:01:26-06:00,Iridium,46.669704,-113.8974,1550,4.8,3D Validated,Mortality No Radius,16,3.36,3.6,
89193,2023-07-20 00:00:23,2023-07-19 18:00:23-06:00,2023-07-20 11:01:26,2023-07-20 05:01:26-06:00,Iridium,46.669785,-113.8975,1542,4,3D Validated,Mortality No Radius,18,3.36,3.6,
89193,2023-07-19 23:00:36,2023-07-19 17:00:36-06:00,2023-07-20 11:01:36,2023-07-20 05:01:36-06:00,Iridium,46.669846,-113.89752,1544,3,3D Validated,Mortality No Radius,19,3.36,3.6,
89193,2023-07-19 22:00:40,2023-07-19 16:00:40-06:00,2023-07-20 11:01:36,2023-07-20 05:01:36-06:00,Iridium,46.66968,-113.897446,1550,6,3D Validated,Mortality No Radius,22,3.36,3.6,
89193,2023-07-19 21:00:37,2023-07-19 15:00:37-06:00,2023-07-20 11:01:36,2023-07-20 05:01:36-06:00,Iridium,46.66977,-113.897446,1538,2.8,3D Validated,Mortality No Radius,35,3.36,3.6,
89193,2023-07-19 20:00:45,2023-07-19 14:00:45-06:00,2023-07-20 11:01:36,2023-07-20 05:01:36-06:00,Iridium,46.66969,-113.89723,1569,2,3D Validated,Mortality No Radius,21,3.28,3.6,
89193,2023-07-19 18:59:26,2023-07-19 12:59:26-06:00,2023-07-20 11:01:46,2023-07-20 05:01:46-06:00,Iridium,46.669666,-113.89737,1538,3,3D Validated,Mortality No Radius,19,3.28,3.6,
