Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40880,2021-12-17 23:00:58,2021-12-17 17:00:58,2022-04-09 15:01:50,2022-04-09 09:01:50-06:00,Iridium,46.73299,-113.9578,1485,4,3D Validated,Nothing Detected,5,3.36,3.68,Animal with Collar 40880
40880,2021-12-17 22:01:21,2021-12-17 16:01:21,2022-04-09 15:01:59,2022-04-09 09:01:59-06:00,Iridium,46.73279,-113.95729,1445,5.2,3D Validated,Nothing Detected,5,3.36,3.6,Animal with Collar 40880
40880,2021-12-17 21:02:42,2021-12-17 15:02:42,2022-04-09 15:01:59,2022-04-09 09:01:59-06:00,Iridium,46.73282,-113.95734,1451,4.2,3D,Nothing Detected,4,3.36,3.6,Animal with Collar 40880
40880,2021-12-17 20:03:02,2021-12-17 14:03:02,2022-04-09 15:01:59,2022-04-09 09:01:59-06:00,Iridium,46.73279,-113.95717,1440,8.8,3D,Nothing Detected,8,3.36,3.6,Animal with Collar 40880
40880,2021-12-12 1:01:22,2021-12-11 19:01:22,2022-04-10 23:04:20,2022-04-10 17:04:20-06:00,Iridium,46.73289,-113.95723,1451,6.4,3D Validated,Nothing Detected,13,3.36,3.6,Animal with Collar 40880
40880,2021-12-10 21:03:00,2021-12-10 15:03:00,2022-04-11 11:02:13,2022-04-11 05:02:13-06:00,Iridium,46.7328,-113.9573,1450,4.8,3D,Nothing Detected,8,3.36,3.6,Animal with Collar 40880
40880,2021-12-10 18:03:02,2021-12-10 12:03:02,2022-04-11 11:02:22,2022-04-11 05:02:22-06:00,Iridium,46.73277,-113.95734,1453,9.2,3D,Nothing Detected,12,3.36,3.6,Animal with Collar 40880
40880,2021-12-05 3:00:38,2021-12-04 21:00:38,2022-04-12 15:03:32,2022-04-12 09:03:32-06:00,Iridium,46.73283,-113.95731,1452,2.8,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40880
40880,2021-12-05 1:03:00,2021-12-04 19:03:00,2022-04-12 15:03:32,2022-04-12 09:03:32-06:00,Iridium,46.73294,-113.95763,1451,5.8,3D,Nothing Detected,10,3.36,3.6,Animal with Collar 40880
40880,2021-12-05 0:00:50,2021-12-04 18:00:50,2022-04-12 15:03:42,2022-04-12 09:03:42-06:00,Iridium,46.73287,-113.95749,1456,3.4,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40880
40880,2021-12-04 23:01:14,2021-12-04 17:01:14,2022-04-12 15:03:42,2022-04-12 09:03:42-06:00,Iridium,46.73281,-113.95729,1448,5,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40880
40880,2021-12-04 22:03:00,2021-12-04 16:03:00,2022-04-12 15:03:42,2022-04-12 09:03:42-06:00,Iridium,46.7328,-113.95737,1455,9,3D,Nothing Detected,11,3.36,3.6,Animal with Collar 40880
40880,2021-12-04 21:01:42,2021-12-04 15:01:42,2022-04-12 15:03:42,2022-04-12 09:03:42-06:00,Iridium,46.73277,-113.95715,1442,6.6,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40880
