Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40880,2023-12-04 18:33:08,2023-12-04 11:33:08-07:00,2023-12-04 18:33:29,2023-12-04 11:33:29-07:00,Iridium,46.727314,-113.97224,1466,5.2,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40880
40880,2023-12-03 18:32:08,2023-12-03 11:32:08-07:00,2023-12-04 18:33:29,2023-12-04 11:33:29-07:00,Iridium,46.72733,-113.97227,1473,2.8,3D Validated,Nothing Detected,8,3.36,3.6,Animal with Collar 40880
40880,2023-12-02 18:31:08,2023-12-02 11:31:08-07:00,2023-12-04 18:33:29,2023-12-04 11:33:29-07:00,Iridium,46.727345,-113.97226,1471,2.6,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40880
40880,2023-12-01 18:02:30,2023-12-01 11:02:30-07:00,2023-12-04 18:33:29,2023-12-04 11:33:29-07:00,Iridium,46.727253,-113.97218,1451,3.4,3D Validated,Nothing Detected,9,3.36,3.6,Animal with Collar 40880
40880,2023-11-30 11:00:40,2023-11-30 04:00:40-07:00,2023-11-30 11:01:05,2023-11-30 04:01:05-07:00,Iridium,46.727337,-113.972244,1467,2,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40880
40880,2023-11-30 10:00:21,2023-11-30 03:00:21-07:00,2023-11-30 11:01:05,2023-11-30 04:01:05-07:00,Iridium,46.727455,-113.97198,1454,2.6,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40880
40880,2023-11-30 09:03:00,2023-11-30 02:03:00-07:00,2023-11-30 11:01:05,2023-11-30 04:01:05-07:00,Iridium,46.727238,-113.9722,1452,10.2,3D,Nothing Detected,11,3.36,3.6,Animal with Collar 40880
40880,2023-11-30 08:02:31,2023-11-30 01:02:31-07:00,2023-11-30 11:01:05,2023-11-30 04:01:05-07:00,Iridium,46.727345,-113.972206,1469,2.2,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40880
40880,2023-11-30 07:00:14,2023-11-30 00:00:14-07:00,2023-11-30 07:01:44,2023-11-30 00:01:44-07:00,Iridium,46.727325,-113.972145,1476,3.4,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40880
40880,2023-11-30 06:00:40,2023-11-29 23:00:40-07:00,2023-11-30 07:01:44,2023-11-30 00:01:44-07:00,Iridium,46.727306,-113.972206,1464,4.2,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40880
