Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40880,2024-04-20 10:00:10,2024-04-20 04:00:10-06:00,2024-04-20 10:00:52,2024-04-20 04:00:52-06:00,Iridium,46.73449,-113.96894,1308,3,3D Valid,Nothing Detected,6,3.36,3.6,Animal with Collar 40880
40880,2024-04-20 09:00:37,2024-04-20 03:00:37-06:00,2024-04-20 10:00:52,2024-04-20 04:00:52-06:00,Iridium,46.73450,-113.96898,1308,3,3D Valid,Nothing Detected,1,3.36,3.68,Animal with Collar 40880
40880,2024-04-20 08:00:56,2024-04-20 02:00:56-06:00,2024-04-20 10:00:52,2024-04-20 04:00:52-06:00,Iridium,46.73449,-113.96898,1306,3.6,3D Valid,Nothing Detected,5,3.36,3.6,Animal with Collar 40880
40880,2024-04-20 07:00:56,2024-04-20 01:00:56-06:00,2024-04-20 10:00:52,2024-04-20 04:00:52-06:00,Iridium,46.73453,-113.96897,1299,2.8,3D Valid,Nothing Detected,8,3.36,3.6,Animal with Collar 40880
40880,2024-04-20 06:00:40,2024-04-20 00:00:40-06:00,2024-04-20 10:00:59,2024-04-20 04:00:59-06:00,Iridium,46.73448,-113.96894,1307,6.8,3D Valid,Nothing Detected,7,3.36,3.6,Animal with Collar 40880
40880,2024-04-20 05:00:39,2024-04-19 23:00:39-06:00,2024-04-20 10:00:59,2024-04-20 04:00:59-06:00,Iridium,46.73439,-113.96905,1318,2.2,3D Valid,Nothing Detected,7,3.36,3.6,Animal with Collar 40880
40880,2024-04-20 04:00:10,2024-04-19 22:00:10-06:00,2024-04-20 10:00:59,2024-04-20 04:00:59-06:00,Iridium,46.73463,-113.96898,1301,3,3D Valid,Nothing Detected,11,3.36,3.6,Animal with Collar 40880
40880,2024-04-20 03:00:38,2024-04-19 21:00:38-06:00,2024-04-20 10:00:59,2024-04-20 04:00:59-06:00,Iridium,46.73451,-113.96900,1304,3,3D Valid,Nothing Detected,13,3.28,3.6,Animal with Collar 40880
40880,2024-04-20 02:00:40,2024-04-19 20:00:40-06:00,2024-04-20 10:01:11,2024-04-20 04:01:11-06:00,Iridium,46.73425,-113.96972,1293,4.6,3D Valid,Nothing Detected,15,3.28,3.6,Animal with Collar 40880
40880,2024-04-20 01:00:10,2024-04-19 19:00:10-06:00,2024-04-20 10:01:11,2024-04-20 04:01:11-06:00,Iridium,46.73468,-113.96980,1302,2,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40880
40880,2024-04-20 00:00:38,2024-04-19 18:00:38-06:00,2024-04-20 10:01:11,2024-04-20 04:01:11-06:00,Iridium,46.73443,-113.96835,1335,2.6,3D Valid,Nothing Detected,18,3.36,3.6,Animal with Collar 40880
40880,2024-04-19 23:00:33,2024-04-19 17:00:33-06:00,2024-04-20 10:01:11,2024-04-20 04:01:11-06:00,Iridium,46.73318,-113.96835,1347,1.4,3D Valid,Nothing Detected,18,3.36,3.6,Animal with Collar 40880
40880,2024-04-19 22:00:11,2024-04-19 16:00:11-06:00,2024-04-20 10:01:24,2024-04-20 04:01:24-06:00,Iridium,46.73248,-113.96783,1379,2,3D Valid,Nothing Detected,28,3.36,3.6,Animal with Collar 40880
40880,2024-04-19 21:00:38,2024-04-19 15:00:38-06:00,2024-04-20 10:01:24,2024-04-20 04:01:24-06:00,Iridium,46.73267,-113.96751,1386,2,3D Valid,Nothing Detected,19,3.36,3.6,Animal with Collar 40880
40880,2024-04-19 20:00:38,2024-04-19 14:00:38-06:00,2024-04-20 10:01:24,2024-04-20 04:01:24-06:00,Iridium,46.73236,-113.96728,1402,2.4,3D Valid,Nothing Detected,29,3.28,3.6,Animal with Collar 40880
40880,2024-04-19 19:00:38,2024-04-19 13:00:38-06:00,2024-04-20 10:01:24,2024-04-20 04:01:24-06:00,Iridium,46.73169,-113.96630,1412,3.4,3D Valid,Nothing Detected,24,3.36,3.6,Animal with Collar 40880
40880,2024-04-19 18:00:45,2024-04-19 12:00:45-06:00,2024-04-20 10:01:51,2024-04-20 04:01:51-06:00,Iridium,46.73253,-113.96642,1415,2.2,3D Valid,Nothing Detected,9,3.36,3.6,Animal with Collar 40880
40880,2024-04-19 17:00:10,2024-04-19 11:00:10-06:00,2024-04-20 10:01:51,2024-04-20 04:01:51-06:00,Iridium,46.73277,-113.96615,1404,2,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40880
40880,2024-04-19 16:00:40,2024-04-19 10:00:40-06:00,2024-04-20 10:01:51,2024-04-20 04:01:51-06:00,Iridium,46.73278,-113.96616,1408,1.8,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40880
40880,2024-04-19 15:00:12,2024-04-19 09:00:12-06:00,2024-04-20 10:01:51,2024-04-20 04:01:51-06:00,Iridium,46.73249,-113.96632,1421,2.8,3D Valid,Nothing Detected,6,3.36,3.68,Animal with Collar 40880
