Bear1,2020_Checkers_PositionsBreeding_HR_model.rds,2020_Coca_Cola_PositionsBreeding_HR_model.rds,2020_Rikki_PositionsBreeding_HR_model.rds,2020_Rumple_Cub_V_PositionsBreeding_HR_model.rds,2020_She_Tan_PositionsBreeding_HR_model.rds,2020_Tikki_PositionsBreeding_HR_model.rds,2020_Trouble_PositionsBreeding_HR_model.rds,2020_ZZ_PositionsBreeding_HR_model.rds,2021_Athena_PositionsBreeding_HR_model.rds,2021_BFB_PositionsBreeding_HR_model.rds,2021_Coca_Cola_PositionsBreeding_HR_model.rds,2021_Dahlia_PositionsBreeding_HR_model.rds,2021_Fanta_PositionsBreeding_HR_model.rds,2021_Green_Eggs_PositionsBreeding_HR_model.rds,2021_Ham_PositionsBreeding_HR_model.rds,2021_Maple_PositionsBreeding_HR_model.rds,2021_Mousse_PositionsBreeding_HR_model.rds,2021_Ombre_PositionsBreeding_HR_model.rds,2021_Rattlesnake_PositionsBreeding_HR_model.rds,2021_Rikki_PositionsBreeding_HR_model.rds,2021_She_Tan_PositionsBreeding_HR_model.rds,2021_Split_Ear_PositionsBreeding_HR_model.rds,2021_Squirt_PositionsBreeding_HR_model.rds,2021_Tavi_PositionsBreeding_HR_model.rds,2021_Trouble_PositionsBreeding_HR_model.rds,2021_Wanderer_PositionsBreeding_HR_model.rds,2021_ZZ_PositionsBreeding_HR_model.rds,2022_Athena_PositionsBreeding_HR_model.rds,2022_BFB_PositionsBreeding_HR_model.rds,2022_Checkers_PositionsBreeding_HR_model.rds,2022_Coca_Cola_PositionsBreeding_HR_model.rds,2022_Dahlia_PositionsBreeding_HR_model.rds,2022_Fanta_PositionsBreeding_HR_model.rds,2022_Ham_PositionsBreeding_HR_model.rds,2022_Louise_PositionsBreeding_HR_model.rds,2022_Maple_PositionsBreeding_HR_model.rds,2022_Mousse_PositionsBreeding_HR_model.rds,2022_North_Miller_Sow_1_PositionsBreeding_HR_model.rds,2022_Ombre_PositionsBreeding_HR_model.rds,2022_Rattlesnake_PositionsBreeding_HR_model.rds,2022_Rikki_PositionsBreeding_HR_model.rds,2022_Split_Ear_PositionsBreeding_HR_model.rds,2022_Squirt_PositionsBreeding_HR_model.rds,2022_Trouble_PositionsBreeding_HR_model.rds,2022_Wanderer_PositionsBreeding_HR_model.rds,2022_ZZ_PositionsBreeding_HR_model.rds,2023_Athena1_PositionsBreeding_HR_model.rds,2023_Athena2_PositionsBreeding_HR_model.rds,2023_Blue_PositionsBreeding_HR_model.rds,2023_Blue2_PositionsBreeding_HR_model.rds,2023_Broom_PositionsBreeding_HR_model.rds,2023_Checkers_PositionsBreeding_HR_model.rds,2023_Coca_Cola_PositionsBreeding_HR_model.rds,2023_Dahlia_PositionsBreeding_HR_model.rds,2023_Fanta_PositionsBreeding_HR_model.rds,2023_Hazel_PositionsBreeding_HR_model.rds,2023_Jay_PositionsBreeding_HR_model.rds,2023_JJ_PositionsBreeding_HR_model.rds,2023_Lilac_PositionsBreeding_HR_model.rds,2023_Louise_PositionsBreeding_HR_model.rds,2023_Maple1_PositionsBreeding_HR_model.rds,2023_Maple2_PositionsBreeding_HR_model.rds,2023_Mop_PositionsBreeding_HR_model.rds,2023_Ombre_PositionsBreeding_HR_model.rds,2023_Ruben_PositionsBreeding_HR_model.rds,2023_Skunk_PositionsBreeding_HR_model.rds,2023_Split_Ear_PositionsBreeding_HR_model.rds,2023_SplitEar2_PositionsBreeding_HR_model.rds,2023_Squirt_PositionsBreeding_HR_model.rds,2023_Thorn_PositionsBreeding_HR_model.rds,2023_Trouble_PositionsBreeding_HR_model.rds,2023_ZZ_PositionsBreeding_HR_model.rds,2024_Athena_PositionsBreeding_HR_model.rds,2024_Blue_PositionsBreeding_HR_model.rds,2024_Blue2_2_PositionsBreeding_HR_model.rds,2024_Blue2_PositionsBreeding_HR_model.rds,2024_Broom_PositionsBreeding_HR_model.rds,2024_CocaCola_PositionsBreeding_HR_model.rds,2024_Dahlia_PositionsBreeding_HR_model.rds,2024_Fork_PositionsBreeding_HR_model.rds,2024_Frostbite_PositionsBreeding_HR_model.rds,2024_Goldie_PositionsBreeding_HR_model.rds,2024_LMM_PositionsBreeding_HR_model.rds,2024_Louise_PositionsBreeding_HR_model.rds,2024_Maple_PositionsBreeding_HR_model.rds,2024_MillerSow3_PositionsBreeding_HR_model.rds,2024_Mop_PositionsBreeding_HR_model.rds,2024_Mowgli_PositionsBreeding_HR_model.rds,2024_Ratatouille_PositionsBreeding_HR_model.rds,2024_RJBmale_PositionsBreeding_HR_model.rds,2024_Ruben_PositionsBreeding_HR_model.rds,2024_Skunk_PositionsBreeding_HR_model.rds,2024_SplitEar_2_PositionsBreeding_HR_model.rds,2024_SplitEar1_PositionsBreeding_HR_model.rds,2024_SplitEar2_PositionsBreeding_HR_model.rds,2024_Squirt1_PositionsBreeding_HR_model.rds,2024_Squirt2_PositionsBreeding_HR_model.rds,2024_Tanja_PositionsBreeding_HR_model.rds,2024_Thorn_PositionsBreeding_HR_model.rds,2024_Toothless_PositionsBreeding_HR_model.rds,2024_ZZ_PositionsBreeding_HR_model.rds
2020_Checkers_PositionsBreeding_HR_model.rds,0,0.7895,0.0951,0.1111,0.5846,0.7823,0.6564,0.713,0.3401,0.7152,0.3404,0.2894,0.2433,0.193,0.2393,0.5144,0.8294,0.9692,0.3524,0.0966,0.7504,0.3801,0.2467,0.1002,0.6663,0.3325,0.3178,0.2728,0.7009,0.9989,0.7188,0.4313,0.2646,0.6237,0.0891,0.6657,0.0783,0.0478,0.9056,0.2417,0.123,0.1807,0.4367,0.5136,0,0.2777,0.1821,0.4292,0.3803,0.6204,0.502,0.8324,0.1262,0.4122,0.2041,0.5274,0.7228,0.0111,0.6668,0.0755,0.1827,0.6658,0.5429,0.3885,0.0867,0.7199,0.2878,0.5006,0.6201,0.4291,0.6654,0.5373,0.2042,0.4139,0.0635,0.6449,0.537,0.1095,0.4472,0.63,0.0749,0.3185,0.8726,0.0005,0.7698,0.2012,0.3467,0.368,0.7367,0.861,0.3478,0.0016,0.0429,0.1453,0.3859,0.432,0.5355,0.5059,0.3826,0.8733,0.5178
2020_Coca_Cola_PositionsBreeding_HR_model.rds,0.7895,0,0.305,0.3309,0.6483,0.8107,0.6802,0.9508,0.7402,0.9928,0.6991,0.5447,0.4228,0.4069,0.4936,0.4845,0.8904,0.6606,0.5047,0.3301,0.7564,0.8233,0.407,0.3783,0.9385,0.3952,0.7983,0.7241,0.9855,0.7157,0.9968,0.7789,0.4702,0.7196,0.315,0.5883,0.072,0.2651,0.4634,0.4163,0.4166,0.6066,0.5493,0.9175,0,0.7191,0.5315,0.7642,0.1505,0.259,0.2451,0.3986,0.3508,0.702,0.4004,0.4508,0.4853,0.0806,0.761,0.2237,0.1884,0.5923,0.5592,0.2203,0.2396,0.3327,0.7332,0.286,0.76,0.5297,0.8477,0.9635,0.5756,0.1581,0.0316,0.2964,0.3007,0.2779,0.7873,0.5217,0.3996,0.7383,0.982,0.0016,0.6344,0.4191,0.3384,0.8107,0.7072,0.4776,0.5533,0.0002,0.0229,0.4469,0.7999,0.6701,0.6703,0.8737,0.6053,0.4026,0.8789
2020_Rikki_PositionsBreeding_HR_model.rds,0.0951,0.305,0,0.5645,0.2903,0.1788,0.1544,0.327,0.242,0.2939,0.3407,0.0533,0.0689,0.1271,0.0923,0.0006,0.7253,0.0192,0.0489,0.9715,0.4605,0.3638,0.0074,0.2203,0.2478,0.0003,0.3749,0.3187,0.3133,0.0514,0.3119,0.1764,0.0974,0.5193,0.0072,0.0027,0.0355,0.0423,0.0025,0.0678,0.9256,0.4115,0.0073,0.3469,0,0.3535,0.2426,0.1536,0,0,0,0.0001,0.2992,0.1068,0.1132,0.0003,0.0001,0,0.833,0.0001,0,0.0027,0.0038,0,0.0004,0.0152,0.3428,0,0.048,0.007,0.2856,0.3674,0.1925,0,0,0,0.0001,0.2041,0.1828,0.0024,0.229,0.2831,0.2443,0,0.0052,0.0233,0.0002,0.4462,0.4773,0.0494,0.0836,0,0,0.2001,0.268,0.0409,0.025,0.3359,0.1269,0.0009,0.2861
2020_Rumple_Cub_V_PositionsBreeding_HR_model.rds,0.1111,0.3309,0.5645,0,0.2916,0.2259,0.1969,0.4989,0.1031,0.3711,0.1867,0.017,0.188,0.1029,0.0279,0.0024,0.7163,0.0237,0.0209,0.4599,0.4503,0.2182,0.015,0.4243,0.3242,0.0112,0.3877,0.1837,0.4042,0.0713,0.3052,0.0945,0.186,0.5067,0.0004,0.0078,0.0582,0.0074,0.0051,0.0393,0.6028,0.1953,0.0059,0.4872,0,0.4544,0.0615,0.0602,0,0,0.0001,0.0002,0.1807,0.0414,0.293,0.0039,0.0005,0.1427,0.8223,0,0.6443,0.0064,0.0259,0.0002,0,0.0263,0.1696,0,0.0349,0.0474,0.3227,0.4109,0.0458,0,0.3047,0,0.0014,0.7893,0.0954,0.0104,0.2912,0.1315,0.2942,0.1771,0.0084,0.0038,0.0453,0.6319,0.4855,0.0626,0.0412,0.0264,0.2871,0.0317,0.1409,0.0447,0.0159,0.3949,0.3105,0.0014,0.3492
2020_She_Tan_PositionsBreeding_HR_model.rds,0.5846,0.6483,0.2903,0.2916,0,0.8835,0.921,0.8083,0.5725,0.5944,0.4173,0.3769,0.2301,0.2718,0.3461,0.2367,0.9725,0.4237,0.6249,0.3288,0.966,0.5704,0.2776,0.6519,0.4966,0.2236,0.7344,0.6319,0.6529,0.5265,0.6462,0.5718,0.2532,0.8035,0.5582,0.2778,0.8354,0.4977,0.3943,0.8047,0.3872,0.5678,0.3617,0.6086,0.6108,0.7318,0.4879,0.4921,0.1434,0.2344,0.1965,0.3418,0.2978,0.4832,0.2322,0.2034,0.2748,0.3407,0.8045,0.4585,0.1006,0.2843,0.253,0.1212,0.4673,0.4517,0.5883,0.2033,0.4351,0.2505,0.6627,0.7022,0.5448,0.163,0.0203,0.2502,0.2319,0.1995,0.5408,0.2772,0.7026,0.5672,0.7333,0.0138,0.3496,0.5911,0.1605,0.5821,0.9466,0.7134,0.7424,0.0024,0.0243,0.4289,0.6022,0.3864,0.3917,0.4677,0.3382,0.4757,0.7872
2020_Tikki_PositionsBreeding_HR_model.rds,0.7823,0.8107,0.1788,0.2259,0.8835,0,0.9873,0.9588,0.4931,0.712,0.3568,0.2847,0.1931,0.1917,0.2486,0.2674,0.9622,0.5855,0.5147,0.2016,0.8881,0.521,0.1992,0.5133,0.5933,0.1948,0.7422,0.551,0.807,0.7127,0.7611,0.5164,0.2195,0.8756,0.3526,0.3597,0.2521,0.2761,0.5269,0.7196,0.2618,0.4383,0.3105,0.6832,0.0001,0.7128,0.3471,0.4347,0.2646,0.3532,0.3693,0.4486,0.1855,0.4097,0.1838,0.3181,0.3637,0.12,0.8472,0.2432,0.0941,0.3578,0.346,0.2215,0.2543,0.6002,0.5,0.2375,0.4318,0.3155,0.8661,0.7955,0.4065,0.2919,0.0312,0.3273,0.4271,0.1371,0.4881,0.4495,0.5458,0.4809,0.9513,0.0017,0.4154,0.429,0.2448,0.5868,0.8016,0.7618,0.6895,0.0025,0.0204,0.2792,0.5477,0.3467,0.3641,0.4922,0.3794,0.5133,0.9079
2020_Trouble_PositionsBreeding_HR_model.rds,0.6564,0.6802,0.1544,0.1969,0.921,0.9873,0,0.9054,0.4118,0.5993,0.2999,0.2361,0.1676,0.1621,0.207,0.2353,0.9349,0.4945,0.4487,0.174,0.9205,0.437,0.1667,0.4797,0.5002,0.1682,0.6683,0.4696,0.6809,0.5976,0.6414,0.4317,0.1909,0.9043,0.3005,0.3147,0.3095,0.2399,0.4532,0.7646,0.2269,0.372,0.2599,0.5837,0.0004,0.6449,0.2882,0.3618,0.2439,0.3161,0.3281,0.3914,0.155,0.3407,0.1574,0.2816,0.3193,0.1064,0.8583,0.1995,0.0831,0.3127,0.305,0.2015,0.2082,0.5037,0.4211,0.2144,0.3657,0.2788,0.7662,0.6871,0.3389,0.2672,0.0303,0.2939,0.3739,0.1144,0.4073,0.3902,0.5166,0.4022,0.8367,0.0014,0.3596,0.3618,0.2162,0.5058,0.7998,0.6609,0.6464,0.0031,0.0189,0.2317,0.46,0.2927,0.3091,0.4183,0.3316,0.4514,0.8275
2020_ZZ_PositionsBreeding_HR_model.rds,0.713,0.9508,0.327,0.4989,0.8083,0.9588,0.9054,0,0.7509,0.9027,0.5909,0.5352,0.4669,0.3549,0.4475,0.6485,0.9192,0.6438,0.7495,0.3592,0.8241,0.7745,0.4598,0.7569,0.8115,0.5505,0.9758,0.8208,0.9486,0.6562,0.9454,0.7808,0.5103,0.8923,0.6799,0.6862,0.1445,0.6022,0.5616,0.7893,0.4688,0.6732,0.6495,0.8978,0,0.9371,0.5563,0.696,0.5658,0.5801,0.5589,0.5899,0.2721,0.6921,0.3991,0.6623,0.6638,0.4338,0.8923,0.5878,0.4017,0.687,0.6837,0.5973,0.6054,0.4064,0.7503,0.6228,0.7269,0.6745,0.894,0.9883,0.6513,0.5606,0.2996,0.6173,0.5456,0.2212,0.7554,0.6394,0.8036,0.7293,0.9723,0.0106,0.6943,0.7297,0.6205,0.8433,0.6984,0.4763,0.8416,0.1245,0.229,0.442,0.8107,0.6462,0.6919,0.7622,0.699,0.5663,0.9983
2021_Athena_PositionsBreeding_HR_model.rds,0.3401,0.7402,0.242,0.1031,0.5725,0.4931,0.4118,0.7509,0,0.6507,0.7791,0.7973,0.2835,0.504,0.7345,0.1292,0.8668,0.1659,0.647,0.2829,0.673,0.9898,0.5308,0.121,0.5077,0.2333,0.7115,0.963,0.6109,0.2172,0.8362,0.9737,0.2931,0.7172,0.5473,0.1157,0.0262,0.2966,0.0467,0.4716,0.3246,0.8399,0.5157,0.5622,0,0.4878,0.9062,0.934,0.0002,0.004,0.0015,0.0271,0.54,0.8974,0.3408,0.0332,0.0581,0.0479,0.8765,0.4263,0.0596,0.1321,0.0763,0.0017,0.4676,0.0373,0.981,0.0178,0.5655,0.0907,0.6139,0.7604,0.9426,0.0003,0.0002,0.0078,0.005,0.3714,0.9572,0.0471,0.228,0.9986,0.6517,0.0028,0.1704,0.7061,0.0153,0.4745,0.6494,0.1664,0.6712,0,0.001,0.7762,0.9988,0.6249,0.5258,0.5665,0.1573,0.0494,0.621
2021_BFB_PositionsBreeding_HR_model.rds,0.7152,0.9928,0.2939,0.3711,0.5944,0.712,0.5993,0.9027,0.6507,0,0.7145,0.5304,0.4774,0.4223,0.4826,0.4784,0.8776,0.5691,0.4279,0.304,0.7288,0.7638,0.4168,0.3825,0.9706,0.4209,0.7125,0.6015,0.9829,0.6346,0.9803,0.719,0.5319,0.6616,0.1603,0.5607,0.0811,0.1293,0.3446,0.3008,0.396,0.4823,0.5568,0.9475,0,0.6801,0.4245,0.7352,0.0589,0.1389,0.1341,0.2772,0.3193,0.6726,0.4448,0.4018,0.4056,0.0231,0.7325,0.1119,0.196,0.5672,0.5587,0.1329,0.1286,0.2269,0.631,0.2155,0.7712,0.5653,0.7428,0.9257,0.4484,0.0616,0.017,0.1861,0.1943,0.2778,0.7453,0.46,0.313,0.652,0.9436,0.0006,0.5995,0.2951,0.318,0.8509,0.6983,0.3978,0.4299,0,0.0168,0.3523,0.7129,0.7037,0.6861,0.928,0.6734,0.3026,0.8119
