Tracking,Non-tracking,Avoidance,Synchronous
179,295,6,3
88,100,2,56
10119,13683,535,27
3361,4645,241,7
14,32,6,0
403,524,8,13
18,11,0,11
4,2,0,2
747,973,12,0
12,27,0,3
0,0,0,6
315,330,0,3
2,12,0,0
14,61,16,4
841,1212,36,0
165,328,6,0
594,1043,96,32
91,136,0,0
203,491,15,0
141,312,13,13
618,1002,21,4
140,268,13,10
14,28,0,46
32,147,13,16
8,37,4,12
12,30,6,66
316,550,11,0
299,522,14,20
290,440,11,12
3921,6047,340,0
390,650,26,3
129,168,3,8
2054,2564,97,0
1129,1577,35,25
2565,3256,145,0
6947,9438,290,43
1909,2700,59,2
2269,3362,96,2
7211,11080,482,87
563,815,8,0
4151,5365,166,0
451,836,17,6
55,66,2,2
65,150,6,0
120,236,6,11
1475,1616,32,13
1844,2501,46,12
1061,1314,21,4
135,98,3,6
3747,5403,114,20
10,50,2,0
6078,9746,294,0
1224,1745,68,0
1056,1760,36,0
4913,7524,251,9
15,12,0,8
0,0,0,8
135,231,17,10
393,646,13,5
824,1111,12,6
867,1165,12,2
0,1,0,8
1320,1883,24,40
62,46,0,49
805,1181,17,14
2098,3114,63,49
388,533,15,0
154,226,15,3
2057,3166,54,3
137,159,0,12
356,598,9,14
18,39,0,0
478,887,39,96
778,1311,29,81
2171,3209,65,16
881,1244,34,0
186,212,0,75
869,1158,10,32
68,59,2,6
1450,2215,62,0
2,0,0,38
18,47,2,0
857,1118,25,3
1696,2452,27,2
116,255,2,2
805,1092,33,0
4564,6832,169,13
4689,7460,265,20
2648,3980,67,4
5678,7541,155,2
91,182,4,2
78,72,0,4
62,156,2,2
26,100,4,4
1654,2121,40,6
3043,4501,252,0
2,0,0,114
36,81,0,12
1215,1893,38,0
1017,1675,39,0
2673,4390,116,2
21,17,0,10
99,165,0,16
0,10,0,0
6,13,0,53
6099,9150,371,25
3207,3475,46,0
2013,3312,106,6
201,341,18,0
4606,6943,170,0
46,81,0,3
15,8,0,14
177,243,7,4
453,659,23,0
567,935,0,34
3,1,0,3
181,409,15,4
2955,4878,177,2
1049,1416,27,0
29,62,0,14
2,7,0,44
141,254,5,47
743,1185,40,48
817,1213,26,4
1026,1466,25,4
66,88,6,8
269,485,12,8
29,49,7,0
93,117,10,0
4902,7385,242,2
2903,4175,84,2
92,108,4,0
8,8,0,29
10,17,0,7
12,20,0,7
552,750,6,14
1990,3201,119,0
1901,2785,50,48
302,516,12,4
2123,3629,138,2
2,10,0,3
1079,1680,56,40
215,311,6,36
182,258,4,0
219,327,6,0
336,536,4,21
254,410,0,39
669,1106,33,8
907,1553,32,97
21,48,0,18
79,88,2,2
60,65,0,6
4622,6492,156,5
545,929,32,36
327,553,17,10
18,44,2,0
355,548,2,13
2800,4186,140,5
3945,4936,202,0
9086,12530,627,2
5574,6748,207,6
640,799,11,0
739,947,27,0
536,1070,30,0
1376,2373,124,8
0,1,0,3
46,82,6,21
14,21,2,8
251,341,11,2
8,5,0,21
254,413,8,10
281,459,8,8
9,17,0,24
21,90,12,8
708,262,2,0
2,4,0,2
92,132,11,6
3928,2004,47,0
1326,875,10,0
1149,2034,67,2
761,1308,35,0
11,20,0,2
38,57,0,4
13,32,0,34
961,1462,14,77
831,1300,20,7
0,0,0,0
692,993,22,2
44,76,2,2
67,97,0,2
1944,3304,163,5
2679,3804,112,0
567,914,6,0
77,195,27,23
1649,2356,31,0
2769,4453,86,31
1612,2324,82,3
3655,5420,154,0
2604,3230,88,67
91,145,0,6
1392,2072,17,34
0,4,0,0
896,1531,45,180
2110,3066,148,2
5693,7958,307,0
1632,2419,54,9
160,272,6,42
1417,2151,92,0
889,1214,27,0
224,348,2,47
8,11,0,18
344,772,14,20
80,113,2,59
707,964,22,16
0,12,0,2
1221,1890,60,4
50,87,0,15
491,644,25,0
511,970,37,0
369,606,12,2
2883,3656,84,32
1762,3131,75,0
7,7,0,8
248,295,2,17
22,25,0,6
77,109,0,35
1797,2864,50,0
1978,3719,154,0
1696,2490,64,3
4658,7106,287,6
1860,3012,63,0
17,38,0,0
29,78,0,0
418,720,8,2
1308,1949,32,18
196,367,12,39
63,76,0,0
84,135,4,2
240,431,58,93
11,26,0,44
206,399,4,0
52,141,7,18
0,0,0,2
12,11,0,67
145,277,14,7
536,1017,37,4
6882,10960,402,0
2078,3485,196,3
99,236,6,4
504,655,17,0
3,1,0,0
9,42,0,12
1669,2911,89,2
1243,1923,28,0
99,156,6,6
116,186,35,0
5197,6368,77,0
54,87,0,0
4831,5875,211,28
3,11,0,0
257,431,13,46
281,447,14,0
4,11,0,8
8494,9007,167,13
531,1065,49,13
3203,4103,117,0
219,344,12,0
1322,2359,83,0
8,26,0,5
16,34,2,0
32,75,0,2
1205,1998,73,2
4132,6586,212,0
149,353,6,0
451,790,16,4
6349,8297,239,6
539,896,34,4
1571,1967,14,0
1625,2960,137,2
18,37,0,0
14,15,2,12
1771,2966,94,0
2312,3734,177,0
960,1550,99,10
2296,3579,84,26
29,24,2,5
80,122,3,0
38,75,0,23
143,219,3,0
138,167,0,0
288,540,22,23
26,35,0,81
5004,5188,141,0
90,138,0,0
0,3,0,0
720,952,51,0
437,531,8,7
531,1014,98,0
1177,1795,82,4
8,8,0,8
739,1309,59,0
733,1242,49,5
406,570,0,17
1218,2057,42,4
145,246,56,22
108,185,6,0
23,27,0,3
4,6,0,0
27,49,0,4
150,291,52,0
598,1309,95,0
822,1567,74,0
592,1242,44,12
457,858,16,23
2711,4025,146,0
838,1571,41,14
6,4,0,19
82,117,0,7
263,372,10,2
196,324,29,0
19,60,4,2
6551,9519,380,51
1223,1973,130,19
15,47,0,8
928,1860,120,2
22,65,0,20
50,94,0,7
108,186,7,3
39,49,0,5
3,22,0,0
49,167,33,0
167,270,14,16
4,1,0,0
95,181,10,2
1300,2102,29,0
117,139,10,0
892,1493,24,0
58,111,13,0
2,3,0,6
240,403,10,8
29,34,0,4
117,290,32,5
293,538,33,0
4900,7705,500,4
139,243,10,0
8640,14087,725,12
16,28,2,0
4,15,0,6
2185,2868,72,25
36,101,2,41
2915,4711,226,6
874,1482,57,2
139,291,4,2
54,96,0,92
33,53,0,0
4,2,0,0
108,191,2,29
2,5,0,2
0,0,0,0
66,86,0,0
4,12,0,
80,142,7,
469,740,34,
174,314,17,
7,12,0,
55,95,2,
47,66,2,
47,100,0,
107,142,0,
124,121,0,
175,252,6,
213,342,2,
303,423,2,
5,13,0,
704,1108,10,
521,876,17,
2,12,0,
146,356,9,
611,843,39,
414,560,42,
2402,4001,84,
362,670,27,
157,274,4,
128,186,8,
55,66,0,
1069,1840,53,
3733,5515,147,
2480,3825,93,
101,118,2,
2983,4435,81,
40,113,7,
209,228,0,
9,36,4,
12,0,0,
1931,2750,99,
0,3,0,
3505,5658,300,
209,190,2,
72,150,2,
177,242,0,
88,174,2,
1655,2188,32,
0,2,0,
496,640,6,
2,2,0,
1054,1808,44,
1181,2093,64,
42,108,0,
991,1721,53,
2492,3905,143,
737,1012,16,
33,58,2,
1337,1799,28,
40,55,0,
226,390,0,
0,0,0,
755,1103,26,
248,380,6,
881,1497,26,
162,355,9,
339,565,2,
84,172,10,
848,949,2,
17,40,0,
4325,6280,229,
72,137,14,
1407,2421,56,
3786,4938,228,
499,878,18,
556,924,26,
35,85,0,
260,323,4,
500,836,95,
199,286,15,
2,10,0,
0,15,0,
5517,8965,238,
556,798,23,
3552,5138,104,
545,727,15,
2309,3732,92,
4,3,0,
1526,2545,112,
1288,1832,32,
1037,1333,20,
49,66,5,
233,461,23,
4,14,0,
220,237,2,
99,188,2,
2,15,0,
1479,2421,47,
187,325,2,
804,1266,29,
52,66,0,
156,278,7,
303,483,24,
554,623,15,
1469,2411,55,
18,16,0,
969,1530,22,
381,610,25,
451,685,13,
107,162,2,
195,318,25,
521,804,20,
1051,1248,14,
1922,3215,98,
0,2,0,
290,549,12,
155,225,0,
0,2,0,
494,774,21,
4621,6554,142,
1076,1747,54,
356,715,13,
713,946,26,
2215,3092,64,
193,378,6,
182,298,10,
51,173,2,
4550,6886,157,
4,4,0,
26,12,0,
551,960,20,
89,289,31,
6,6,0,
142,282,13,
130,180,0,
