Bear1,2020_Checkers_PositionsNonbreeding_HR_model.rds,2020_Coca_Cola_PositionsNonbreeding_HR_model.rds,2020_Rikki_PositionsNonbreeding_HR_model.rds,2020_She_Tan_PositionsNonbreeding_HR_model.rds,2020_Tikki_PositionsNonbreeding_HR_model.rds,2020_Trouble_PositionsNonbreeding_HR_model.rds,2020_ZZ_PositionsNonbreeding_HR_model.rds,2021_Athena_PositionsNonbreeding_HR_model.rds,2021_Coca_Cola_PositionsNonbreeding_HR_model.rds,2021_Dahlia_PositionsNonbreeding_HR_model.rds,2021_Fanta_PositionsNonbreeding_HR_model.rds,2021_Ham_PositionsNonbreeding_HR_model.rds,2021_Maple_PositionsNonbreeding_HR_model.rds,2021_Mousse_PositionsNonbreeding_HR_model.rds,2021_Ombre_PositionsNonbreeding_HR_model.rds,2021_Rattlesnake_PositionsNonbreeding_HR_model.rds,2021_Rikki_PositionsNonbreeding_HR_model.rds,2021_She_Tan_PositionsNonbreeding_HR_model.rds,2021_Split_Ear_PositionsNonbreeding_HR_model.rds,2021_Squirt_PositionsNonbreeding_HR_model.rds,2021_Trouble_PositionsNonbreeding_HR_model.rds,2021_Wanderer_PositionsNonbreeding_HR_model.rds,2021_ZZ_PositionsNonbreeding_HR_model.rds,2022_Athena_PositionsNonbreeding_HR_model.rds,2022_Checkers_PositionsNonbreeding_HR_model.rds,2022_Coca_Cola_PositionsNonbreeding_HR_model.rds,2022_Dahlia_PositionsNonbreeding_HR_model.rds,2022_Fanta_PositionsNonbreeding_HR_model.rds,2022_Ham_PositionsNonbreeding_HR_model.rds,2022_Louise_PositionsNonbreeding_HR_model.rds,2022_Maple_PositionsNonbreeding_HR_model.rds,2022_Mousse_PositionsNonbreeding_HR_model.rds,2022_North_Miller_Sow_1_PositionsNonbreeding_HR_model.rds,2022_Ombre_PositionsNonbreeding_HR_model.rds,2022_Rattlesnake_PositionsNonbreeding_HR_model.rds,2022_Rikki_PositionsNonbreeding_HR_model.rds,2022_Split_Ear_PositionsNonbreeding_HR_model.rds,2022_Squirt_PositionsNonbreeding_HR_model.rds,2022_Trouble_PositionsNonbreeding_HR_model.rds,2022_Wanderer_PositionsNonbreeding_HR_model.rds,2022_ZZ_PositionsNonbreeding_HR_model.rds,2023_Athena1_PositionsNonbreeding_HR_model.rds,2023_Athena2_PositionsNonbreeding_HR_model.rds,2023_Blue_PositionsNonbreeding_HR_model.rds,2023_Blue2_PositionsNonbreeding_HR_model.rds,2023_Broom_PositionsNonbreeding_HR_model.rds,2023_Coca_Cola_PositionsNonbreeding_HR_model.rds,2023_Dahlia_PositionsNonbreeding_HR_model.rds,2023_Fanta_PositionsNonbreeding_HR_model.rds,2023_Hazel_PositionsNonbreeding_HR_model.rds,2023_Jay_PositionsNonbreeding_HR_model.rds,2023_JJ_PositionsNonbreeding_HR_model.rds,2023_Lilac_PositionsNonbreeding_HR_model.rds,2023_Louise_PositionsNonbreeding_HR_model.rds,2023_Maple1_PositionsNonbreeding_HR_model.rds,2023_Maple2_PositionsNonbreeding_HR_model.rds,2023_Mop_PositionsNonbreeding_HR_model.rds,2023_Ombre_PositionsNonbreeding_HR_model.rds,2023_Ruben_PositionsNonbreeding_HR_model.rds,2023_Skunk_PositionsNonbreeding_HR_model.rds,2023_Split_Ear_PositionsNonbreeding_HR_model.rds,2023_SplitEar2_PositionsNonbreeding_HR_model.rds,2023_Squirt_PositionsNonbreeding_HR_model.rds,2023_Thorn_PositionsNonbreeding_HR_model.rds,2023_Trouble_PositionsNonbreeding_HR_model.rds,2023_ZZ_PositionsNonbreeding_HR_model.rds,2024_Athena_PositionsNonbreeding_HR_model.rds,2024_Blue_PositionsNonbreeding_HR_model.rds,2024_Blue2_2_PositionsNonbreeding_HR_model.rds,2024_Blue2_PositionsNonbreeding_HR_model.rds,2024_Broom_PositionsNonbreeding_HR_model.rds,2024_CocaCola_PositionsNonbreeding_HR_model.rds,2024_Dahlia_PositionsNonbreeding_HR_model.rds,2024_Fork_PositionsNonbreeding_HR_model.rds,2024_Frostbite_PositionsNonbreeding_HR_model.rds,2024_Goldie_PositionsNonbreeding_HR_model.rds,2024_LMM_PositionsNonbreeding_HR_model.rds,2024_Louise_PositionsNonbreeding_HR_model.rds,2024_Maple_PositionsNonbreeding_HR_model.rds,2024_MillerSow3_PositionsNonbreeding_HR_model.rds,2024_Mop_PositionsNonbreeding_HR_model.rds,2024_Mowgli_PositionsNonbreeding_HR_model.rds,2024_Ratatouille_PositionsNonbreeding_HR_model.rds,2024_RJBmale_PositionsNonbreeding_HR_model.rds,2024_Ruben_PositionsNonbreeding_HR_model.rds,2024_Skunk_PositionsNonbreeding_HR_model.rds,2024_SplitEar_2_PositionsNonbreeding_HR_model.rds,2024_SplitEar1_PositionsNonbreeding_HR_model.rds,2024_SplitEar2_PositionsNonbreeding_HR_model.rds,2024_Squirt1_PositionsNonbreeding_HR_model.rds,2024_Squirt2_PositionsNonbreeding_HR_model.rds,2024_Tanja_PositionsNonbreeding_HR_model.rds,2024_Thorn_PositionsNonbreeding_HR_model.rds,2024_Toothless_PositionsNonbreeding_HR_model.rds,2024_ZZ_PositionsNonbreeding_HR_model.rds,Derived_2023_Squirt_PositionsNonbreeding_HR_model.rds
2020_Checkers_PositionsNonbreeding_HR_model.rds,0.0000,0.4996,0.0064,0.5835,0.4597,0.6603,0.0204,0.0125,0.0478,0.0581,0.0704,0.1942,0.6743,0.2988,0.7544,0.0793,0.0064,0.0240,0.0235,0.1916,0.1168,0.5989,0.0659,0.0257,0.3861,0.3277,0.0963,0.3416,0.0501,0.1200,0.6463,0.6270,0.0013,0.7398,0.1273,0.0062,0.2234,0.1809,0.1236,0.0000,0.1434,0.0112,0.0530,0.0808,0.5743,0.1527,0.0412,0.0820,0.0607,0.1282,0.7448,0.0001,0.7932,0.0224,0.2187,0.7652,0.6813,0.1431,0.0051,0.0181,0.0403,0.7397,0.5660,0.1238,0.0691,0.0099,0.0324,0.0798,0.0747,0.8352,0.0554,0.0282,0.1733,0.1958,0.0148,0.0961,0.4357,0.0001,0.7880,0.0460,0.0507,0.0827,0.0000,0.5686,0.2384,0.0002,0.0863,0.0222,0.0555,0.1795,0.3397,0.2323,0.0267,0.9589,0.3153,0.5660
2020_Coca_Cola_PositionsNonbreeding_HR_model.rds,0.4996,0.0000,0.2135,0.9307,0.8608,0.7858,0.5403,0.4978,0.5017,0.5036,0.7903,0.9366,0.7259,0.4979,0.4320,0.3713,0.2317,0.3085,0.6091,0.6055,0.8465,0.7765,0.7599,0.6237,0.6554,0.9525,0.6104,0.7351,0.4578,0.7835,0.7235,0.2097,0.3338,0.4817,0.5640,0.2772,0.9021,0.5606,0.8971,0.0000,0.7929,0.4418,0.6215,0.2360,0.8708,0.4975,0.4192,0.4287,0.3568,0.5710,0.4794,0.1169,0.7578,0.6310,0.1741,0.6693,0.7702,0.2790,0.2735,0.1073,0.6475,0.8403,0.8499,0.7084,0.6100,0.5959,0.5793,0.2172,0.0410,0.3824,0.3580,0.2525,0.7403,0.5656,0.6012,0.7467,0.9991,0.0021,0.6464,0.5077,0.3732,0.8431,0.0010,0.5343,0.6176,0.0009,0.0274,0.4741,0.5814,0.6101,0.5776,0.8911,0.4906,0.4960,0.9480,0.8499
2020_Rikki_PositionsNonbreeding_HR_model.rds,0.0064,0.2135,0.0000,0.1496,0.1232,0.3033,0.9437,0.1871,0.3083,0.1387,0.2334,0.2677,0.0132,0.1051,0.0003,0.0642,0.9951,0.2497,0.3006,0.0445,0.2010,0.4052,0.2192,0.2315,0.7077,0.2577,0.0938,0.0929,0.0904,0.2438,0.0067,0.7806,0.1142,0.0004,0.0637,0.9411,0.2118,0.0303,0.2489,0.0000,0.2432,0.2193,0.1382,0.0000,0.1152,0.0005,0.3055,0.0126,0.0271,0.0015,0.0000,0.0000,0.8089,0.2090,0.0000,0.0023,0.1568,0.0000,0.0004,0.0000,0.2719,0.2991,0.0763,0.0461,0.1883,0.2248,0.1861,0.0000,0.0000,0.0000,0.0000,0.0809,0.1467,0.0008,0.2104,0.2289,0.2155,0.0000,0.0022,0.0508,0.0001,0.2734,0.0000,0.1234,0.0820,0.0000,0.0000,0.2463,0.1168,0.0142,0.0070,0.1791,0.0250,0.0019,0.1781,0.0763
2020_She_Tan_PositionsNonbreeding_HR_model.rds,0.5835,0.9307,0.1496,0.0000,0.9609,0.8016,0.3923,0.3478,0.3375,0.3461,0.5738,0.7132,0.6664,0.6394,0.6991,0.3331,0.1621,0.2128,0.4160,0.4417,0.7272,0.8211,0.6239,0.4361,0.6326,0.7152,0.4356,0.9036,0.3134,0.5757,0.6300,0.2122,0.2438,0.7248,0.4884,0.1933,0.7253,0.4108,0.6917,0.0000,0.5912,0.3046,0.4457,0.3705,0.9988,0.7010,0.2838,0.3015,0.2440,0.6298,0.4774,0.0974,0.6820,0.4536,0.1321,0.6563,0.9110,0.3144,0.2272,0.4037,0.4451,0.9168,0.6858,0.6825,0.4208,0.4878,0.4029,0.3512,0.0434,0.4865,0.5158,0.1667,0.5379,0.6555,0.4670,0.5230,0.9170,0.0019,0.5841,0.4120,0.3445,0.6630,0.0574,0.8400,0.5598,0.0030,0.0277,0.3209,0.4145,0.4392,0.4338,0.6720,0.3845,0.6596,0.8701,0.6858
2020_Tikki_PositionsNonbreeding_HR_model.rds,0.4597,0.8608,0.1232,0.9609,0.0000,0.9515,0.3344,0.3572,0.2756,0.2836,0.4605,0.7496,0.4742,0.6853,0.5510,0.7043,0.1348,0.1597,0.4233,0.3542,0.6771,0.8967,0.6768,0.4827,0.4423,0.6314,0.3813,0.9885,0.2629,0.7200,0.4492,0.2884,0.3074,0.5494,0.6734,0.1646,0.8546,0.3337,0.6010,0.0004,0.7393,0.2972,0.5018,0.2729,0.9668,0.5090,0.2183,0.2349,0.1758,0.4607,0.3355,0.1241,0.8478,0.6061,0.0886,0.4683,0.9888,0.2205,0.2517,0.3532,0.4413,0.9978,0.5335,0.5434,0.3177,0.4921,0.4022,0.2605,0.0308,0.3585,0.3729,0.1313,0.4838,0.4687,0.6124,0.4989,0.8231,0.0018,0.4195,0.4843,0.2403,0.6057,0.1947,0.8098,0.7577,0.0028,0.0197,0.2952,0.4016,0.3282,0.3174,0.5220,0.2826,0.5613,0.9385,0.5335
2020_Trouble_PositionsNonbreeding_HR_model.rds,0.6603,0.7858,0.3033,0.8016,0.9515,0.0000,0.5608,0.4753,0.4616,0.4425,0.6579,0.7602,0.6773,0.5982,0.7225,0.8884,0.3219,0.3782,0.5550,0.5101,0.7521,0.9344,0.7602,0.5803,0.6456,0.7046,0.5023,0.9251,0.4098,0.7287,0.6608,0.5680,0.4402,0.7204,0.6118,0.3701,0.8125,0.4722,0.7241,0.0040,0.7772,0.4244,0.5626,0.6035,0.8099,0.7066,0.4239,0.3867,0.3883,0.6923,0.6099,0.2569,0.8353,0.6745,0.2687,0.6783,0.9592,0.5370,0.2632,0.6601,0.5634,0.9926,0.6733,0.7176,0.5514,0.7059,0.5152,0.5959,0.1872,0.6388,0.6608,0.2650,0.5866,0.6951,0.7511,0.6016,0.7789,0.0025,0.6439,0.4780,0.5334,0.7335,0.6288,0.7258,0.7130,0.0797,0.1032,0.4361,0.4952,0.5238,0.5216,0.6867,0.5720,0.7170,0.8433,0.6733
2020_ZZ_PositionsNonbreeding_HR_model.rds,0.0204,0.5403,0.9437,0.3923,0.3344,0.5608,0.0000,0.1877,0.4368,0.3260,0.7861,0.5685,0.0780,0.2365,0.0056,0.1093,0.9343,0.9391,0.3085,0.1463,0.7055,0.5310,0.6225,0.2412,0.5431,0.5003,0.1927,0.2735,0.2843,0.3836,0.0772,0.8497,0.1879,0.0074,0.0915,0.9069,0.4716,0.1644,0.7951,0.0000,0.4803,0.2728,0.1574,0.0004,0.3106,0.0419,0.7006,0.3086,0.8518,0.1140,0.0029,0.6274,0.8363,0.2507,0.7347,0.0304,0.3477,0.1054,0.0673,0.0000,0.2866,0.6132,0.1937,0.5006,0.6766,0.7694,0.1940,0.0004,0.3800,0.0005,0.0062,0.9333,0.2541,0.0409,0.4494,0.3292,0.5903,0.5614,0.0384,0.0583,0.3989,0.8248,0.0000,0.2245,0.1162,0.0703,0.4014,0.3461,0.1471,0.2057,0.1024,0.6219,0.6196,0.0118,0.4755,0.1937
2021_Athena_PositionsNonbreeding_HR_model.rds,0.0125,0.4978,0.1871,0.3478,0.3572,0.4753,0.1877,0.0000,0.5876,0.6038,0.3150,0.6370,0.0458,0.2455,0.0012,0.2989,0.2088,0.1018,0.9752,0.3551,0.2773,0.6235,0.3476,0.9612,0.0384,0.5853,0.6218,0.2667,0.7141,0.7837,0.0302,0.7559,0.6053,0.0015,0.4917,0.2273,0.6032,0.2872,0.3456,0.0000,0.6280,0.9865,0.9089,0.0000,0.2966,0.0006,0.3288,0.3924,0.0929,0.0020,0.0008,0.0662,0.8737,0.7947,0.0004,0.0150,0.5056,0.0000,0.5295,0.0000,0.9411,0.4747,0.2705,0.0372,0.2172,0.1720,0.9765,0.0000,0.0000,0.0000,0.0000,0.2283,0.6061,0.0024,0.3898,0.8222,0.4490,0.0050,0.0156,0.6438,0.0001,0.3299,0.0000,0.1956,0.4791,0.0000,0.0000,0.9334,0.8726,0.1438,0.1076,0.2539,0.0168,0.0084,0.4662,0.2705
2021_Coca_Cola_PositionsNonbreeding_HR_model.rds,0.0478,0.5017,0.3083,0.3375,0.2756,0.4616,0.4368,0.5876,0.0000,0.8870,0.5963,0.5823,0.1398,0.2104,0.0060,0.1674,0.3333,0.3673,0.7351,0.5541,0.3593,0.5549,0.3495,0.6064,0.2392,0.6886,0.6741,0.2175,0.8625,0.5467,0.1180,0.8005,0.1565,0.0079,0.2718,0.3474,0.4734,0.4819,0.5180,0.0000,0.4927,0.6364,0.5494,0.0000,0.2836,0.0037,0.8837,0.6527,0.4876,0.0121,0.0065,0.0028,0.8624,0.4370,0.0094,0.0593,0.2785,0.0000,0.0546,0.0000,0.7612,0.3748,0.4326,0.1091,0.6423,0.2201,0.6859,0.0000,0.0000,0.0005,0.0001,0.7213,0.6665,0.0147,0.2902,0.7608,0.4965,0.0001,0.0712,0.2919,0.0014,0.4451,0.0000,0.2246,0.2901,0.0000,0.0000,0.8409,0.6251,0.4362,0.3111,0.5190,0.0690,0.0261,0.3969,0.4326
2021_Dahlia_PositionsNonbreeding_HR_model.rds,0.0581,0.5036,0.1387,0.3461,0.2836,0.4425,0.3260,0.6038,0.8870,0.0000,0.5315,0.5680,0.1502,0.2140,0.0062,0.1891,0.1510,0.2135,0.7055,0.7730,0.3098,0.5637,0.2908,0.6256,0.2061,0.6898,0.9043,0.2235,0.9777,0.5695,0.1302,0.7892,0.0942,0.0080,0.3695,0.1597,0.4776,0.7318,0.4680,0.0000,0.4711,0.6188,0.6450,0.0000,0.2996,0.0025,0.6542,0.9229,0.3553,0.0085,0.0071,0.0004,0.8689,0.4323,0.0057,0.0683,0.2954,0.0000,0.1509,0.0000,0.8004,0.3080,0.5037,0.0858,0.5248,0.1440,0.7702,0.0000,0.0000,0.0004,0.0001,0.5331,0.8274,0.0121,0.2228,0.8462,0.4917,0.0002,0.0808,0.4607,0.0007,0.3649,0.0000,0.2375,0.3738,0.0000,0.0000,0.8160,0.8201,0.5469,0.4194,0.4871,0.0421,0.0339,0.3952,0.5037
