,longitude,latitude,Z,L1,study_timestamp,individual_local_identifier
1,-113.9694906,46.72375985,0,1,5/23/2025 0:00,bear_1
2,-113.9717629,46.72669252,0,1,5/23/2025 1:00,bear_1
3,-113.9675688,46.72840632,0,1,5/23/2025 2:00,bear_1
4,-113.9658064,46.7315894,0,1,5/23/2025 3:00,bear_1
5,-113.9631764,46.73406149,0,1,5/23/2025 4:00,bear_1
6,-113.9674801,46.73564122,0,1,5/23/2025 5:00,bear_1
7,-113.9650918,46.73889499,0,1,5/23/2025 6:00,bear_1
8,-113.9626342,46.74184748,0,1,5/23/2025 7:00,bear_1
9,-113.9643002,46.74502763,0,1,5/23/2025 8:00,bear_1
10,-113.9623757,46.7477258,0,1,5/23/2025 9:00,bear_1
11,-113.9625182,46.750769,0,1,5/23/2025 10:00,bear_1
12,-113.9659397,46.74860082,0,1,5/23/2025 11:00,bear_1
13,-113.9673742,46.75105116,0,1,5/23/2025 12:00,bear_1
14,-113.9708424,46.749635,0,1,5/23/2025 13:00,bear_1
15,-113.974479,46.75090959,0,1,5/23/2025 14:00,bear_1
16,-113.9722556,46.75378409,0,1,5/23/2025 15:00,bear_1
17,-113.9681004,46.75569046,0,1,5/23/2025 16:00,bear_1
18,-113.9630704,46.7551299,0,1,5/23/2025 17:00,bear_1
19,-113.9663962,46.75332397,0,1,5/23/2025 18:00,bear_1
20,-113.9602145,46.7543263,0,1,5/23/2025 19:00,bear_1
21,-113.9603514,46.75209942,0,1,5/23/2025 20:00,bear_1
22,-113.9580566,46.74989088,0,1,5/23/2025 21:00,bear_1
23,-113.954435,46.74785878,0,1,5/23/2025 22:00,bear_1
24,-113.9575714,46.74554081,0,1,5/23/2025 23:00,bear_1
25,-113.9531152,46.7449023,0,1,5/24/2025 0:00,bear_1
26,-113.9539067,46.74189297,0,1,5/24/2025 1:00,bear_1
27,-113.9579281,46.73997081,0,1,5/24/2025 2:00,bear_1
28,-113.9615095,46.73829401,0,1,5/24/2025 3:00,bear_1
29,-113.965992,46.74077061,0,1,5/24/2025 4:00,bear_1
30,-113.9709691,46.74192015,0,1,5/24/2025 5:00,bear_1
31,-113.9720398,46.74464922,0,1,5/24/2025 6:00,bear_1
32,-113.9764275,46.74565568,0,1,5/24/2025 7:00,bear_1
33,-113.9754756,46.74822223,0,1,5/24/2025 8:00,bear_1
34,-113.9776848,46.75050924,0,1,5/24/2025 9:00,bear_1
35,-113.981621,46.75295677,0,1,5/24/2025 10:00,bear_1
36,-113.9852574,46.74979,0,1,5/24/2025 11:00,bear_1
37,-113.9817659,46.74624651,0,1,5/24/2025 12:00,bear_1
38,-113.9778214,46.74389943,0,1,5/24/2025 13:00,bear_1
39,-113.9763433,46.74117149,0,1,5/24/2025 14:00,bear_1
40,-113.9713798,46.7390946,0,1,5/24/2025 15:00,bear_1
41,-113.9720529,46.73573478,0,1,5/24/2025 16:00,bear_1
42,-113.9643854,46.73614548,0,1,5/24/2025 17:00,bear_1
43,-113.9582445,46.7360627,0,1,5/24/2025 18:00,bear_1
44,-113.9582807,46.73316294,0,1,5/24/2025 19:00,bear_1
45,-113.9531851,46.73515522,0,1,5/24/2025 20:00,bear_1
46,-113.9507188,46.73956695,0,1,5/24/2025 21:00,bear_1
47,-113.9495813,46.7423413,0,1,5/24/2025 22:00,bear_1
48,-113.948382,46.74476894,0,1,5/24/2025 23:00,bear_1
49,-113.9482958,46.74799728,0,1,5/25/2025 0:00,bear_1
50,-113.9532072,46.75077976,0,1,5/25/2025 1:00,bear_1
51,-113.9554598,46.7535565,0,1,5/25/2025 2:00,bear_1
52,-113.9572718,46.75704931,0,1,5/25/2025 3:00,bear_1
53,-113.962806,46.76077108,0,1,5/25/2025 4:00,bear_1
54,-113.9680283,46.7636156,0,1,5/25/2025 5:00,bear_1
55,-113.9746633,46.76440581,0,1,5/25/2025 6:00,bear_1
