,longitude,latitude,Z,L1,study_timestamp,individual_local_identifier
1,-113.9692562,46.72027881,0,1,1/1/2023 0:00,bear_1
2,-113.9640301,46.71881661,0,1,1/1/2023 1:00,bear_1
3,-113.9629081,46.72149573,0,1,1/1/2023 2:00,bear_1
4,-113.9646453,46.72413367,0,1,1/1/2023 3:00,bear_1
5,-113.9665826,46.72517545,0,1,1/1/2023 4:00,bear_1
6,-113.966427,46.72800376,0,1,1/1/2023 5:00,bear_1
7,-113.9686021,46.73089951,0,1,1/1/2023 6:00,bear_1
8,-113.964862,46.73281237,0,1,1/1/2023 7:00,bear_1
9,-113.9703749,46.73367899,0,1,1/1/2023 8:00,bear_1
10,-113.9741101,46.73512699,0,1,1/1/2023 9:00,bear_1
11,-113.9735886,46.7326476,0,1,1/1/2023 10:00,bear_1
12,-113.9690304,46.73240371,0,1,1/1/2023 11:00,bear_1
13,-113.9675409,46.73521871,0,1,1/1/2023 12:00,bear_1
14,-113.9621798,46.73359906,0,1,1/1/2023 13:00,bear_1
15,-113.9624537,46.73018651,0,1,1/1/2023 14:00,bear_1
16,-113.9584184,46.73166519,0,1,1/1/2023 15:00,bear_1
17,-113.9573633,46.7288424,0,1,1/1/2023 16:00,bear_1
18,-113.9606117,46.72835189,0,1,1/1/2023 17:00,bear_1
19,-113.9640236,46.72766481,0,1,1/1/2023 18:00,bear_1
20,-113.9694771,46.72735854,0,1,1/1/2023 19:00,bear_1
21,-113.9734921,46.72596244,0,1,1/1/2023 20:00,bear_1
22,-113.9768094,46.72803031,0,1,1/1/2023 21:00,bear_1
23,-113.977288,46.73080213,0,1,1/1/2023 22:00,bear_1
24,-113.9780778,46.73378553,0,1,1/1/2023 23:00,bear_1
25,-113.9801536,46.73728185,0,1,1/2/2023 0:00,bear_1
26,-113.9745682,46.73732772,0,1,1/2/2023 1:00,bear_1
27,-113.9701107,46.73706125,0,1,1/2/2023 2:00,bear_1
28,-113.9673796,46.7407594,0,1,1/2/2023 3:00,bear_1
29,-113.9634509,46.73914623,0,1,1/2/2023 4:00,bear_1
30,-113.966457,46.73823325,0,1,1/2/2023 5:00,bear_1
31,-113.970266,46.73991944,0,1,1/2/2023 6:00,bear_1
32,-113.973308,46.74278903,0,1,1/2/2023 7:00,bear_1
33,-113.9738254,46.74611648,0,1,1/2/2023 8:00,bear_1
34,-113.9777477,46.74832206,0,1,1/2/2023 9:00,bear_1
35,-113.978205,46.75152338,0,1,1/2/2023 10:00,bear_1
36,-113.9832813,46.75349266,0,1,1/2/2023 11:00,bear_1
37,-113.9854138,46.75102613,0,1,1/2/2023 12:00,bear_1
38,-113.9819051,46.7492366,0,1,1/2/2023 13:00,bear_1
39,-113.9840058,46.74714849,0,1,1/2/2023 14:00,bear_1
40,-113.9813535,46.74554812,0,1,1/2/2023 15:00,bear_1
41,-113.9771545,46.74613067,0,1,1/2/2023 16:00,bear_1
42,-113.9747192,46.7483913,0,1,1/2/2023 17:00,bear_1
43,-113.971479,46.74817295,0,1,1/2/2023 18:00,bear_1
44,-113.9712913,46.75037214,0,1,1/2/2023 19:00,bear_1
45,-113.9743083,46.75167025,0,1,1/2/2023 20:00,bear_1
46,-113.9770409,46.75309623,0,1,1/2/2023 21:00,bear_1
47,-113.9769335,46.75574785,0,1,1/2/2023 22:00,bear_1
48,-113.9795764,46.75449836,0,1,1/2/2023 23:00,bear_1
49,-113.9798723,46.75291376,0,1,1/3/2023 0:00,bear_1
50,-113.9834111,46.75180261,0,1,1/3/2023 1:00,bear_1
51,-113.9861661,46.75340055,0,1,1/3/2023 2:00,bear_1
52,-113.9889369,46.75288985,0,1,1/3/2023 3:00,bear_1
53,-113.9879449,46.75079793,0,1,1/3/2023 4:00,bear_1
54,-113.9910497,46.75214034,0,1,1/3/2023 5:00,bear_1
55,-113.9901583,46.75459,0,1,1/3/2023 6:00,bear_1
56,-113.9869717,46.75572243,0,1,1/3/2023 7:00,bear_1
57,-113.9838033,46.75689584,0,1,1/3/2023 8:00,bear_1
58,-113.9816599,46.75492346,0,1,1/3/2023 9:00,bear_1
59,-113.9787639,46.7535486,0,1,1/3/2023 10:00,bear_1
60,-113.9749487,46.75324721,0,1,1/3/2023 11:00,bear_1
61,-113.9718615,46.75300797,0,1,1/3/2023 12:00,bear_1
62,-113.9681462,46.75278824,0,1,1/3/2023 13:00,bear_1
63,-113.9697467,46.75562982,0,1,1/3/2023 14:00,bear_1
64,-113.9733929,46.75692155,0,1,1/3/2023 15:00,bear_1
65,-113.9774447,46.75805728,0,1,1/3/2023 16:00,bear_1
66,-113.979406,46.76078646,0,1,1/3/2023 17:00,bear_1
67,-113.9835689,46.76169574,0,1,1/3/2023 18:00,bear_1
68,-113.9865119,46.7603488,0,1,1/3/2023 19:00,bear_1
69,-113.9878373,46.75834081,0,1,1/3/2023 20:00,bear_1
70,-113.9845153,46.75993575,0,1,1/3/2023 21:00,bear_1
71,-113.9862671,46.76257313,0,1,1/3/2023 22:00,bear_1
72,-113.9829885,46.76285953,0,1,1/3/2023 23:00,bear_1
73,-113.9816455,46.76168631,0,1,1/4/2023 0:00,bear_1
74,-113.9801781,46.76002551,0,1,1/4/2023 1:00,bear_1
75,-113.9771886,46.75955703,0,1,1/4/2023 2:00,bear_1
76,-113.9753329,46.75779242,0,1,1/4/2023 3:00,bear_1
77,-113.9777821,46.75695093,0,1,1/4/2023 4:00,bear_1
78,-113.9805717,46.75716286,0,1,1/4/2023 5:00,bear_1
79,-113.9837971,46.75806491,0,1,1/4/2023 6:00,bear_1
