Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40885,2022-11-09 13:00:35,2022-11-09 7:00:35,2022-11-09 14:02:05,2022-11-09 07:02:05-07:00,Iridium,46.74842,-113.9477,1336,10,3D Validated,Nothing Detected,0,3.44,3.68,Animal with Collar 40885
40885,2022-11-09 11:00:38,2022-11-09 5:00:38,2022-11-09 14:02:05,2022-11-09 07:02:05-07:00,Iridium,46.74837,-113.94742,1323,4.4,3D Validated,Nothing Detected,0,3.44,3.68,Animal with Collar 40885
40885,2022-11-09 9:00:44,2022-11-09 3:00:44,2022-11-09 14:02:14,2022-11-09 07:02:14-07:00,Iridium,46.74836,-113.94743,1324,4.6,3D Validated,Nothing Detected,4,3.44,3.68,Animal with Collar 40885
40885,2022-11-09 6:02:19,2022-11-09 0:02:19,2022-11-09 14:02:21,2022-11-09 07:02:21-07:00,Iridium,46.74835,-113.94733,1328,4.4,3D,Nothing Detected,3,3.36,3.68,Animal with Collar 40885
40885,2022-11-09 2:01:21,2022-11-08 20:01:21,2022-11-09 14:02:28,2022-11-09 07:02:28-07:00,Iridium,46.74835,-113.94756,1314,3.6,3D Validated,Nothing Detected,3,3.36,3.68,Animal with Collar 40885
40885,2022-11-06 2:01:02,2022-11-05 20:01:02,2022-11-06 2:01:21,2022-11-05 20:01:21-06:00,Iridium,46.74831,-113.94746,1321,2.4,3D Validated,Nothing Detected,5,3.36,3.68,Animal with Collar 40885
40885,2022-11-06 1:00:38,2022-11-05 19:00:38,2022-11-06 2:01:21,2022-11-05 20:01:21-06:00,Iridium,46.74834,-113.94754,1325,3.4,3D Validated,Nothing Detected,7,3.36,3.68,Animal with Collar 40885
40885,2022-11-06 0:00:38,2022-11-05 18:00:38,2022-11-06 2:01:21,2022-11-05 20:01:21-06:00,Iridium,46.7483,-113.9475,1324,7,3D Validated,Nothing Detected,10,3.36,3.68,Animal with Collar 40885
40885,2022-11-05 23:00:40,2022-11-05 17:00:40,2022-11-06 2:01:21,2022-11-05 20:01:21-06:00,Iridium,46.74837,-113.94741,1325,2,3D Validated,Nothing Detected,10,3.36,3.68,Animal with Collar 40885
40885,2022-11-05 18:00:38,2022-11-05 12:00:38,2022-11-05 18:01:40,2022-11-05 12:01:40-06:00,Iridium,46.73736,-113.94997,1428,2.4,3D Validated,Nothing Detected,8,3.44,3.68,Animal with Collar 40885
