Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40885,2023-12-28 22:01:00,2023-12-28 15:01:00-07:00,2023-12-28 22:01:53,2023-12-28 15:01:53-07:00,Iridium,46.73433,-113.95657,1455,5.4,3D Validated,Nothing Detected,14,3.36,3.68,Animal with Collar 40885
40885,2023-12-28 21:01:39,2023-12-28 14:01:39-07:00,2023-12-28 22:01:53,2023-12-28 15:01:53-07:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.36,3.68,Animal with Collar 40885
40885,2023-12-28 20:01:39,2023-12-28 13:01:39-07:00,2023-12-28 22:01:53,2023-12-28 15:01:53-07:00,Iridium,,,,0,No Fix,Nothing Detected,13,3.36,3.68,Animal with Collar 40885
40885,2023-12-28 19:01:39,2023-12-28 12:01:39-07:00,2023-12-28 22:01:53,2023-12-28 15:01:53-07:00,Iridium,,,,0,No Fix,Nothing Detected,9,3.36,3.68,Animal with Collar 40885
40885,2023-12-28 18:01:39,2023-12-28 11:01:39-07:00,2023-12-28 22:02:00,2023-12-28 15:02:00-07:00,Iridium,,,,0,No Fix,Nothing Detected,11,3.36,3.68,Animal with Collar 40885
40885,2023-12-28 17:01:39,2023-12-28 10:01:39-07:00,2023-12-28 22:02:00,2023-12-28 15:02:00-07:00,Iridium,,,,0,No Fix,Nothing Detected,10,3.36,3.68,Animal with Collar 40885
40885,2023-12-28 16:01:39,2023-12-28 09:01:39-07:00,2023-12-28 22:02:00,2023-12-28 15:02:00-07:00,Iridium,,,,0,No Fix,Nothing Detected,11,3.44,3.68,Animal with Collar 40885
40885,2023-12-28 15:01:39,2023-12-28 08:01:39-07:00,2023-12-28 22:02:00,2023-12-28 15:02:00-07:00,Iridium,,,,0,No Fix,Nothing Detected,11,3.36,3.68,Animal with Collar 40885
40885,2023-12-28 14:51:42,2023-12-28 07:51:42-07:00,2023-12-28 22:02:09,2023-12-28 15:02:09-07:00,Iridium,,,,0,No Fix,Nothing Detected,11,3.36,3.68,Animal with Collar 40885
40885,2023-12-27 14:01:39,2023-12-27 07:01:39-07:00,2023-12-28 22:02:09,2023-12-28 15:02:09-07:00,Iridium,,,,0,No Fix,Nothing Detected,7,3.44,3.68,Animal with Collar 40885
