Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40885,2024-12-05 19:45:40,2024-12-05 12:45:40-07:00,2024-12-05 19:46:04,2024-12-05 12:46:04-07:00,Iridium,46.72821,-113.94482,1647,8.2,3D Valid,Nothing Detected,10,3.36,3.68,Animal with Collar 40885
40885,2024-11-14 00:00:09,2024-11-13 17:00:09-07:00,2024-11-14 00:00:32,2024-11-13 17:00:32-07:00,Iridium,46.72829,-113.94469,1634,5,3D Valid,Nothing Detected,12,3.36,3.68,Animal with Collar 40885
40885,2024-11-13 23:01:38,2024-11-13 16:01:38-07:00,2024-11-14 00:00:32,2024-11-13 17:00:32-07:00,Iridium,46.72824,-113.94486,1636,2.8,3D Valid,Nothing Detected,15,3.36,3.68,Animal with Collar 40885
40885,2024-11-13 04:01:18,2024-11-12 21:01:18-07:00,2024-11-14 00:01:25,2024-11-13 17:01:25-07:00,Iridium,46.72827,-113.94511,1614,6.2,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40885
40885,2024-11-13 01:01:02,2024-11-12 18:01:02-07:00,2024-11-14 00:01:25,2024-11-13 17:01:25-07:00,Iridium,46.72834,-113.94493,1630,2.8,3D Valid,Nothing Detected,14,3.36,3.68,Animal with Collar 40885
40885,2024-11-13 00:01:08,2024-11-12 17:01:08-07:00,2024-11-14 00:01:33,2024-11-13 17:01:33-07:00,Iridium,46.72829,-113.94487,1625,5.2,3D Valid,Nothing Detected,12,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 23:00:37,2024-11-12 16:00:37-07:00,2024-11-14 00:01:33,2024-11-13 17:01:33-07:00,Iridium,46.72830,-113.94472,1627,1.8,3D Valid,Nothing Detected,11,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 20:00:38,2024-11-12 13:00:38-07:00,2024-11-12 20:01:04,2024-11-12 13:01:04-07:00,Iridium,46.72832,-113.94482,1632,2.6,3D Valid,Nothing Detected,11,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 19:00:10,2024-11-12 12:00:10-07:00,2024-11-12 20:01:04,2024-11-12 13:01:04-07:00,Iridium,46.72831,-113.94462,1626,3.6,3D Valid,Nothing Detected,8,3.44,3.68,Animal with Collar 40885
40885,2024-11-12 18:00:36,2024-11-12 11:00:36-07:00,2024-11-12 20:01:04,2024-11-12 13:01:04-07:00,Iridium,46.72823,-113.94461,1626,2.6,3D Valid,Nothing Detected,9,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 17:00:40,2024-11-12 10:00:40-07:00,2024-11-12 20:01:04,2024-11-12 13:01:04-07:00,Iridium,46.72830,-113.94463,1629,3,3D Valid,Nothing Detected,9,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 16:00:38,2024-11-12 09:00:38-07:00,2024-11-12 16:01:44,2024-11-12 09:01:44-07:00,Iridium,46.72825,-113.94463,1638,4,3D Valid,Nothing Detected,9,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 15:01:15,2024-11-12 08:01:15-07:00,2024-11-12 16:01:44,2024-11-12 09:01:44-07:00,Iridium,46.72841,-113.94457,1649,5.4,3D,Nothing Detected,13,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 13:00:38,2024-11-12 06:00:38-07:00,2024-11-12 16:01:44,2024-11-12 09:01:44-07:00,Iridium,46.72816,-113.94451,1642,2.4,3D Valid,Nothing Detected,21,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 12:00:36,2024-11-12 05:00:36-07:00,2024-11-12 12:02:06,2024-11-12 05:02:06-07:00,Iridium,46.72824,-113.94463,1622,3.8,3D Valid,Nothing Detected,19,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 11:00:38,2024-11-12 04:00:38-07:00,2024-11-12 12:02:06,2024-11-12 05:02:06-07:00,Iridium,46.72826,-113.94462,1620,3.6,3D Valid,Nothing Detected,20,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 08:00:35,2024-11-12 01:00:35-07:00,2024-11-12 08:01:48,2024-11-12 01:01:48-07:00,Iridium,46.72828,-113.94462,1623,2.6,3D Valid,Nothing Detected,15,3.36,3.68,Animal with Collar 40885
40885,2024-11-12 07:00:36,2024-11-12 00:00:36-07:00,2024-11-12 08:01:48,2024-11-12 01:01:48-07:00,Iridium,46.72829,-113.94462,1631,2.4,3D Valid,Nothing Detected,10,3.44,3.68,Animal with Collar 40885
40885,2024-11-12 06:00:11,2024-11-11 23:00:11-07:00,2024-11-12 08:01:48,2024-11-12 01:01:48-07:00,Iridium,46.72840,-113.94457,1655,4.2,3D Valid,Nothing Detected,8,3.44,3.68,Animal with Collar 40885
40885,2024-11-12 05:00:38,2024-11-11 22:00:38-07:00,2024-11-12 08:01:48,2024-11-12 01:01:48-07:00,Iridium,46.72829,-113.94460,1642,1.6,3D Valid,Nothing Detected,9,3.36,3.68,Animal with Collar 40885
