Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40881,2023-03-10 9:00:36,2023-03-10 3:00:36,2023-03-10 9:01:03,2023-03-10 02:01:03-07:00,Iridium,46.72496,-113.96273,1490,2.6,3D Validated,Nothing Detected,3,3.36,3.6,Animal with Collar 40881
40881,2023-03-10 8:00:36,2023-03-10 2:00:36,2023-03-10 9:01:03,2023-03-10 02:01:03-07:00,Iridium,46.72493,-113.96263,1475,2.4,3D Validated,Nothing Detected,5,3.36,3.6,Animal with Collar 40881
40881,2023-03-10 7:00:38,2023-03-10 1:00:38,2023-03-10 9:01:03,2023-03-10 02:01:03-07:00,Iridium,46.725,-113.9627,1497,4.2,3D Validated,Nothing Detected,5,3.36,3.6,Animal with Collar 40881
40881,2023-03-10 6:00:13,2023-03-10 0:00:13,2023-03-10 9:01:03,2023-03-10 02:01:03-07:00,Iridium,46.72495,-113.96268,1480,4.2,3D Validated,Nothing Detected,4,3.36,3.6,Animal with Collar 40881
40881,2023-03-10 5:25:37,2023-03-09 23:25:37,2023-03-10 5:26:10,2023-03-09 22:26:10-07:00,Iridium,46.72501,-113.96274,1493,2,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40881
40881,2023-03-09 5:00:36,2023-03-08 23:00:36,2023-03-10 5:26:10,2023-03-09 22:26:10-07:00,Iridium,46.72002,-113.95611,1543,2.2,3D Validated,Nothing Detected,0,3.36,3.6,Animal with Collar 40881
40881,2023-03-09 4:00:17,2023-03-08 22:00:17,2023-03-09 4:01:08,2023-03-08 21:01:08-07:00,Iridium,46.72013,-113.95602,1564,2.4,3D Validated,Nothing Detected,-1,3.36,3.6,Animal with Collar 40881
40881,2023-03-09 3:00:36,2023-03-08 21:00:36,2023-03-09 4:01:08,2023-03-08 21:01:08-07:00,Iridium,46.72013,-113.95614,1532,1.4,3D Validated,Nothing Detected,0,3.28,3.6,Animal with Collar 40881
40881,2023-03-09 2:00:10,2023-03-08 20:00:10,2023-03-09 4:01:08,2023-03-08 21:01:08-07:00,Iridium,46.72012,-113.95622,1527,1.6,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40881
40881,2023-03-09 1:00:38,2023-03-08 19:00:38,2023-03-09 4:01:08,2023-03-08 21:01:08-07:00,Iridium,46.72013,-113.95618,1537,2.4,3D Validated,Nothing Detected,6,3.28,3.6,Animal with Collar 40881
40881,2023-03-09 0:00:14,2023-03-08 18:00:14,2023-03-09 4:01:17,2023-03-08 21:01:17-07:00,Iridium,46.72018,-113.95607,1540,4.2,3D Validated,Nothing Detected,23,3.28,3.6,Animal with Collar 40881
40881,2023-03-08 23:00:36,2023-03-08 17:00:36,2023-03-09 4:01:17,2023-03-08 21:01:17-07:00,Iridium,46.72014,-113.95622,1530,3.2,3D Validated,Nothing Detected,28,3.28,3.6,Animal with Collar 40881
40881,2023-03-08 22:00:35,2023-03-08 16:00:35,2023-03-09 4:01:17,2023-03-08 21:01:17-07:00,Iridium,46.72014,-113.95602,1514,2,3D Validated,Nothing Detected,28,3.28,3.6,Animal with Collar 40881
40881,2023-03-08 21:00:44,2023-03-08 15:00:44,2023-03-09 4:01:17,2023-03-08 21:01:17-07:00,Iridium,46.71984,-113.95581,1581,3.2,3D Validated,Nothing Detected,35,3.28,3.6,Animal with Collar 40881
40881,2023-03-08 20:00:36,2023-03-08 14:00:36,2023-03-09 4:01:27,2023-03-08 21:01:27-07:00,Iridium,46.72001,-113.95616,1541,3,3D Validated,Nothing Detected,22,3.28,3.6,Animal with Collar 40881
40881,2023-03-08 19:00:11,2023-03-08 13:00:11,2023-03-09 4:01:27,2023-03-08 21:01:27-07:00,Iridium,46.71999,-113.95617,1552,3.6,3D Validated,Nothing Detected,25,3.28,3.6,Animal with Collar 40881
40881,2023-03-08 18:00:38,2023-03-08 12:00:38,2023-03-09 4:01:27,2023-03-08 21:01:27-07:00,Iridium,46.72006,-113.95619,1539,2.6,3D Validated,Nothing Detected,13,3.28,3.6,Animal with Collar 40881
40881,2023-03-08 17:00:36,2023-03-08 11:00:36,2023-03-09 4:01:27,2023-03-08 21:01:27-07:00,Iridium,46.72004,-113.95621,1541,2.2,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40881
40881,2023-03-08 16:00:18,2023-03-08 10:00:18,2023-03-08 16:00:44,2023-03-08 09:00:44-07:00,Iridium,46.72007,-113.95627,1521,2.8,3D Validated,Nothing Detected,6,3.36,3.6,Animal with Collar 40881
40881,2023-03-08 15:00:36,2023-03-08 9:00:36,2023-03-08 16:00:44,2023-03-08 09:00:44-07:00,Iridium,46.72008,-113.95611,1534,2.2,3D Validated,Nothing Detected,5,3.36,3.6,Animal with Collar 40881
40881,2023-03-08 14:00:36,2023-03-08 8:00:36,2023-03-08 16:00:44,2023-03-08 09:00:44-07:00,Iridium,46.72008,-113.95615,1539,2,3D Validated,Nothing Detected,3,3.36,3.6,Animal with Collar 40881
40881,2023-03-08 13:00:36,2023-03-08 7:00:36,2023-03-08 16:00:44,2023-03-08 09:00:44-07:00,Iridium,46.72004,-113.95589,1607,5.2,3D Validated,Nothing Detected,1,3.36,3.6,Animal with Collar 40881
40881,2023-03-08 12:00:12,2023-03-08 6:00:12,2023-03-08 16:00:52,2023-03-08 09:00:52-07:00,Iridium,46.71991,-113.95612,1555,3,3D Validated,Nothing Detected,0,3.36,3.6,Animal with Collar 40881
40881,2023-03-08 11:00:36,2023-03-08 5:00:36,2023-03-08 16:00:52,2023-03-08 09:00:52-07:00,Iridium,46.72009,-113.95605,1522,2.8,3D Validated,Nothing Detected,-3,3.36,3.6,Animal with Collar 40881
40881,2023-03-08 10:00:10,2023-03-08 4:00:10,2023-03-08 16:00:52,2023-03-08 09:00:52-07:00,Iridium,46.72004,-113.95604,1560,3.6,3D Validated,Nothing Detected,-4,3.36,3.6,Animal with Collar 40881
40881,2023-03-08 9:00:38,2023-03-08 3:00:38,2023-03-08 16:00:52,2023-03-08 09:00:52-07:00,Iridium,46.72002,-113.9561,1551,2.8,3D Validated,Nothing Detected,-3,3.36,3.6,Animal with Collar 40881
