Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40881,2023-05-08 05:01:37,2023-05-07 23:01:37-06:00,2023-05-08 18:01:41,2023-05-08 12:01:41-06:00,Iridium,46.717796,-113.97324,1468,4.2,3D Validated,Mortality No Radius,4,3.2,3.52,Animal with Collar 40881
40881,2023-05-08 04:00:37,2023-05-07 22:00:37-06:00,2023-05-08 18:01:41,2023-05-08 12:01:41-06:00,Iridium,46.71782,-113.973564,1411,3.6,3D Validated,Mortality No Radius,4,3.2,3.52,Animal with Collar 40881
40881,2023-05-08 03:00:36,2023-05-07 21:00:36-06:00,2023-05-08 18:01:41,2023-05-08 12:01:41-06:00,Iridium,46.717854,-113.97363,1399,2.6,3D Validated,Mortality No Radius,5,3.2,3.52,Animal with Collar 40881
40881,2023-05-08 02:00:20,2023-05-07 20:00:20-06:00,2023-05-08 02:00:47,2023-05-07 20:00:47-06:00,Iridium,46.717785,-113.97362,1409,4.2,3D Validated,Mortality No Radius,6,3.2,3.52,Animal with Collar 40881
40881,2023-05-08 01:00:39,2023-05-07 19:00:39-06:00,2023-05-08 02:00:47,2023-05-07 20:00:47-06:00,Iridium,46.717777,-113.97357,1413,7.6,3D Validated,Mortality No Radius,8,3.2,3.52,Animal with Collar 40881
40881,2023-05-08 00:00:39,2023-05-07 18:00:39-06:00,2023-05-08 02:00:47,2023-05-07 20:00:47-06:00,Iridium,46.71793,-113.97355,1413,2.6,3D Validated,Mortality No Radius,8,3.2,3.52,Animal with Collar 40881
40881,2023-05-07 23:01:30,2023-05-07 17:01:30-06:00,2023-05-08 02:00:47,2023-05-07 20:00:47-06:00,Iridium,46.71784,-113.973595,1414,10,3D Validated,Mortality No Radius,9,3.2,3.52,Animal with Collar 40881
40881,2023-05-07 22:00:25,2023-05-07 16:00:25-06:00,2023-05-07 22:00:53,2023-05-07 16:00:53-06:00,Iridium,46.717903,-113.97368,1413,3.8,3D Validated,Mortality No Radius,9,3.2,3.52,Animal with Collar 40881
40881,2023-05-07 21:01:06,2023-05-07 15:01:06-06:00,2023-05-07 22:00:53,2023-05-07 16:00:53-06:00,Iridium,46.71788,-113.97358,1415,2.8,3D Validated,Mortality No Radius,9,3.2,3.52,Animal with Collar 40881
40881,2023-05-07 20:00:42,2023-05-07 14:00:42-06:00,2023-05-07 22:00:53,2023-05-07 16:00:53-06:00,Iridium,46.717823,-113.97362,1413,3.4,3D Validated,Mortality No Radius,10,3.2,3.52,Animal with Collar 40881
40881,2023-05-07 19:02:57,2023-05-07 13:02:57-06:00,2023-05-07 22:00:53,2023-05-07 16:00:53-06:00,Iridium,46.717815,-113.97357,1417,4.8,3D,Mortality No Radius,9,3.2,3.52,Animal with Collar 40881
40881,2023-05-07 18:01:37,2023-05-07 12:01:37-06:00,2023-05-07 22:01:04,2023-05-07 16:01:04-06:00,Iridium,,,,0,No Fix,Mortality No Radius,10,3.2,3.52,Animal with Collar 40881
40881,2023-05-07 17:02:49,2023-05-07 11:02:49-06:00,2023-05-07 22:01:04,2023-05-07 16:01:04-06:00,Iridium,46.717815,-113.973526,1414,3.6,3D Validated,Mortality No Radius,13,3.2,3.52,Animal with Collar 40881
40881,2023-05-07 16:01:11,2023-05-07 10:01:11-06:00,2023-05-07 22:01:04,2023-05-07 16:01:04-06:00,Iridium,46.717953,-113.97358,1430,3.6,3D Validated,Mortality No Radius,8,3.2,3.52,Animal with Collar 40881
40881,2023-05-07 15:00:21,2023-05-07 09:00:21-06:00,2023-05-07 22:01:04,2023-05-07 16:01:04-06:00,Iridium,46.71783,-113.97361,1402,3,3D Validated,Mortality No Radius,6,3.2,3.52,Animal with Collar 40881
40881,2023-05-07 14:00:54,2023-05-07 08:00:54-06:00,2023-05-07 22:01:10,2023-05-07 16:01:10-06:00,Iridium,46.71796,-113.97354,1426,4,3D Validated,Mortality No Radius,5,3.2,3.52,Animal with Collar 40881
