Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40891,2024-10-28 16:02:34,2024-10-28 10:02:34-06:00,2024-10-28 16:03:01,2024-10-28 10:03:01-06:00,Iridium,46.68534,-113.92997,1507,4.4,3D Valid,Nothing Detected,19,3.36,3.6,Animal with Collar 40891
40891,2024-10-28 15:00:10,2024-10-28 09:00:10-06:00,2024-10-28 16:03:01,2024-10-28 10:03:01-06:00,Iridium,46.68532,-113.92989,1510,2.4,3D Valid,Nothing Detected,19,3.36,3.6,Animal with Collar 40891
40891,2024-10-28 14:00:39,2024-10-28 08:00:39-06:00,2024-10-28 16:03:01,2024-10-28 10:03:01-06:00,Iridium,46.68544,-113.92802,1505,2,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2024-10-28 13:00:11,2024-10-28 07:00:11-06:00,2024-10-28 16:03:01,2024-10-28 10:03:01-06:00,Iridium,46.68314,-113.92754,1549,3.6,3D Valid,Nothing Detected,22,3.36,3.6,Animal with Collar 40891
40891,2024-10-28 12:00:11,2024-10-28 06:00:11-06:00,2024-10-28 16:03:26,2024-10-28 10:03:26-06:00,Iridium,46.68305,-113.92844,1550,2.4,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2024-10-28 11:00:38,2024-10-28 05:00:38-06:00,2024-10-28 16:03:26,2024-10-28 10:03:26-06:00,Iridium,46.68111,-113.92657,1567,2.6,3D Valid,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2024-10-28 10:00:14,2024-10-28 04:00:14-06:00,2024-10-28 16:03:26,2024-10-28 10:03:26-06:00,Iridium,46.68124,-113.92535,1580,3.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2024-10-28 09:00:38,2024-10-28 03:00:38-06:00,2024-10-28 16:03:26,2024-10-28 10:03:26-06:00,Iridium,46.68042,-113.92509,1584,1.6,3D Valid,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2024-10-28 08:00:11,2024-10-28 02:00:11-06:00,2024-10-28 08:01:35,2024-10-28 02:01:35-06:00,Iridium,46.67976,-113.92484,1593,3.4,3D Valid,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2024-10-28 07:01:02,2024-10-28 01:01:02-06:00,2024-10-28 08:01:35,2024-10-28 02:01:35-06:00,Iridium,46.68081,-113.92436,1601,3.4,3D Valid,Nothing Detected,22,3.28,3.6,Animal with Collar 40891
40891,2024-10-28 05:00:36,2024-10-27 23:00:36-06:00,2024-10-28 08:01:35,2024-10-28 02:01:35-06:00,Iridium,46.68441,-113.92409,1537,2.8,3D Valid,Nothing Detected,26,3.36,3.6,Animal with Collar 40891
40891,2024-10-28 04:00:41,2024-10-27 22:00:41-06:00,2024-10-28 04:01:09,2024-10-27 22:01:09-06:00,Iridium,46.68451,-113.92403,1523,3,3D Valid,Nothing Detected,26,3.36,3.6,Animal with Collar 40891
40891,2024-10-28 03:01:04,2024-10-27 21:01:04-06:00,2024-10-28 04:01:09,2024-10-27 22:01:09-06:00,Iridium,46.68464,-113.92422,1519,4.2,3D Valid,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2024-10-28 02:00:47,2024-10-27 20:00:47-06:00,2024-10-28 04:01:09,2024-10-27 22:01:09-06:00,Iridium,46.68318,-113.93662,1415,6.4,3D Valid,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2024-10-28 00:00:11,2024-10-27 18:00:11-06:00,2024-10-28 00:00:33,2024-10-27 18:00:33-06:00,Iridium,46.66888,-113.95532,1329,2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2024-10-27 23:00:40,2024-10-27 17:00:40-06:00,2024-10-28 00:00:33,2024-10-27 18:00:33-06:00,Iridium,46.66878,-113.95524,1339,2.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40891
40891,2024-10-27 22:00:38,2024-10-27 16:00:38-06:00,2024-10-28 00:00:33,2024-10-27 18:00:33-06:00,Iridium,46.66877,-113.95527,1329,4.2,3D Valid,Nothing Detected,25,3.36,3.6,Animal with Collar 40891
40891,2024-10-27 21:00:10,2024-10-27 15:00:10-06:00,2024-10-28 00:00:33,2024-10-27 18:00:33-06:00,Iridium,46.66873,-113.95530,1339,1.8,3D Valid,Nothing Detected,24,3.36,3.6,Animal with Collar 40891
40891,2024-10-27 20:01:02,2024-10-27 14:01:02-06:00,2024-10-27 20:01:23,2024-10-27 14:01:23-06:00,Iridium,46.66872,-113.95524,1354,2.6,3D Valid,Nothing Detected,24,3.36,3.6,Animal with Collar 40891
