Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40886,2024-11-01 23:02:56,2024-11-01 17:02:56-06:00,2024-11-01 23:03:33,2024-11-01 17:03:33-06:00,Iridium,46.76918,-114.00314,1346,3.6,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40886
40886,2024-10-26 04:01:00,2024-10-25 22:01:00-06:00,2024-10-26 04:01:26,2024-10-25 22:01:26-06:00,Iridium,46.76945,-114.00316,1343,4.6,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40886
40886,2024-10-26 03:00:12,2024-10-25 21:00:12-06:00,2024-10-26 04:01:26,2024-10-25 22:01:26-06:00,Iridium,46.76941,-114.00310,1297,4.2,3D Valid,Nothing Detected,16,3.44,3.6,Animal with Collar 40886
40886,2024-10-26 02:00:09,2024-10-25 20:00:09-06:00,2024-10-26 04:01:26,2024-10-25 22:01:26-06:00,Iridium,46.76933,-114.00310,1309,4.8,3D Valid,Nothing Detected,13,3.44,3.6,Animal with Collar 40886
40886,2024-10-26 01:00:38,2024-10-25 19:00:38-06:00,2024-10-26 04:01:26,2024-10-25 22:01:26-06:00,Iridium,46.76931,-114.00314,1325,2.6,3D Valid,Nothing Detected,16,3.44,3.6,Animal with Collar 40886
40886,2024-10-26 00:00:36,2024-10-25 18:00:36-06:00,2024-10-26 00:01:32,2024-10-25 18:01:32-06:00,Iridium,46.76931,-114.00314,1332,3,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40886
40886,2024-10-25 23:00:11,2024-10-25 17:00:11-06:00,2024-10-26 00:01:32,2024-10-25 18:01:32-06:00,Iridium,46.76922,-114.00312,1333,4.8,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40886
40886,2024-10-25 22:00:37,2024-10-25 16:00:37-06:00,2024-10-26 00:01:32,2024-10-25 18:01:32-06:00,Iridium,46.76935,-114.00309,1334,3.2,3D Valid,Nothing Detected,20,3.44,3.6,Animal with Collar 40886
40886,2024-10-25 21:00:10,2024-10-25 15:00:10-06:00,2024-10-26 00:01:32,2024-10-25 18:01:32-06:00,Iridium,46.76931,-114.00321,1335,3.6,3D Valid,Nothing Detected,21,3.44,3.6,Animal with Collar 40886
40886,2024-10-25 20:01:02,2024-10-25 14:01:02-06:00,2024-10-25 20:02:36,2024-10-25 14:02:36-06:00,Iridium,46.76920,-114.00309,1332,4.4,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40886
