Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
95452,2024-12-05 01:00:22,2024-12-04 18:00:22-07:00,2024-12-05 01:01:10,2024-12-04 18:01:10-07:00,Iridium,46.75207,-113.97666,1392,5.2,3D Valid,Nothing Detected,16,3.28,3.6,
95452,2024-12-05 00:00:38,2024-12-04 17:00:38-07:00,2024-12-05 01:01:10,2024-12-04 18:01:10-07:00,Iridium,46.75192,-113.97611,1426,2.4,3D Valid,Nothing Detected,19,3.2,3.6,
95452,2024-12-04 23:00:35,2024-12-04 16:00:35-07:00,2024-12-05 01:01:10,2024-12-04 18:01:10-07:00,Iridium,46.75229,-113.97719,1437,3.6,3D Valid,Nothing Detected,17,3.2,3.6,
95452,2024-12-04 21:00:39,2024-12-04 14:00:39-07:00,2024-12-04 21:01:40,2024-12-04 14:01:40-07:00,Iridium,46.75399,-113.97182,1452,3.4,3D Valid,Nothing Detected,15,3.28,3.6,
95452,2024-12-04 20:00:38,2024-12-04 13:00:38-07:00,2024-12-04 21:01:40,2024-12-04 14:01:40-07:00,Iridium,46.75397,-113.97201,1504,2.8,3D Valid,Nothing Detected,12,3.28,3.6,
95452,2024-12-04 19:00:42,2024-12-04 12:00:42-07:00,2024-12-04 21:01:40,2024-12-04 14:01:40-07:00,Iridium,46.75404,-113.97212,1616,2,3D Valid,Nothing Detected,10,3.28,3.6,
95452,2024-12-04 18:00:38,2024-12-04 11:00:38-07:00,2024-12-04 21:01:40,2024-12-04 14:01:40-07:00,Iridium,46.75398,-113.97197,1480,4,3D Valid,Nothing Detected,11,3.28,3.6,
95452,2024-12-04 17:00:54,2024-12-04 10:00:54-07:00,2024-12-04 17:01:27,2024-12-04 10:01:27-07:00,Iridium,46.75397,-113.97200,1558,7,3D Valid,Nothing Detected,12,3.28,3.6,
95452,2024-12-04 16:00:46,2024-12-04 09:00:46-07:00,2024-12-04 17:01:27,2024-12-04 10:01:27-07:00,Iridium,46.75391,-113.97194,1487,6.2,3D Valid,Nothing Detected,13,3.28,3.6,
95452,2024-12-04 15:00:16,2024-12-04 08:00:16-07:00,2024-12-04 17:01:27,2024-12-04 10:01:27-07:00,Iridium,46.75391,-113.97187,1468,4.6,3D Valid,Nothing Detected,13,3.28,3.6,
95452,2024-12-04 14:03:00,2024-12-04 07:03:00-07:00,2024-12-04 17:01:27,2024-12-04 10:01:27-07:00,Iridium,46.75399,-113.97183,1459,11.6,3D,Nothing Detected,14,3.28,3.6,
95452,2024-12-04 13:01:36,2024-12-04 06:01:36-07:00,2024-12-04 21:01:48,2024-12-04 14:01:48-07:00,Iridium,46.75409,-113.97182,1458,5.4,3D Valid,Nothing Detected,14,3.28,3.6,
95452,2024-12-04 12:00:16,2024-12-04 05:00:16-07:00,2024-12-04 21:01:48,2024-12-04 14:01:48-07:00,Iridium,46.75417,-113.97189,1435,8.6,3D Valid,Nothing Detected,15,3.28,3.6,
95452,2024-12-04 11:00:46,2024-12-04 04:00:46-07:00,2024-12-04 21:01:48,2024-12-04 14:01:48-07:00,Iridium,46.75397,-113.97201,1475,6.4,3D Valid,Nothing Detected,14,3.28,3.6,
95452,2024-12-04 10:00:28,2024-12-04 03:00:28-07:00,2024-12-04 21:01:48,2024-12-04 14:01:48-07:00,Iridium,46.75359,-113.97205,1529,8,3D Valid,Nothing Detected,15,3.28,3.6,
95452,2024-12-04 09:00:38,2024-12-04 02:00:38-07:00,2024-12-04 09:01:05,2024-12-04 02:01:05-07:00,Iridium,46.75383,-113.97192,1474,1.8,3D Valid,Nothing Detected,15,3.28,3.6,
95452,2024-12-04 08:00:44,2024-12-04 01:00:44-07:00,2024-12-04 09:01:05,2024-12-04 02:01:05-07:00,Iridium,46.75400,-113.97190,1464,3,3D Valid,Nothing Detected,13,3.28,3.6,
