Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40890,2022-05-19 05:00:38,2022-05-18 23:00:38-06:00,2022-05-19 05:01:27,2022-05-18 23:01:27-06:00,Iridium,46.80343,-114.06255,1061,2.2,3D Valid,Nothing Detected,13,3.36,3.68,Animal with Collar 40890
40890,2022-05-19 04:00:40,2022-05-18 22:00:40-06:00,2022-05-19 05:01:27,2022-05-18 23:01:27-06:00,Iridium,46.77716,-113.95884,1162,4.6,3D Valid,Nothing Detected,11,3.36,3.68,Animal with Collar 40890
40890,2022-05-19 03:00:11,2022-05-18 21:00:11-06:00,2022-05-19 05:01:27,2022-05-18 23:01:27-06:00,Iridium,46.77056,-113.90823,1388,2.6,3D Valid,Nothing Detected,15,3.36,3.68,Animal with Collar 40890
40890,2022-05-19 02:02:26,2022-05-18 20:02:26-06:00,2022-05-19 05:01:27,2022-05-18 23:01:27-06:00,Iridium,46.76953,-113.90939,1392,4.8,3D Valid,Nothing Detected,18,3.28,3.68,Animal with Collar 40890
40890,2022-05-19 01:00:39,2022-05-18 19:00:39-06:00,2022-05-19 09:01:14,2022-05-19 03:01:14-06:00,Iridium,46.76957,-113.90939,1390,3.6,3D Valid,Nothing Detected,18,3.36,3.68,Animal with Collar 40890
40890,2022-05-18 23:00:41,2022-05-18 17:00:41-06:00,2022-05-19 09:01:14,2022-05-19 03:01:14-06:00,Iridium,46.76376,-113.91540,1496,4.2,3D Valid,Nothing Detected,20,3.36,3.68,Animal with Collar 40890
40890,2022-05-18 22:00:15,2022-05-18 16:00:15-06:00,2022-05-19 09:01:14,2022-05-19 03:01:14-06:00,Iridium,46.76281,-113.91638,1518,2,3D Valid,Nothing Detected,20,3.36,3.68,Animal with Collar 40890
40890,2022-05-18 21:00:38,2022-05-18 15:00:38-06:00,2022-05-19 09:01:26,2022-05-19 03:01:26-06:00,Iridium,46.75839,-113.92614,1530,2.6,3D Valid,Nothing Detected,23,3.36,3.68,Animal with Collar 40890
40890,2022-05-18 20:00:38,2022-05-18 14:00:38-06:00,2022-05-19 09:01:26,2022-05-19 03:01:26-06:00,Iridium,46.76307,-113.93725,1314,2.4,3D Valid,Nothing Detected,24,3.36,3.68,Animal with Collar 40890
40890,2022-05-18 19:01:13,2022-05-18 13:01:13-06:00,2022-05-19 09:01:26,2022-05-19 03:01:26-06:00,Iridium,46.75959,-113.94105,1199,4,3D Valid,Nothing Detected,26,3.36,3.68,Animal with Collar 40890
40890,2022-05-18 18:00:38,2022-05-18 12:00:38-06:00,2022-05-19 09:01:26,2022-05-19 03:01:26-06:00,Iridium,46.75686,-113.94857,1245,3.2,3D Valid,Nothing Detected,28,3.36,3.68,Animal with Collar 40890
40890,2022-05-18 17:02:02,2022-05-18 11:02:02-06:00,2022-05-19 09:01:48,2022-05-19 03:01:48-06:00,Iridium,46.74962,-113.95548,1582,2.8,3D Valid,Nothing Detected,27,3.28,3.68,Animal with Collar 40890
40890,2022-05-18 16:00:10,2022-05-18 10:00:10-06:00,2022-05-19 09:01:48,2022-05-19 03:01:48-06:00,Iridium,46.74265,-113.96047,1495,3.2,3D Valid,Nothing Detected,24,3.36,3.68,Animal with Collar 40890
