Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40876,2022-06-01 5:00:37,2022-05-31 23:00:37,2022-06-01 17:01:50,2022-06-01 11:01:50-06:00,Iridium,46.85895,-114.05936,972,2.4,3D Validated,Nothing Detected,21,3.28,0,Animal with Collar 40876
40876,2022-06-01 4:00:21,2022-05-31 22:00:21,2022-06-01 17:01:50,2022-06-01 11:01:50-06:00,Iridium,46.85901,-114.05947,974,2,3D Validated,Nothing Detected,21,3.28,0,Animal with Collar 40876
40876,2022-06-01 3:00:14,2022-05-31 21:00:14,2022-06-01 17:01:50,2022-06-01 11:01:50-06:00,Iridium,46.85896,-114.05937,971,2,3D Validated,Nothing Detected,22,3.28,0,Animal with Collar 40876
40876,2022-06-01 2:00:54,2022-05-31 20:00:54,2022-06-01 17:01:50,2022-06-01 11:01:50-06:00,Iridium,46.85906,-114.05935,968,2.6,3D Validated,Nothing Detected,22,3.28,0,Animal with Collar 40876
40876,2022-06-01 1:00:10,2022-05-31 19:00:10,2022-06-01 17:02:23,2022-06-01 11:02:23-06:00,Iridium,46.85894,-114.0594,970,2.6,3D Validated,Nothing Detected,22,3.28,0,Animal with Collar 40876
40876,2022-06-01 0:01:36,2022-05-31 18:01:36,2022-06-01 17:02:23,2022-06-01 11:02:23-06:00,Iridium,46.85891,-114.05923,973,4,3D Validated,Nothing Detected,23,3.28,0,Animal with Collar 40876
40876,2022-05-31 23:01:02,2022-05-31 17:01:02,2022-06-01 17:02:23,2022-06-01 11:02:23-06:00,Iridium,46.85892,-114.05932,966,3,3D Validated,Nothing Detected,23,3.28,0,Animal with Collar 40876
40876,2022-05-31 22:00:23,2022-05-31 16:00:23,2022-06-01 17:02:23,2022-06-01 11:02:23-06:00,Iridium,46.85907,-114.05947,965,5.4,3D Validated,Nothing Detected,23,3.28,0,Animal with Collar 40876
40876,2022-05-31 21:00:18,2022-05-31 15:00:18,2022-07-22 21:02:15,2022-07-22 15:02:15-06:00,Iridium,46.85895,-114.05938,988,4,3D Validated,Nothing Detected,22,3.28,0,Animal with Collar 40876
40876,2022-05-31 20:00:40,2022-05-31 14:00:40,2022-07-22 21:02:15,2022-07-22 15:02:15-06:00,Iridium,46.85899,-114.05907,971,2.8,3D Validated,Nothing Detected,21,3.28,0,Animal with Collar 40876
40876,2022-05-31 19:00:09,2022-05-31 13:00:09,2022-07-22 21:02:24,2022-07-22 15:02:24-06:00,Iridium,46.81283,-114.06228,993,4.4,3D Validated,Nothing Detected,21,3.28,0,Animal with Collar 40876
40876,2022-05-31 18:00:32,2022-05-31 12:00:32,2022-07-22 21:02:24,2022-07-22 15:02:24-06:00,Iridium,46.81283,-114.06234,999,3.4,3D Validated,Nothing Detected,21,3.28,0,Animal with Collar 40876
40876,2022-05-31 17:00:08,2022-05-31 11:00:08,2022-07-22 21:02:24,2022-07-22 15:02:24-06:00,Iridium,46.81279,-114.06235,976,2.6,3D Validated,Nothing Detected,15,3.28,0,Animal with Collar 40876
40876,2022-05-31 16:00:39,2022-05-31 10:00:39,2022-07-22 21:02:24,2022-07-22 15:02:24-06:00,Iridium,46.81287,-114.0623,992,1.6,3D Validated,Nothing Detected,14,3.28,0,Animal with Collar 40876
40876,2022-05-31 15:00:11,2022-05-31 9:00:11,2022-07-22 21:02:34,2022-07-22 15:02:34-06:00,Iridium,46.81277,-114.0623,959,1.6,3D Validated,Nothing Detected,12,3.28,0,Animal with Collar 40876
40876,2022-05-31 14:00:10,2022-05-31 8:00:10,2022-07-22 21:02:34,2022-07-22 15:02:34-06:00,Iridium,46.81286,-114.06239,977,2.2,3D Validated,Nothing Detected,9,3.28,0,Animal with Collar 40876
40876,2022-05-31 13:00:38,2022-05-31 7:00:38,2022-05-31 13:01:02,2022-05-31 07:01:02-06:00,Iridium,46.81284,-114.06233,981,1.2,3D Validated,Nothing Detected,8,3.28,0,Animal with Collar 40876
40876,2022-05-31 12:00:12,2022-05-31 6:00:12,2022-05-31 13:01:02,2022-05-31 07:01:02-06:00,Iridium,46.81301,-114.06239,994,2,3D Validated,Nothing Detected,8,3.28,0,Animal with Collar 40876
40876,2022-05-31 11:00:08,2022-05-31 5:00:08,2022-05-31 13:01:02,2022-05-31 07:01:02-06:00,Iridium,46.81282,-114.06235,976,3.8,3D Validated,Nothing Detected,10,3.28,0,Animal with Collar 40876
40876,2022-05-31 10:00:39,2022-05-31 4:00:39,2022-05-31 13:01:02,2022-05-31 07:01:02-06:00,Iridium,46.81281,-114.0623,979,1.8,3D Validated,Nothing Detected,11,3.28,0,Animal with Collar 40876
40876,2022-05-31 9:00:09,2022-05-31 3:00:09,2022-05-31 13:01:09,2022-05-31 07:01:09-06:00,Iridium,46.81291,-114.06239,983,2.8,3D Validated,Nothing Detected,11,3.28,0,Animal with Collar 40876
40876,2022-05-31 8:00:09,2022-05-31 2:00:09,2022-05-31 13:01:09,2022-05-31 07:01:09-06:00,Iridium,46.81288,-114.06233,986,2.2,3D Validated,Nothing Detected,12,3.28,0,Animal with Collar 40876
40876,2022-05-31 7:00:38,2022-05-31 1:00:38,2022-05-31 13:01:09,2022-05-31 07:01:09-06:00,Iridium,46.81285,-114.06235,980,1.4,3D Validated,Nothing Detected,13,3.28,0,Animal with Collar 40876
40876,2022-05-31 6:00:11,2022-05-31 0:00:11,2022-05-31 13:01:09,2022-05-31 07:01:09-06:00,Iridium,46.81262,-114.06237,1053,4.2,3D Validated,Nothing Detected,14,3.28,0,Animal with Collar 40876
40876,2022-05-31 5:00:40,2022-05-30 23:00:40,2022-05-31 13:01:23,2022-05-31 07:01:23-06:00,Iridium,46.81303,-114.06243,980,3.4,3D Validated,Nothing Detected,18,3.28,0,Animal with Collar 40876
40876,2022-05-31 4:00:54,2022-05-30 22:00:54,2022-05-31 13:01:23,2022-05-31 07:01:23-06:00,Iridium,46.80477,-114.04884,1088,4,3D Validated,Nothing Detected,18,3.28,0,Animal with Collar 40876
40876,2022-05-31 3:00:09,2022-05-30 21:00:09,2022-05-31 13:01:23,2022-05-31 07:01:23-06:00,Iridium,46.74601,-113.88661,1729,3.8,3D Validated,Nothing Detected,19,3.28,0,Animal with Collar 40876
