Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40891,2023-11-17 04:01:39,2023-11-16 21:01:39-07:00,2023-11-17 04:02:28,2023-11-16 21:02:28-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
40891,2023-11-17 03:01:39,2023-11-16 20:01:39-07:00,2023-11-17 04:02:28,2023-11-16 21:02:28-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
40891,2023-11-17 02:01:41,2023-11-16 19:01:41-07:00,2023-11-17 04:02:28,2023-11-16 21:02:28-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
40891,2023-11-17 01:01:39,2023-11-16 18:01:39-07:00,2023-11-17 04:02:28,2023-11-16 21:02:28-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,Animal with Collar 40891
40891,2023-11-17 00:01:39,2023-11-16 17:01:39-07:00,2023-11-17 04:02:36,2023-11-16 21:02:36-07:00,Iridium,,,,0,No Fix,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2023-11-16 23:01:39,2023-11-16 16:01:39-07:00,2023-11-17 04:02:36,2023-11-16 21:02:36-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2023-11-16 22:01:39,2023-11-16 15:01:39-07:00,2023-11-17 04:02:36,2023-11-16 21:02:36-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2023-11-16 21:43:19,2023-11-16 14:43:19-07:00,2023-11-17 04:02:36,2023-11-16 21:02:36-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2023-11-15 21:41:40,2023-11-15 14:41:40-07:00,2023-11-17 04:03:03,2023-11-16 21:03:03-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 21:01:38,2023-11-14 14:01:38-07:00,2023-11-17 04:03:03,2023-11-16 21:03:03-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 20:01:39,2023-11-14 13:01:39-07:00,2023-11-17 04:03:03,2023-11-16 21:03:03-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 19:01:39,2023-11-14 12:01:39-07:00,2023-11-17 04:03:03,2023-11-16 21:03:03-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 18:01:39,2023-11-14 11:01:39-07:00,2023-11-17 04:03:19,2023-11-16 21:03:19-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.36,3.6,Animal with Collar 40891
40891,2023-11-14 17:01:38,2023-11-14 10:01:38-07:00,2023-11-17 04:03:19,2023-11-16 21:03:19-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 16:01:39,2023-11-14 09:01:39-07:00,2023-11-17 04:03:19,2023-11-16 21:03:19-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 15:01:39,2023-11-14 08:01:39-07:00,2023-11-17 04:03:19,2023-11-16 21:03:19-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 14:01:39,2023-11-14 07:01:39-07:00,2023-11-17 04:04:07,2023-11-16 21:04:07-07:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 13:01:39,2023-11-14 06:01:39-07:00,2023-11-17 04:04:07,2023-11-16 21:04:07-07:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 12:01:39,2023-11-14 05:01:39-07:00,2023-11-17 04:04:07,2023-11-16 21:04:07-07:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 11:01:39,2023-11-14 04:01:39-07:00,2023-11-17 04:04:07,2023-11-16 21:04:07-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 10:01:39,2023-11-14 03:01:39-07:00,2023-11-17 04:04:29,2023-11-16 21:04:29-07:00,Iridium,,,,0,No Fix,Nothing Detected,15,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 09:01:39,2023-11-14 02:01:39-07:00,2023-11-17 04:04:29,2023-11-16 21:04:29-07:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.36,3.6,Animal with Collar 40891
40891,2023-11-14 08:01:41,2023-11-14 01:01:41-07:00,2023-11-17 04:04:29,2023-11-16 21:04:29-07:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 07:01:39,2023-11-14 00:01:39-07:00,2023-11-17 04:04:29,2023-11-16 21:04:29-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 06:01:39,2023-11-13 23:01:39-07:00,2023-11-17 04:04:37,2023-11-16 21:04:37-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 05:01:39,2023-11-13 22:01:39-07:00,2023-11-17 04:04:37,2023-11-16 21:04:37-07:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 04:01:39,2023-11-13 21:01:39-07:00,2023-11-17 04:04:37,2023-11-16 21:04:37-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 03:01:39,2023-11-13 20:01:39-07:00,2023-11-17 04:04:37,2023-11-16 21:04:37-07:00,Iridium,,,,0,No Fix,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 02:01:39,2023-11-13 19:01:39-07:00,2023-11-17 04:04:46,2023-11-16 21:04:46-07:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.28,3.6,Animal with Collar 40891
40891,2023-11-14 01:18:18,2023-11-13 18:18:18-07:00,2023-11-17 04:04:46,2023-11-16 21:04:46-07:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.28,3.6,Animal with Collar 40891
40891,2023-11-13 01:16:39,2023-11-12 18:16:39-07:00,2023-11-17 04:04:46,2023-11-16 21:04:46-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
40891,2023-11-12 01:01:39,2023-11-11 18:01:39-07:00,2023-11-17 04:04:46,2023-11-16 21:04:46-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2023-11-12 00:01:39,2023-11-11 17:01:39-07:00,2023-11-17 04:04:54,2023-11-16 21:04:54-07:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.28,3.6,Animal with Collar 40891
40891,2023-11-11 23:01:39,2023-11-11 16:01:39-07:00,2023-11-17 04:04:54,2023-11-16 21:04:54-07:00,Iridium,,,,0,No Fix,Nothing Detected,21,3.28,3.6,Animal with Collar 40891
40891,2023-11-11 22:01:39,2023-11-11 15:01:39-07:00,2023-11-17 04:04:54,2023-11-16 21:04:54-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2023-11-11 21:01:39,2023-11-11 14:01:39-07:00,2023-11-17 04:04:54,2023-11-16 21:04:54-07:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,Animal with Collar 40891
40891,2023-11-11 20:01:39,2023-11-11 13:01:39-07:00,2023-11-17 04:05:03,2023-11-16 21:05:03-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2023-11-11 19:01:39,2023-11-11 12:01:39-07:00,2023-11-17 04:05:03,2023-11-16 21:05:03-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40891
40891,2023-11-11 18:01:39,2023-11-11 11:01:39-07:00,2023-11-17 04:05:03,2023-11-16 21:05:03-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.36,3.6,Animal with Collar 40891
40891,2023-11-11 17:01:39,2023-11-11 10:01:39-07:00,2023-11-17 04:05:03,2023-11-16 21:05:03-07:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,Animal with Collar 40891
40891,2023-11-11 16:01:39,2023-11-11 09:01:39-07:00,2023-11-17 04:05:12,2023-11-16 21:05:12-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,Animal with Collar 40891
40891,2023-11-11 15:01:39,2023-11-11 08:01:39-07:00,2023-11-17 04:05:12,2023-11-16 21:05:12-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
40891,2023-11-11 14:01:41,2023-11-11 07:01:41-07:00,2023-11-17 04:05:12,2023-11-16 21:05:12-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,Animal with Collar 40891
