Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
89025,2023-03-22 15:00:11,2023-03-22 9:00:11,2023-03-22 15:00:39,2023-03-22 09:00:39-06:00,Iridium,46.76849,-114.01625,1382,2,3D Validated,Nothing Detected,5,3.36,3.6,
89025,2023-03-22 14:00:38,2023-03-22 8:00:38,2023-03-22 15:00:39,2023-03-22 09:00:39-06:00,Iridium,46.76855,-114.01622,1384,2.6,3D Validated,Nothing Detected,4,3.36,3.6,
89025,2023-03-22 13:00:12,2023-03-22 7:00:12,2023-03-22 15:00:39,2023-03-22 09:00:39-06:00,Iridium,46.76848,-114.01626,1392,2.8,3D Validated,Nothing Detected,9,3.36,3.6,
89025,2023-03-22 12:00:54,2023-03-22 6:00:54,2023-03-22 15:00:39,2023-03-22 09:00:39-06:00,Iridium,46.76833,-114.01606,1375,3.2,3D Validated,Nothing Detected,12,3.36,3.6,
89025,2023-03-22 11:01:06,2023-03-22 5:01:06,2023-03-22 15:00:51,2023-03-22 09:00:51-06:00,Iridium,46.76841,-114.01622,1396,7.2,3D Validated,Nothing Detected,8,3.36,3.6,
89025,2023-03-22 10:00:18,2023-03-22 4:00:18,2023-03-22 15:00:51,2023-03-22 09:00:51-06:00,Iridium,46.76839,-114.01586,1376,4,3D Validated,Nothing Detected,5,3.36,3.6,
89025,2023-03-22 9:00:44,2023-03-22 3:00:44,2023-03-22 15:00:51,2023-03-22 09:00:51-06:00,Iridium,46.76846,-114.01601,1375,2.4,3D Validated,Nothing Detected,4,3.36,3.6,
89025,2023-03-22 8:01:14,2023-03-22 2:01:14,2023-03-22 15:00:51,2023-03-22 09:00:51-06:00,Iridium,46.76848,-114.01621,1384,3.2,3D Validated,Nothing Detected,3,3.36,3.6,
89025,2023-03-22 7:00:19,2023-03-22 1:00:19,2023-03-22 7:01:21,2023-03-22 01:01:21-06:00,Iridium,46.76839,-114.0162,1425,3.2,3D Validated,Nothing Detected,4,3.36,3.6,
89025,2023-03-22 6:00:38,2023-03-22 0:00:38,2023-03-22 7:01:21,2023-03-22 01:01:21-06:00,Iridium,46.76854,-114.01623,1364,4.4,3D Validated,Nothing Detected,3,3.36,3.6,
89025,2023-03-22 5:00:37,2023-03-21 23:00:37,2023-03-22 7:01:21,2023-03-22 01:01:21-06:00,Iridium,46.76836,-114.01632,1415,2,3D Validated,Nothing Detected,7,3.36,3.6,
89025,2023-03-22 4:00:11,2023-03-21 22:00:11,2023-03-22 7:01:21,2023-03-22 01:01:21-06:00,Iridium,46.76844,-114.01628,1390,3,3D Validated,Nothing Detected,7,3.36,3.6,
89025,2023-03-22 3:00:37,2023-03-21 21:00:37,2023-03-22 3:01:05,2023-03-21 21:01:05-06:00,Iridium,46.76845,-114.01626,1389,2.2,3D Validated,Nothing Detected,10,3.36,3.6,
89025,2023-03-22 2:00:13,2023-03-21 20:00:13,2023-03-22 3:01:05,2023-03-21 21:01:05-06:00,Iridium,46.76825,-114.01605,1448,3.4,3D Validated,Nothing Detected,15,3.36,3.6,
89025,2023-03-22 1:00:38,2023-03-21 19:00:38,2023-03-22 3:01:05,2023-03-21 21:01:05-06:00,Iridium,46.76849,-114.01627,1399,3.4,3D Validated,Nothing Detected,25,3.28,3.6,
89025,2023-03-22 0:00:20,2023-03-21 18:00:20,2023-03-22 3:01:05,2023-03-21 21:01:05-06:00,Iridium,46.76846,-114.01627,1410,5.2,3D Validated,Nothing Detected,31,3.28,3.6,
89025,2023-03-21 23:00:37,2023-03-21 17:00:37,2023-03-21 23:01:37,2023-03-21 17:01:37-06:00,Iridium,46.76854,-114.01618,1391,3,3D Validated,Nothing Detected,29,3.28,3.6,
89025,2023-03-21 22:00:23,2023-03-21 16:00:23,2023-03-21 23:01:37,2023-03-21 17:01:37-06:00,Iridium,46.7685,-114.01646,1447,5.8,3D Validated,Nothing Detected,35,3.28,3.6,
89025,2023-03-21 21:01:36,2023-03-21 15:01:36,2023-03-21 23:01:37,2023-03-21 17:01:37-06:00,Iridium,46.769,-114.0164,1378,3.8,3D Validated,Nothing Detected,18,3.28,3.6,
89025,2023-03-21 18:01:18,2023-03-21 12:01:18,2023-03-22 3:01:15,2023-03-21 21:01:15-06:00,Iridium,46.76848,-114.01748,1367,2.2,3D Validated,Nothing Detected,12,3.28,3.6,
89025,2023-03-20 19:01:14,2023-03-20 13:01:14,2023-03-20 19:01:52,2023-03-20 13:01:52-06:00,Iridium,46.76829,-114.0165,1395,2.8,3D Validated,Nothing Detected,18,3.28,3.6,
89025,2023-03-20 18:00:38,2023-03-20 12:00:38,2023-03-20 19:01:52,2023-03-20 13:01:52-06:00,Iridium,46.76854,-114.01683,1364,7.4,3D Validated,Nothing Detected,13,3.28,3.6,
89025,2023-03-20 17:00:46,2023-03-20 11:00:46,2023-03-20 19:01:52,2023-03-20 13:01:52-06:00,Iridium,46.76846,-114.01681,1383,3,3D Validated,Nothing Detected,11,3.36,3.6,
89025,2023-03-20 16:00:12,2023-03-20 10:00:12,2023-03-20 19:01:52,2023-03-20 13:01:52-06:00,Iridium,46.76865,-114.01699,1338,4.8,3D Validated,Nothing Detected,10,3.28,3.6,
89025,2023-03-20 15:00:44,2023-03-20 9:00:44,2023-03-20 19:02:13,2023-03-20 13:02:13-06:00,Iridium,46.76866,-114.01683,1351,3.2,3D Validated,Nothing Detected,6,3.36,3.6,
89025,2023-03-20 14:00:14,2023-03-20 8:00:14,2023-03-20 19:02:13,2023-03-20 13:02:13-06:00,Iridium,46.76836,-114.01678,1399,5,3D Validated,Nothing Detected,6,3.36,3.6,
89025,2023-03-20 13:00:38,2023-03-20 7:00:38,2023-03-20 19:02:13,2023-03-20 13:02:13-06:00,Iridium,46.76849,-114.01681,1386,2.2,3D Validated,Nothing Detected,7,3.36,3.6,
89025,2023-03-20 12:00:21,2023-03-20 6:00:21,2023-03-20 19:02:13,2023-03-20 13:02:13-06:00,Iridium,46.76838,-114.01712,1389,4,3D Validated,Nothing Detected,8,3.36,3.6,
89025,2023-03-20 11:00:32,2023-03-20 5:00:32,2023-03-20 11:01:10,2023-03-20 05:01:10-06:00,Iridium,46.76836,-114.01685,1396,3,3D Validated,Nothing Detected,10,3.36,3.6,
