Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
89025,2023-04-18 05:00:20,2023-04-17 23:00:20-06:00,2023-04-18 07:01:36,2023-04-18 01:01:36-06:00,Iridium,46.76198,-114.019005,1429,2.8,3D Validated,Nothing Detected,0,3.2,3.52,
89025,2023-04-18 04:00:43,2023-04-17 22:00:43-06:00,2023-04-18 07:01:36,2023-04-18 01:01:36-06:00,Iridium,46.761654,-114.019135,1381,2.2,3D Validated,Nothing Detected,0,3.2,3.52,
89025,2023-04-18 03:00:19,2023-04-17 21:00:19-06:00,2023-04-18 07:02:00,2023-04-18 01:02:00-06:00,Iridium,46.76149,-114.01895,1384,5.6,3D Validated,Nothing Detected,0,3.2,3.52,
89025,2023-04-18 02:00:44,2023-04-17 20:00:44-06:00,2023-04-18 07:02:00,2023-04-18 01:02:00-06:00,Iridium,46.761696,-114.019104,1384,2.8,3D Validated,Nothing Detected,0,3.2,3.52,
89025,2023-04-18 01:00:24,2023-04-17 19:00:24-06:00,2023-04-18 07:02:00,2023-04-18 01:02:00-06:00,Iridium,46.762386,-114.01914,1414,5.8,3D Validated,Nothing Detected,0,3.2,3.52,
89025,2023-04-18 00:00:46,2023-04-17 18:00:46-06:00,2023-04-18 07:02:00,2023-04-18 01:02:00-06:00,Iridium,46.761757,-114.019165,1392,2.4,3D Validated,Nothing Detected,0,3.2,3.6,
89025,2023-04-17 23:00:38,2023-04-17 17:00:38-06:00,2023-04-18 07:02:10,2023-04-18 01:02:10-06:00,Iridium,46.763657,-114.01957,1300,4,3D Validated,Nothing Detected,12,3.28,3.6,
89025,2023-04-17 22:00:15,2023-04-17 16:00:15-06:00,2023-04-18 07:02:10,2023-04-18 01:02:10-06:00,Iridium,46.763767,-114.01967,1324,3,3D Validated,Nothing Detected,8,3.36,3.6,
89025,2023-04-17 21:00:39,2023-04-17 15:00:39-06:00,2023-04-18 07:02:10,2023-04-18 01:02:10-06:00,Iridium,46.76371,-114.019615,1303,1.8,3D Validated,Nothing Detected,7,3.28,3.6,
89025,2023-04-17 20:00:15,2023-04-17 14:00:15-06:00,2023-04-18 07:02:10,2023-04-18 01:02:10-06:00,Iridium,46.76376,-114.01958,1303,2.6,3D Validated,Nothing Detected,8,3.28,3.6,
89025,2023-04-17 19:00:37,2023-04-17 13:00:37-06:00,2023-04-18 07:02:21,2023-04-18 01:02:21-06:00,Iridium,46.763744,-114.01954,1296,2,3D Validated,Nothing Detected,9,3.28,3.6,
89025,2023-04-17 18:00:10,2023-04-17 12:00:10-06:00,2023-04-18 07:02:21,2023-04-18 01:02:21-06:00,Iridium,46.763702,-114.01951,1306,4,3D Validated,Nothing Detected,8,3.28,3.6,
89025,2023-04-17 17:00:37,2023-04-17 11:00:37-06:00,2023-04-18 07:02:21,2023-04-18 01:02:21-06:00,Iridium,46.763702,-114.01951,1306,3,3D Validated,Nothing Detected,12,3.28,3.6,
89025,2023-04-17 16:00:11,2023-04-17 10:00:11-06:00,2023-04-18 07:02:21,2023-04-18 01:02:21-06:00,Iridium,46.766285,-114.01943,1294,1.8,3D Validated,Nothing Detected,20,3.28,3.6,
89025,2023-04-17 15:00:38,2023-04-17 09:00:38-06:00,2023-04-17 15:01:09,2023-04-17 09:01:09-06:00,Iridium,46.767784,-114.018585,1324,2.2,3D Validated,Nothing Detected,16,3.28,3.6,
89025,2023-04-17 14:00:46,2023-04-17 08:00:46-06:00,2023-04-17 15:01:09,2023-04-17 09:01:09-06:00,Iridium,46.767715,-114.01839,1293,6.2,3D Validated,Nothing Detected,16,3.28,3.6,
89025,2023-04-17 13:00:13,2023-04-17 07:00:13-06:00,2023-04-17 15:01:09,2023-04-17 09:01:09-06:00,Iridium,46.76772,-114.01834,1342,4.6,3D Validated,Nothing Detected,14,3.36,3.6,
89025,2023-04-17 12:00:45,2023-04-17 06:00:45-06:00,2023-04-17 15:01:09,2023-04-17 09:01:09-06:00,Iridium,46.767696,-114.01843,1322,6.4,3D Validated,Nothing Detected,16,3.36,3.6,
89025,2023-04-17 11:00:28,2023-04-17 05:00:28-06:00,2023-04-17 15:01:28,2023-04-17 09:01:28-06:00,Iridium,46.76758,-114.01848,1327,3.2,3D Validated,Nothing Detected,17,3.36,3.6,
89025,2023-04-17 10:00:39,2023-04-17 04:00:39-06:00,2023-04-17 15:01:28,2023-04-17 09:01:28-06:00,Iridium,46.76776,-114.018394,1318,3.8,3D Validated,Nothing Detected,12,3.36,3.6,
89025,2023-04-17 09:00:15,2023-04-17 03:00:15-06:00,2023-04-17 15:01:28,2023-04-17 09:01:28-06:00,Iridium,46.767673,-114.018425,1322,3,3D Validated,Nothing Detected,15,3.36,3.6,
89025,2023-04-17 08:00:37,2023-04-17 02:00:37-06:00,2023-04-17 15:01:28,2023-04-17 09:01:28-06:00,Iridium,46.767593,-114.01844,1317,3,3D Validated,Nothing Detected,10,3.28,3.6,
89025,2023-04-17 07:00:12,2023-04-17 01:00:12-06:00,2023-04-18 07:02:31,2023-04-18 01:02:31-06:00,Iridium,46.767857,-114.01835,1350,2.8,3D Validated,Nothing Detected,11,3.28,3.6,
89025,2023-04-17 06:00:44,2023-04-17 00:00:44-06:00,2023-04-18 07:02:31,2023-04-18 01:02:31-06:00,Iridium,46.767647,-114.01853,1328,2.8,3D Validated,Nothing Detected,13,3.28,3.6,
89025,2023-04-17 05:00:27,2023-04-16 23:00:27-06:00,2023-04-18 07:02:31,2023-04-18 01:02:31-06:00,Iridium,46.767773,-114.01816,1314,3.4,3D Validated,Nothing Detected,13,3.28,3.6,
89025,2023-04-17 04:00:42,2023-04-16 22:00:42-06:00,2023-04-18 07:02:31,2023-04-18 01:02:31-06:00,Iridium,46.767612,-114.01847,1318,5.4,3D Validated,Nothing Detected,15,3.28,3.6,
89025,2023-04-17 03:00:11,2023-04-16 21:00:11-06:00,2023-04-18 07:02:41,2023-04-18 01:02:41-06:00,Iridium,46.76632,-114.01914,1291,3,3D Validated,Nothing Detected,17,3.28,3.6,
89025,2023-04-17 02:00:38,2023-04-16 20:00:38-06:00,2023-04-18 07:02:41,2023-04-18 01:02:41-06:00,Iridium,46.765125,-114.01691,1322,3.4,3D Validated,Nothing Detected,18,3.28,3.6,
89025,2023-04-17 01:01:44,2023-04-16 19:01:44-06:00,2023-04-18 07:02:41,2023-04-18 01:02:41-06:00,Iridium,46.763374,-114.02028,1319,6,3D Validated,Nothing Detected,20,3.28,3.6,
89025,2023-04-17 00:00:13,2023-04-16 18:00:13-06:00,2023-04-18 07:02:41,2023-04-18 01:02:41-06:00,Iridium,46.768677,-114.03281,1322,8.2,3D Validated,Nothing Detected,22,3.28,3.6,
89025,2023-04-16 23:00:38,2023-04-16 17:00:38-06:00,2023-04-16 23:01:35,2023-04-16 17:01:35-06:00,Iridium,46.768757,-114.03265,1311,3.6,3D Validated,Nothing Detected,22,3.28,3.6,
89025,2023-04-16 22:00:45,2023-04-16 16:00:45-06:00,2023-04-16 23:01:35,2023-04-16 17:01:35-06:00,Iridium,46.768097,-114.03221,1259,3,3D Validated,Nothing Detected,23,3.28,3.6,
89025,2023-04-16 21:00:13,2023-04-16 15:00:13-06:00,2023-04-16 23:01:35,2023-04-16 17:01:35-06:00,Iridium,46.76839,-114.032135,1283,4.8,3D Validated,Nothing Detected,25,3.28,3.6,
89025,2023-04-16 20:00:38,2023-04-16 14:00:38-06:00,2023-04-16 23:01:35,2023-04-16 17:01:35-06:00,Iridium,46.774014,-114.03774,1140,2.6,3D Validated,Nothing Detected,25,3.28,3.6,
89025,2023-04-16 19:01:38,2023-04-16 13:01:38-06:00,2023-04-16 23:02:01,2023-04-16 17:02:01-06:00,Iridium,,,,0,No Fix,Nothing Detected,24,3.28,3.6,
89025,2023-04-16 18:00:13,2023-04-16 12:00:13-06:00,2023-04-16 23:02:01,2023-04-16 17:02:01-06:00,Iridium,46.76934,-114.02444,1192,5.6,3D Validated,Nothing Detected,25,3.28,3.6,
89025,2023-04-16 17:00:46,2023-04-16 11:00:46-06:00,2023-04-16 23:02:01,2023-04-16 17:02:01-06:00,Iridium,46.76898,-114.02285,1287,2,3D Validated,Nothing Detected,23,3.28,3.6,
89025,2023-04-16 16:00:12,2023-04-16 10:00:12-06:00,2023-04-16 23:02:01,2023-04-16 17:02:01-06:00,Iridium,46.768467,-114.01924,1319,2.2,3D Validated,Nothing Detected,6,3.28,3.6,
89025,2023-04-16 15:00:44,2023-04-16 09:00:44-06:00,2023-04-16 23:02:13,2023-04-16 17:02:13-06:00,Iridium,46.767715,-114.01836,1323,3,3D Validated,Nothing Detected,13,3.28,3.6,
89025,2023-04-16 14:00:31,2023-04-16 08:00:31-06:00,2023-04-16 23:02:13,2023-04-16 17:02:13-06:00,Iridium,46.767548,-114.01837,1349,2.6,3D Validated,Nothing Detected,11,3.36,3.6,
89025,2023-04-16 13:00:38,2023-04-16 07:00:38-06:00,2023-04-16 23:02:13,2023-04-16 17:02:13-06:00,Iridium,46.767654,-114.018486,1333,1.8,3D Validated,Nothing Detected,12,3.36,3.6,
89025,2023-04-16 12:00:44,2023-04-16 06:00:44-06:00,2023-04-16 23:02:13,2023-04-16 17:02:13-06:00,Iridium,46.767643,-114.01847,1314,3.4,3D Validated,Nothing Detected,22,3.28,3.6,
89025,2023-04-16 11:01:28,2023-04-16 05:01:28-06:00,2023-04-16 23:03:01,2023-04-16 17:03:01-06:00,Iridium,46.767628,-114.018394,1302,3,3D Validated,Nothing Detected,10,3.28,3.6,
89025,2023-04-16 10:00:31,2023-04-16 04:00:31-06:00,2023-04-16 23:03:01,2023-04-16 17:03:01-06:00,Iridium,46.768013,-114.01836,1372,3.8,3D Validated,Nothing Detected,11,3.36,3.6,
89025,2023-04-16 09:00:37,2023-04-16 03:00:37-06:00,2023-04-16 23:03:01,2023-04-16 17:03:01-06:00,Iridium,46.76763,-114.01841,1329,2.8,3D Validated,Nothing Detected,18,3.28,3.6,
89025,2023-04-16 08:01:38,2023-04-16 02:01:38-06:00,2023-04-16 23:03:01,2023-04-16 17:03:01-06:00,Iridium,,,,0,No Fix,Nothing Detected,25,3.28,3.6,
89025,2023-04-16 07:01:38,2023-04-16 01:01:38-06:00,2023-04-16 23:03:11,2023-04-16 17:03:11-06:00,Iridium,,,,0,No Fix,Nothing Detected,10,3.28,3.6,
89025,2023-04-16 06:00:38,2023-04-16 00:00:38-06:00,2023-04-16 23:03:11,2023-04-16 17:03:11-06:00,Iridium,46.76774,-114.01843,1343,2.6,3D Validated,Nothing Detected,8,3.36,3.6,
89025,2023-04-16 05:00:10,2023-04-15 23:00:10-06:00,2023-04-16 23:03:11,2023-04-16 17:03:11-06:00,Iridium,46.76773,-114.0184,1322,2.4,3D Validated,Nothing Detected,10,3.36,3.6,
89025,2023-04-16 04:00:37,2023-04-15 22:00:37-06:00,2023-04-16 23:03:11,2023-04-16 17:03:11-06:00,Iridium,46.767693,-114.01846,1323,3,3D Validated,Nothing Detected,12,3.28,3.6,
89025,2023-04-16 03:00:34,2023-04-15 21:00:34-06:00,2023-04-16 23:03:28,2023-04-16 17:03:28-06:00,Iridium,46.767532,-114.018364,1351,8,3D Validated,Nothing Detected,14,3.28,3.6,
89025,2023-04-16 02:00:13,2023-04-15 20:00:13-06:00,2023-04-16 23:03:28,2023-04-16 17:03:28-06:00,Iridium,46.76701,-114.01995,1307,1.6,3D Validated,Nothing Detected,20,3.28,3.6,
89025,2023-04-16 01:00:36,2023-04-15 19:00:36-06:00,2023-04-16 23:03:28,2023-04-16 17:03:28-06:00,Iridium,46.76668,-114.01888,1327,1.8,3D Validated,Nothing Detected,24,3.28,3.6,
89025,2023-04-16 00:00:44,2023-04-15 18:00:44-06:00,2023-04-16 23:03:28,2023-04-16 17:03:28-06:00,Iridium,46.766766,-114.01939,1326,1.8,3D Validated,Nothing Detected,24,3.28,3.6,
89025,2023-04-15 23:00:10,2023-04-15 17:00:10-06:00,2023-04-15 23:01:04,2023-04-15 17:01:04-06:00,Iridium,46.767246,-114.01936,1309,2.2,3D Validated,Nothing Detected,28,3.28,3.6,
89025,2023-04-15 22:00:37,2023-04-15 16:00:37-06:00,2023-04-15 23:01:04,2023-04-15 17:01:04-06:00,Iridium,46.767258,-114.01934,1303,3,3D Validated,Nothing Detected,27,3.28,3.6,
89025,2023-04-15 21:00:16,2023-04-15 15:00:16-06:00,2023-04-15 23:01:04,2023-04-15 17:01:04-06:00,Iridium,46.767662,-114.01969,1285,6.2,3D Validated,Nothing Detected,15,3.28,3.6,
89025,2023-04-15 20:00:44,2023-04-15 14:00:44-06:00,2023-04-15 23:01:04,2023-04-15 17:01:04-06:00,Iridium,46.76751,-114.019516,1309,3.4,3D Validated,Nothing Detected,20,3.28,3.6,
89025,2023-04-15 19:00:15,2023-04-15 13:00:15-06:00,2023-04-16 23:03:50,2023-04-16 17:03:50-06:00,Iridium,46.767643,-114.020134,1279,8.8,3D Validated,Nothing Detected,24,3.28,3.6,
89025,2023-04-15 18:00:42,2023-04-15 12:00:42-06:00,2023-04-16 23:03:50,2023-04-16 17:03:50-06:00,Iridium,46.767727,-114.01829,1328,2.4,3D Validated,Nothing Detected,27,3.28,3.6,
89025,2023-04-15 17:00:13,2023-04-15 11:00:13-06:00,2023-04-16 23:03:50,2023-04-16 17:03:50-06:00,Iridium,46.76773,-114.018394,1308,3,3D Validated,Nothing Detected,13,3.28,3.6,
89025,2023-04-15 16:00:44,2023-04-15 10:00:44-06:00,2023-04-16 23:03:50,2023-04-16 17:03:50-06:00,Iridium,46.76773,-114.01845,1330,1.8,3D Validated,Nothing Detected,11,3.28,3.6,
89025,2023-04-15 15:00:11,2023-04-15 09:00:11-06:00,2023-04-16 23:04:01,2023-04-16 17:04:01-06:00,Iridium,46.767696,-114.01848,1334,2.8,3D Validated,Nothing Detected,8,3.36,3.6,
