Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40906,2023-10-25 05:52:08,2023-10-24 23:52:08-06:00,2023-10-28 04:02:46,2023-10-27 22:02:46-06:00,Iridium,46.783665,-113.86282,1883,3.4,3D Validated,Nothing Detected,1,3.28,3.6,Animal with Collar 40906
40906,2023-10-25 05:22:13,2023-10-24 23:22:13-06:00,2023-10-28 04:02:46,2023-10-27 22:02:46-06:00,Iridium,46.78359,-113.862785,1907,3.6,3D Validated,Nothing Detected,2,3.28,3.6,Animal with Collar 40906
40906,2023-10-25 04:52:38,2023-10-24 22:52:38-06:00,2023-10-28 04:02:46,2023-10-27 22:02:46-06:00,Iridium,46.783577,-113.862755,1897,2.4,3D Validated,Nothing Detected,2,3.2,3.6,Animal with Collar 40906
40906,2023-10-25 04:22:13,2023-10-24 22:22:13-06:00,2023-10-28 04:02:54,2023-10-27 22:02:54-06:00,Iridium,46.783703,-113.8628,1873,4.2,3D Validated,Nothing Detected,2,3.28,3.6,Animal with Collar 40906
40906,2023-10-25 03:52:05,2023-10-24 21:52:05-06:00,2023-10-28 04:02:54,2023-10-27 22:02:54-06:00,Iridium,46.783638,-113.862816,1882,3.2,3D Validated,Nothing Detected,2,3.28,3.6,Animal with Collar 40906
40906,2023-10-25 03:22:30,2023-10-24 21:22:30-06:00,2023-10-25 03:23:54,2023-10-24 21:23:54-06:00,Iridium,46.78363,-113.86283,1892,4.6,3D Validated,Mortality No Radius,2,3.28,3.6,Animal with Collar 40906
40906,2023-10-25 02:52:16,2023-10-24 20:52:16-06:00,2023-10-25 03:23:54,2023-10-24 21:23:54-06:00,Iridium,46.78361,-113.86288,1885,3.2,3D Validated,Mortality No Radius,2,3.28,3.6,Animal with Collar 40906
40906,2023-10-25 02:00:38,2023-10-24 20:00:38-06:00,2023-10-25 03:23:54,2023-10-24 21:23:54-06:00,Iridium,46.783478,-113.8628,1910,3,3D Validated,Nothing Detected,3,3.2,3.6,Animal with Collar 40906
40906,2023-10-25 01:00:23,2023-10-24 19:00:23-06:00,2023-10-25 03:23:54,2023-10-24 21:23:54-06:00,Iridium,46.78362,-113.86279,1879,3.8,3D Validated,Nothing Detected,3,3.28,3.6,Animal with Collar 40906
40906,2023-10-25 00:00:36,2023-10-24 18:00:36-06:00,2023-10-25 03:24:14,2023-10-24 21:24:14-06:00,Iridium,46.78357,-113.86286,1876,5.6,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 23:00:38,2023-10-24 17:00:38-06:00,2023-10-25 03:24:14,2023-10-24 21:24:14-06:00,Iridium,46.78361,-113.86284,1896,2,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 22:00:16,2023-10-24 16:00:16-06:00,2023-10-25 03:24:14,2023-10-24 21:24:14-06:00,Iridium,46.783653,-113.86291,1876,4,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 21:00:20,2023-10-24 15:00:20-06:00,2023-10-25 03:24:14,2023-10-24 21:24:14-06:00,Iridium,46.78357,-113.86279,1895,4,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 20:00:37,2023-10-24 14:00:37-06:00,2023-10-28 04:02:54,2023-10-27 22:02:54-06:00,Iridium,46.783497,-113.862854,1906,3,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 19:00:26,2023-10-24 13:00:26-06:00,2023-10-28 04:02:54,2023-10-27 22:02:54-06:00,Iridium,46.78332,-113.86271,1916,3,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 18:00:36,2023-10-24 12:00:36-06:00,2023-10-28 04:03:01,2023-10-27 22:03:01-06:00,Iridium,46.783638,-113.86282,1880,4.8,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 17:00:38,2023-10-24 11:00:38-06:00,2023-10-28 04:03:01,2023-10-27 22:03:01-06:00,Iridium,46.783585,-113.86287,1891,2.8,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 16:00:36,2023-10-24 10:00:36-06:00,2023-10-28 04:03:01,2023-10-27 22:03:01-06:00,Iridium,46.78358,-113.8627,1905,2.4,3D Validated,Nothing Detected,4,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 15:00:17,2023-10-24 09:00:17-06:00,2023-10-28 04:03:01,2023-10-27 22:03:01-06:00,Iridium,46.78352,-113.86284,1914,3,3D Validated,Nothing Detected,5,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 14:00:36,2023-10-24 08:00:36-06:00,2023-10-28 04:03:09,2023-10-27 22:03:09-06:00,Iridium,46.78361,-113.8628,1891,2.2,3D Validated,Nothing Detected,5,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 13:00:36,2023-10-24 07:00:36-06:00,2023-10-28 04:03:09,2023-10-27 22:03:09-06:00,Iridium,46.78367,-113.86285,1871,3.4,3D Validated,Nothing Detected,6,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 12:00:37,2023-10-24 06:00:37-06:00,2023-10-28 04:03:09,2023-10-27 22:03:09-06:00,Iridium,46.783627,-113.8628,1906,3.4,3D Validated,Nothing Detected,6,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 11:00:16,2023-10-24 05:00:16-06:00,2023-10-28 04:03:09,2023-10-27 22:03:09-06:00,Iridium,46.78376,-113.86297,1872,4.6,3D Validated,Nothing Detected,7,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 10:01:00,2023-10-24 04:01:00-06:00,2023-10-28 04:03:19,2023-10-27 22:03:19-06:00,Iridium,46.783634,-113.862885,1930,7.2,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 09:00:52,2023-10-24 03:00:52-06:00,2023-10-28 04:03:19,2023-10-27 22:03:19-06:00,Iridium,46.783646,-113.862724,1885,3.2,3D Validated,Nothing Detected,9,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 08:00:38,2023-10-24 02:00:38-06:00,2023-10-28 04:03:19,2023-10-27 22:03:19-06:00,Iridium,46.78364,-113.862785,1890,2.6,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 07:00:42,2023-10-24 01:00:42-06:00,2023-10-28 04:03:19,2023-10-27 22:03:19-06:00,Iridium,46.783836,-113.86322,1840,6,3D Validated,Nothing Detected,11,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 06:00:38,2023-10-24 00:00:38-06:00,2023-10-28 04:03:27,2023-10-27 22:03:27-06:00,Iridium,46.783646,-113.86283,1887,3.8,3D Validated,Nothing Detected,12,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 05:00:56,2023-10-23 23:00:56-06:00,2023-10-28 04:03:27,2023-10-27 22:03:27-06:00,Iridium,46.783543,-113.86263,1903,4,3D Validated,Nothing Detected,14,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 04:00:16,2023-10-23 22:00:16-06:00,2023-10-28 04:03:27,2023-10-27 22:03:27-06:00,Iridium,46.783676,-113.86282,1884,3.2,3D Validated,Nothing Detected,15,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 03:00:38,2023-10-23 21:00:38-06:00,2023-10-28 04:03:27,2023-10-27 22:03:27-06:00,Iridium,46.783646,-113.86279,1882,4,3D Validated,Nothing Detected,13,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 02:00:37,2023-10-23 20:00:37-06:00,2023-10-28 04:03:35,2023-10-27 22:03:35-06:00,Iridium,46.783604,-113.86285,1886,3.6,3D Validated,Nothing Detected,16,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 01:01:39,2023-10-23 19:01:39-06:00,2023-10-28 04:03:35,2023-10-27 22:03:35-06:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,Animal with Collar 40906
40906,2023-10-24 00:01:39,2023-10-23 18:01:39-06:00,2023-10-29 08:02:05,2023-10-29 02:02:05-06:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,Animal with Collar 40906
40906,2023-10-23 23:01:39,2023-10-23 17:01:39-06:00,2023-10-29 08:02:05,2023-10-29 02:02:05-06:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40906
40906,2023-10-23 22:01:39,2023-10-23 16:01:39-06:00,2023-10-29 08:02:05,2023-10-29 02:02:05-06:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,Animal with Collar 40906
40906,2023-10-23 21:01:38,2023-10-23 15:01:38-06:00,2023-10-29 08:02:05,2023-10-29 02:02:05-06:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,Animal with Collar 40906
40906,2023-10-23 20:03:00,2023-10-23 14:03:00-06:00,2023-10-29 08:02:13,2023-10-29 02:02:13-06:00,Iridium,46.784355,-113.864296,1947,5.4,3D,Nothing Detected,17,3.28,3.6,Animal with Collar 40906
40906,2023-10-23 19:01:24,2023-10-23 13:01:24-06:00,2023-10-29 08:02:13,2023-10-29 02:02:13-06:00,Iridium,46.78427,-113.864235,1954,2.4,3D Validated,Nothing Detected,18,3.36,3.6,Animal with Collar 40906
40906,2023-10-23 18:01:39,2023-10-23 12:01:39-06:00,2023-10-29 08:02:13,2023-10-29 02:02:13-06:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,Animal with Collar 40906
40906,2023-10-23 17:01:39,2023-10-23 11:01:39-06:00,2023-10-29 08:02:13,2023-10-29 02:02:13-06:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,Animal with Collar 40906
