Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40907,12/31/2022 13:01,12/31/2022 7:01,12/31/2022 15:02,2022-12-31 08:02:41-07:00,Iridium,46.76073,-113.94971,1386,3.8,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40907
40907,12/31/2022 12:00,12/31/2022 6:00,12/31/2022 15:02,2022-12-31 08:02:41-07:00,Iridium,46.76075,-113.94984,1395,4,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40907
40907,12/28/2022 19:00,12/28/2022 13:00,12/28/2022 19:01,2022-12-28 12:01:28-07:00,Iridium,46.76076,-113.94983,1399,6.6,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40907
40907,12/28/2022 18:00,12/28/2022 12:00,12/28/2022 19:01,2022-12-28 12:01:28-07:00,Iridium,46.76074,-113.94982,1405,4.2,3D,Nothing Detected,8,3.36,3.6,Animal with Collar 40907
40907,12/28/2022 17:00,12/28/2022 11:00,12/28/2022 19:01,2022-12-28 12:01:28-07:00,Iridium,46.76073,-113.94978,1406,3.2,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40907
40907,12/28/2022 16:00,12/28/2022 10:00,12/28/2022 19:01,2022-12-28 12:01:28-07:00,Iridium,46.76075,-113.94981,1409,4.4,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40907
40907,12/28/2022 15:00,12/28/2022 9:00,12/28/2022 19:01,2022-12-28 12:01:38-07:00,Iridium,46.76073,-113.94983,1408,3,3D Validated,Nothing Detected,6,3.36,3.6,Animal with Collar 40907
40907,12/28/2022 14:00,12/28/2022 8:00,12/28/2022 19:01,2022-12-28 12:01:38-07:00,Iridium,46.76081,-113.94985,1390,3,3D Validated,Nothing Detected,6,3.36,3.6,Animal with Collar 40907
40907,12/28/2022 13:00,12/28/2022 7:00,12/28/2022 19:01,2022-12-28 12:01:38-07:00,Iridium,46.76082,-113.94991,1397,4.2,3D Validated,Nothing Detected,6,3.36,3.6,Animal with Collar 40907
40907,12/28/2022 12:00,12/28/2022 6:00,12/28/2022 19:01,2022-12-28 12:01:38-07:00,Iridium,46.76073,-113.94984,1400,4.6,3D Validated,Nothing Detected,6,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 15:00,12/22/2022 9:00,12/22/2022 15:00,2022-12-22 08:00:41-07:00,Iridium,46.76076,-113.94981,1395,3.4,3D Validated,Nothing Detected,-1,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 14:00,12/22/2022 8:00,12/22/2022 15:00,2022-12-22 08:00:41-07:00,Iridium,46.76073,-113.94987,1406,2.2,3D Validated,Nothing Detected,0,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 13:00,12/22/2022 7:00,12/22/2022 15:00,2022-12-22 08:00:41-07:00,Iridium,46.76058,-113.94983,1413,3,3D Validated,Nothing Detected,-1,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 12:00,12/22/2022 6:00,12/22/2022 15:00,2022-12-22 08:00:41-07:00,Iridium,46.76073,-113.9498,1394,2.8,3D Validated,Nothing Detected,3,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 11:00,12/22/2022 5:00,12/22/2022 15:01,2022-12-22 08:01:06-07:00,Iridium,46.76079,-113.94973,1397,3.8,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 9:03,12/22/2022 3:03,12/22/2022 15:01,2022-12-22 08:01:06-07:00,Iridium,46.76077,-113.94971,1371,6,3D,Nothing Detected,3,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 8:00,12/22/2022 2:00,12/22/2022 15:01,2022-12-22 08:01:06-07:00,Iridium,46.76069,-113.94976,1407,4.2,3D Validated,Nothing Detected,-5,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 7:00,12/22/2022 1:00,12/22/2022 15:01,2022-12-22 08:01:14-07:00,Iridium,46.76075,-113.94979,1398,4,3D Validated,Nothing Detected,-5,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 6:00,12/22/2022 0:00,12/22/2022 15:01,2022-12-22 08:01:14-07:00,Iridium,46.76075,-113.94979,1398,3.2,3D Validated,Nothing Detected,-4,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 5:00,12/21/2022 23:00,12/22/2022 15:01,2022-12-22 08:01:14-07:00,Iridium,46.76075,-113.94979,1398,2,3D Validated,Nothing Detected,-4,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 4:00,12/21/2022 22:00,12/22/2022 15:01,2022-12-22 08:01:14-07:00,Iridium,46.76076,-113.94984,1397,3.4,3D Validated,Nothing Detected,-3,3.36,3.6,Animal with Collar 40907
40907,12/22/2022 3:00,12/21/2022 21:00,12/22/2022 15:01,2022-12-22 08:01:24-07:00,Iridium,46.7607,-113.94982,1407,2.8,3D Validated,Nothing Detected,-1,3.36,3.6,Animal with Collar 40907
