Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40907,2023-12-25 08:01:39,2023-12-25 01:01:39-07:00,2023-12-25 08:02:49,2023-12-25 01:02:49-07:00,Iridium,,,,0,No Fix,Nothing Detected,12,3.36,3.6,Animal with Collar 40907
40907,2023-12-25 07:01:39,2023-12-25 00:01:39-07:00,2023-12-25 08:02:49,2023-12-25 01:02:49-07:00,Iridium,,,,0,No Fix,Nothing Detected,14,3.36,3.6,Animal with Collar 40907
40907,2023-12-25 06:01:39,2023-12-24 23:01:39-07:00,2023-12-25 08:02:49,2023-12-25 01:02:49-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.36,3.6,Animal with Collar 40907
40907,2023-12-25 05:01:39,2023-12-24 22:01:39-07:00,2023-12-25 08:02:49,2023-12-25 01:02:49-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.36,3.6,Animal with Collar 40907
40907,2023-12-06 08:01:37,2023-12-06 01:01:37-07:00,2023-12-06 08:02:12,2023-12-06 01:02:12-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.36,3.6,Animal with Collar 40907
40907,2023-12-06 07:01:38,2023-12-06 00:01:38-07:00,2023-12-06 08:02:12,2023-12-06 01:02:12-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.36,3.6,Animal with Collar 40907
40907,2023-12-06 06:01:38,2023-12-05 23:01:38-07:00,2023-12-06 08:02:12,2023-12-06 01:02:12-07:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.28,3.6,Animal with Collar 40907
40907,2023-12-06 05:01:38,2023-12-05 22:01:38-07:00,2023-12-06 08:02:12,2023-12-06 01:02:12-07:00,Iridium,,,,0,No Fix,Nothing Detected,21,3.36,3.6,Animal with Collar 40907
40907,2023-12-06 04:01:38,2023-12-05 21:01:38-07:00,2023-12-06 08:02:24,2023-12-06 01:02:24-07:00,Iridium,,,,0,No Fix,Nothing Detected,24,3.28,3.6,Animal with Collar 40907
40907,2023-12-06 03:01:38,2023-12-05 20:01:38-07:00,2023-12-06 08:02:24,2023-12-06 01:02:24-07:00,Iridium,,,,0,No Fix,Nothing Detected,24,3.36,3.6,Animal with Collar 40907
40907,2023-12-06 02:01:38,2023-12-05 19:01:38-07:00,2023-12-06 08:02:24,2023-12-06 01:02:24-07:00,Iridium,,,,0,No Fix,Nothing Detected,23,3.36,3.6,Animal with Collar 40907
40907,2023-12-06 01:01:38,2023-12-05 18:01:38-07:00,2023-12-06 08:02:24,2023-12-06 01:02:24-07:00,Iridium,,,,0,No Fix,Nothing Detected,23,3.36,3.6,Animal with Collar 40907
40907,2023-12-06 00:01:38,2023-12-05 17:01:38-07:00,2023-12-06 08:02:49,2023-12-06 01:02:49-07:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.36,3.6,Animal with Collar 40907
40907,2023-12-05 23:01:38,2023-12-05 16:01:38-07:00,2023-12-06 08:02:49,2023-12-06 01:02:49-07:00,Iridium,,,,0,No Fix,Nothing Detected,21,3.36,3.6,Animal with Collar 40907
40907,2023-12-05 22:01:39,2023-12-05 15:01:39-07:00,2023-12-06 08:02:49,2023-12-06 01:02:49-07:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,Animal with Collar 40907
40907,2023-12-05 21:01:39,2023-12-05 14:01:39-07:00,2023-12-06 08:02:49,2023-12-06 01:02:49-07:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,Animal with Collar 40907
40907,2023-12-05 20:03:00,2023-12-05 13:03:00-07:00,2023-12-06 08:02:57,2023-12-06 01:02:57-07:00,Iridium,46.770676,-113.969444,1406,8.8,3D,Nothing Detected,20,3.28,3.6,Animal with Collar 40907
40907,2023-12-05 19:03:00,2023-12-05 12:03:00-07:00,2023-12-06 08:02:57,2023-12-06 01:02:57-07:00,Iridium,46.77089,-113.96942,1431,9.8,3D,Nothing Detected,20,3.28,3.6,Animal with Collar 40907
40907,2023-12-05 18:01:39,2023-12-05 11:01:39-07:00,2023-12-06 08:02:57,2023-12-06 01:02:57-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.36,3.6,Animal with Collar 40907
40907,2023-12-05 17:00:37,2023-12-05 10:00:37-07:00,2023-12-06 08:02:57,2023-12-06 01:02:57-07:00,Iridium,46.770855,-113.969406,1432,4.2,3D Validated,Nothing Detected,20,3.36,3.6,Animal with Collar 40907
40907,2023-12-05 16:01:39,2023-12-05 09:01:39-07:00,2023-12-06 08:03:10,2023-12-06 01:03:10-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.36,3.6,Animal with Collar 40907
40907,2023-12-05 15:01:39,2023-12-05 08:01:39-07:00,2023-12-06 08:03:10,2023-12-06 01:03:10-07:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.36,3.6,Animal with Collar 40907
40907,2023-12-05 14:01:08,2023-12-05 07:01:08-07:00,2023-12-06 08:03:10,2023-12-06 01:03:10-07:00,Iridium,46.77073,-113.96942,1434,7.4,3D,Nothing Detected,18,3.36,3.6,Animal with Collar 40907
40907,2023-12-05 13:01:39,2023-12-05 06:01:39-07:00,2023-12-06 08:03:10,2023-12-06 01:03:10-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.36,3.6,Animal with Collar 40907
40907,2023-12-05 00:01:39,2023-12-04 17:01:39-07:00,2023-12-05 00:02:02,2023-12-04 17:02:02-07:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.36,3.6,Animal with Collar 40907
40907,2023-12-04 23:01:41,2023-12-04 16:01:41-07:00,2023-12-05 00:02:02,2023-12-04 17:02:02-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.36,3.6,Animal with Collar 40907
40907,2023-12-04 22:01:38,2023-12-04 15:01:38-07:00,2023-12-05 00:02:02,2023-12-04 17:02:02-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.36,3.6,Animal with Collar 40907
