Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40922,2024-04-06 05:00:37,2024-04-05 23:00:37-06:00,2024-04-06 23:01:39,2024-04-06 17:01:39-06:00,Iridium,46.77081,-113.96935,1439,4.4,3D Valid,Mortality,0,3.28,3.6,Animal with Collar 40922
40922,2024-04-06 04:00:36,2024-04-05 22:00:36-06:00,2024-04-06 23:01:39,2024-04-06 17:01:39-06:00,Iridium,46.77086,-113.96935,1439,2.4,3D Valid,Mortality,0,3.28,3.6,Animal with Collar 40922
40922,2024-04-06 02:42:06,2024-04-05 20:42:06-06:00,2024-04-06 23:01:49,2024-04-06 17:01:49-06:00,Iridium,46.77092,-113.96935,1436,4.8,3D Valid,Mortality,0,3.28,3.6,Animal with Collar 40922
40922,2024-04-06 02:11:34,2024-04-05 20:11:34-06:00,2024-04-06 02:12:08,2024-04-05 20:12:08-06:00,Iridium,46.77092,-113.96935,1439,5.4,3D Valid,Mortality,0,3.28,3.6,Animal with Collar 40922
40922,2024-04-06 01:41:40,2024-04-05 19:41:40-06:00,2024-04-06 02:12:08,2024-04-05 20:12:08-06:00,Iridium,46.77084,-113.96938,1436,2.2,3D Valid,Mortality,0,3.28,3.6,Animal with Collar 40922
40922,2024-04-06 01:12:02,2024-04-05 19:12:02-06:00,2024-04-06 02:12:08,2024-04-05 20:12:08-06:00,Iridium,46.77080,-113.96943,1426,2.8,3D Valid,Mortality,1,3.28,3.6,Animal with Collar 40922
40922,2024-04-06 00:41:35,2024-04-05 18:41:35-06:00,2024-04-06 02:12:08,2024-04-05 20:12:08-06:00,Iridium,46.77090,-113.96935,1438,2.8,3D Valid,Mortality,2,3.28,3.6,Animal with Collar 40922
40922,2024-04-06 00:12:00,2024-04-05 18:12:00-06:00,2024-04-06 02:12:39,2024-04-05 20:12:39-06:00,Iridium,46.77084,-113.96944,1425,2.4,3D Valid,Mortality,3,3.28,3.6,Animal with Collar 40922
40922,2024-04-05 23:41:33,2024-04-05 17:41:33-06:00,2024-04-06 02:12:39,2024-04-05 20:12:39-06:00,Iridium,46.77083,-113.96936,1440,1.8,3D Valid,Mortality,3,3.28,3.6,Animal with Collar 40922
40922,2024-04-05 23:11:31,2024-04-05 17:11:31-06:00,2024-04-06 02:12:39,2024-04-05 20:12:39-06:00,Iridium,46.77088,-113.96938,1440,2.4,3D Valid,Mortality,4,3.36,3.6,Animal with Collar 40922
40922,2024-04-05 22:42:00,2024-04-05 16:42:00-06:00,2024-04-06 02:12:39,2024-04-05 20:12:39-06:00,Iridium,46.77079,-113.96918,1438,5,3D Valid,Mortality,4,3.28,3.6,Animal with Collar 40922
40922,2024-04-05 22:11:38,2024-04-05 16:11:38-06:00,2024-04-06 02:12:58,2024-04-05 20:12:58-06:00,Iridium,46.77083,-113.96941,1407,3.6,3D Valid,Mortality,4,3.28,3.6,Animal with Collar 40922
40922,2024-04-05 21:41:31,2024-04-05 15:41:31-06:00,2024-04-06 02:12:58,2024-04-05 20:12:58-06:00,Iridium,46.77090,-113.96940,1430,4.6,3D Valid,Mortality,5,3.28,3.6,Animal with Collar 40922
40922,2024-04-05 21:11:33,2024-04-05 15:11:33-06:00,2024-04-05 21:12:37,2024-04-05 15:12:37-06:00,Iridium,46.77084,-113.96934,1446,3,3D Valid,Mortality,7,3.36,3.6,Animal with Collar 40922
40922,2024-04-05 21:00:36,2024-04-05 15:00:36-06:00,2024-04-05 21:12:37,2024-04-05 15:12:37-06:00,Iridium,46.77084,-113.96935,1436,3,3D Valid,Nothing Detected,7,3.36,3.6,Animal with Collar 40922
40922,2024-04-05 20:00:36,2024-04-05 14:00:36-06:00,2024-04-05 21:12:37,2024-04-05 15:12:37-06:00,Iridium,46.77092,-113.96939,1442,1.6,3D Valid,Nothing Detected,9,3.36,3.6,Animal with Collar 40922
