Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40905,2023-03-24 17:59:09,2023-03-24 11:59:09,2023-03-24 17:59:56,2023-03-24 11:59:56-06:00,Iridium,46.70411,-113.92339,1465,3.2,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40905
40905,2023-03-23 17:58:38,2023-03-23 11:58:38,2023-03-23 18:00:25,2023-03-23 12:00:25-06:00,Iridium,46.70413,-113.92338,1455,3.4,3D Validated,Nothing Detected,16,3.36,3.6,Animal with Collar 40905
40905,2023-03-22 17:57:26,2023-03-22 11:57:26,2023-03-22 17:57:49,2023-03-22 11:57:49-06:00,Iridium,46.7041,-113.92341,1466,3.6,3D Validated,Nothing Detected,15,3.28,3.6,Animal with Collar 40905
40905,2023-03-21 17:55:56,2023-03-21 11:55:56,2023-03-22 17:57:49,2023-03-22 11:57:49-06:00,Iridium,46.7042,-113.92342,1475,3,3D Validated,Nothing Detected,14,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 17:00:36,2023-03-20 11:00:36,2023-03-22 17:57:49,2023-03-22 11:57:49-06:00,Iridium,46.70415,-113.92335,1458,3.8,3D Validated,Nothing Detected,14,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 16:01:36,2023-03-20 10:01:36,2023-03-22 17:57:49,2023-03-22 11:57:49-06:00,Iridium,46.70406,-113.92329,1461,3,3D Validated,Nothing Detected,8,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 15:00:10,2023-03-20 9:00:10,2023-03-22 17:57:56,2023-03-22 11:57:56-06:00,Iridium,46.70414,-113.92343,1465,7.2,3D Validated,Nothing Detected,3,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 14:00:37,2023-03-20 8:00:37,2023-03-22 17:57:56,2023-03-22 11:57:56-06:00,Iridium,46.70401,-113.92342,1467,3.8,3D Validated,Nothing Detected,1,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 13:00:36,2023-03-20 7:00:36,2023-03-22 17:57:56,2023-03-22 11:57:56-06:00,Iridium,46.70406,-113.92341,1483,2.6,3D Validated,Nothing Detected,3,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 12:00:40,2023-03-20 6:00:40,2023-03-22 17:57:56,2023-03-22 11:57:56-06:00,Iridium,46.70393,-113.92318,1517,4.4,3D Validated,Nothing Detected,6,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 11:00:39,2023-03-20 5:00:39,2023-03-23 18:00:25,2023-03-23 12:00:25-06:00,Iridium,46.70427,-113.92329,1467,3,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 10:01:00,2023-03-20 4:01:00,2023-03-23 18:00:25,2023-03-23 12:00:25-06:00,Iridium,46.70437,-113.92343,1485,4,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 9:00:38,2023-03-20 3:00:38,2023-03-23 18:00:25,2023-03-23 12:00:25-06:00,Iridium,46.70416,-113.92334,1476,2.8,3D Validated,Nothing Detected,5,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 7:01:56,2023-03-20 1:01:56,2023-03-23 18:00:42,2023-03-23 12:00:42-06:00,Iridium,46.70428,-113.92312,1494,5,3D Validated,Nothing Detected,3,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 6:00:38,2023-03-20 0:00:38,2023-03-23 18:00:42,2023-03-23 12:00:42-06:00,Iridium,46.70413,-113.92332,1471,2.6,3D Validated,Nothing Detected,5,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 5:00:38,2023-03-19 23:00:38,2023-03-23 18:00:42,2023-03-23 12:00:42-06:00,Iridium,46.70414,-113.9233,1468,4,3D Validated,Nothing Detected,5,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 4:02:02,2023-03-19 22:02:02,2023-03-23 18:01:08,2023-03-23 12:01:08-06:00,Iridium,46.70415,-113.92319,1469,2.8,3D Validated,Nothing Detected,6,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 3:00:38,2023-03-19 21:00:38,2023-03-23 18:01:08,2023-03-23 12:01:08-06:00,Iridium,46.70413,-113.92325,1474,5.4,3D Validated,Nothing Detected,5,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 2:01:10,2023-03-19 20:01:10,2023-03-23 18:01:08,2023-03-23 12:01:08-06:00,Iridium,46.70414,-113.92307,1481,7.4,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40905
40905,2023-03-20 0:00:11,2023-03-19 18:00:11,2023-03-23 18:01:17,2023-03-23 12:01:17-06:00,Iridium,46.70412,-113.92329,1483,4.2,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40905
40905,2023-03-19 23:00:39,2023-03-19 17:00:39,2023-03-23 18:01:17,2023-03-23 12:01:17-06:00,Iridium,46.70416,-113.92323,1476,2.8,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40905
40905,2023-03-19 22:00:28,2023-03-19 16:00:28,2023-03-23 18:01:17,2023-03-23 12:01:17-06:00,Iridium,46.70401,-113.92292,1484,3.6,3D Validated,Nothing Detected,11,3.28,3.6,Animal with Collar 40905
40905,2023-03-19 21:01:04,2023-03-19 15:01:04,2023-03-23 18:01:17,2023-03-23 12:01:17-06:00,Iridium,46.7041,-113.92335,1482,2.4,3D Validated,Nothing Detected,17,3.28,3.6,Animal with Collar 40905
40905,2023-03-19 20:00:38,2023-03-19 14:00:38,2023-03-19 20:01:01,2023-03-19 14:01:01-06:00,Iridium,46.70419,-113.92323,1486,3.2,3D Validated,Nothing Detected,15,3.28,3.6,Animal with Collar 40905
40905,2023-03-19 19:00:40,2023-03-19 13:00:40,2023-03-19 20:01:01,2023-03-19 14:01:01-06:00,Iridium,46.70411,-113.92326,1475,3,3D Validated,Nothing Detected,17,3.28,3.6,Animal with Collar 40905
40905,2023-03-19 18:00:13,2023-03-19 12:00:13,2023-03-19 20:01:01,2023-03-19 14:01:01-06:00,Iridium,46.704,-113.92348,1470,2.8,3D Validated,Nothing Detected,14,3.28,3.6,Animal with Collar 40905
40905,2023-03-19 17:01:02,2023-03-19 11:01:02,2023-03-19 20:01:01,2023-03-19 14:01:01-06:00,Iridium,46.70417,-113.92239,1448,5,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40905
