Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40905,2023-05-02 05:00:38,2023-05-01 23:00:38-06:00,2023-05-02 16:01:21,2023-05-02 10:01:21-06:00,Iridium,46.70907,-113.91348,1404,8.6,3D Validated,Mortality No Radius,14,3.28,3.6,Animal with Collar 40905
40905,2023-05-02 04:00:16,2023-05-01 22:00:16-06:00,2023-05-02 16:01:42,2023-05-02 10:01:42-06:00,Iridium,46.70897,-113.913666,1376,4.8,3D Validated,Mortality No Radius,15,3.28,3.6,Animal with Collar 40905
40905,2023-05-02 03:00:36,2023-05-01 21:00:36-06:00,2023-05-02 16:01:42,2023-05-02 10:01:42-06:00,Iridium,46.70905,-113.913506,1390,4.2,3D Validated,Mortality No Radius,16,3.28,3.6,Animal with Collar 40905
40905,2023-05-02 02:00:47,2023-05-01 20:00:47-06:00,2023-05-02 16:01:42,2023-05-02 10:01:42-06:00,Iridium,46.708973,-113.91347,1398,4.8,3D Validated,Mortality No Radius,16,3.28,3.6,Animal with Collar 40905
40905,2023-05-02 01:00:23,2023-05-01 19:00:23-06:00,2023-05-02 16:01:42,2023-05-02 10:01:42-06:00,Iridium,46.709175,-113.91358,1377,4.6,3D Validated,Mortality No Radius,20,3.36,3.6,Animal with Collar 40905
40905,2023-05-02 00:00:37,2023-05-01 18:00:37-06:00,2023-05-02 00:01:10,2023-05-01 18:01:10-06:00,Iridium,46.709126,-113.91355,1379,3.4,3D Validated,Mortality No Radius,26,3.36,3.6,Animal with Collar 40905
40905,2023-05-01 23:00:13,2023-05-01 17:00:13-06:00,2023-05-02 00:01:10,2023-05-01 18:01:10-06:00,Iridium,46.70885,-113.913284,1394,6.4,3D Validated,Mortality No Radius,37,3.36,3.6,Animal with Collar 40905
40905,2023-05-01 22:00:11,2023-05-01 16:00:11-06:00,2023-05-02 00:01:10,2023-05-01 18:01:10-06:00,Iridium,46.709377,-113.91385,1248,4.2,3D Validated,Mortality No Radius,34,3.36,3.6,Animal with Collar 40905
40905,2023-05-01 21:00:36,2023-05-01 15:00:36-06:00,2023-05-02 00:01:10,2023-05-01 18:01:10-06:00,Iridium,46.709034,-113.9135,1411,3.6,3D Validated,Mortality No Radius,48,3.36,3.6,Animal with Collar 40905
40905,2023-05-01 20:00:36,2023-05-01 14:00:36-06:00,2023-05-02 00:01:47,2023-05-01 18:01:47-06:00,Iridium,46.709167,-113.91355,1378,6.8,3D Validated,Mortality No Radius,46,3.36,3.6,Animal with Collar 40905
40905,2023-05-01 19:00:36,2023-05-01 13:00:36-06:00,2023-05-02 00:01:47,2023-05-01 18:01:47-06:00,Iridium,46.70913,-113.913574,1403,3,3D Validated,Mortality No Radius,46,3.36,3.6,Animal with Collar 40905
40905,2023-05-01 18:01:02,2023-05-01 12:01:02-06:00,2023-05-02 00:01:47,2023-05-01 18:01:47-06:00,Iridium,46.709095,-113.91342,1388,3.2,3D Validated,Mortality No Radius,45,3.36,3.6,Animal with Collar 40905
40905,2023-05-01 17:01:25,2023-05-01 11:01:25-06:00,2023-05-02 00:01:47,2023-05-01 18:01:47-06:00,Iridium,46.708736,-113.91312,1458,3.8,3D Validated,Mortality No Radius,42,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 16:00:13,2023-05-01 10:00:13-06:00,2023-05-01 16:00:33,2023-05-01 10:00:33-06:00,Iridium,46.7092,-113.91356,1366,3,3D Validated,Mortality No Radius,28,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 15:00:34,2023-05-01 09:00:34-06:00,2023-05-01 16:00:33,2023-05-01 10:00:33-06:00,Iridium,46.708908,-113.913734,1388,3.2,3D Validated,Mortality No Radius,12,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 14:01:21,2023-05-01 08:01:21-06:00,2023-05-01 16:00:33,2023-05-01 10:00:33-06:00,Iridium,46.70929,-113.91345,1403,3.2,3D Validated,Mortality No Radius,7,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 13:00:13,2023-05-01 07:00:13-06:00,2023-05-01 16:00:33,2023-05-01 10:00:33-06:00,Iridium,46.70918,-113.91361,1379,4.2,3D Validated,Mortality No Radius,4,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 12:00:38,2023-05-01 06:00:38-06:00,2023-05-01 12:00:59,2023-05-01 06:00:59-06:00,Iridium,46.708965,-113.912476,1530,9.4,3D Validated,Mortality No Radius,4,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 11:00:37,2023-05-01 05:00:37-06:00,2023-05-01 12:00:59,2023-05-01 06:00:59-06:00,Iridium,46.709145,-113.9135,1388,3.4,3D Validated,Mortality No Radius,5,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 10:01:06,2023-05-01 04:01:06-06:00,2023-05-01 12:00:59,2023-05-01 06:00:59-06:00,Iridium,46.70914,-113.91363,1413,4.4,3D Validated,Mortality No Radius,5,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 09:00:49,2023-05-01 03:00:49-06:00,2023-05-01 12:00:59,2023-05-01 06:00:59-06:00,Iridium,46.70908,-113.91344,1403,4.2,3D Validated,Mortality No Radius,6,3.2,3.6,Animal with Collar 40905
40905,2023-05-01 08:01:08,2023-05-01 02:01:08-06:00,2023-05-01 12:01:06,2023-05-01 06:01:06-06:00,Iridium,46.70914,-113.91348,1355,4,3D Validated,Mortality No Radius,7,3.2,3.6,Animal with Collar 40905
40905,2023-05-01 07:00:23,2023-05-01 01:00:23-06:00,2023-05-01 12:01:06,2023-05-01 06:01:06-06:00,Iridium,46.708984,-113.913536,1397,3.2,3D Validated,Mortality No Radius,8,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 06:00:36,2023-05-01 00:00:36-06:00,2023-05-01 12:01:06,2023-05-01 06:01:06-06:00,Iridium,46.709118,-113.913536,1397,5,3D Validated,Mortality No Radius,8,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 05:00:38,2023-04-30 23:00:38-06:00,2023-05-01 12:01:06,2023-05-01 06:01:06-06:00,Iridium,46.709045,-113.913635,1393,2.6,3D Validated,Mortality No Radius,8,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 04:00:16,2023-04-30 22:00:16-06:00,2023-05-01 12:01:16,2023-05-01 06:01:16-06:00,Iridium,46.709167,-113.91389,1372,6.2,3D Validated,Mortality No Radius,9,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 03:00:16,2023-04-30 21:00:16-06:00,2023-05-01 12:01:16,2023-05-01 06:01:16-06:00,Iridium,46.709038,-113.91274,1479,5,3D Validated,Mortality No Radius,11,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 02:00:38,2023-04-30 20:00:38-06:00,2023-05-01 12:01:16,2023-05-01 06:01:16-06:00,Iridium,46.709095,-113.91343,1385,3.6,3D Validated,Mortality No Radius,14,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 01:00:15,2023-04-30 19:00:15-06:00,2023-05-01 12:01:16,2023-05-01 06:01:16-06:00,Iridium,46.709023,-113.913414,1417,3.6,3D Validated,Mortality No Radius,18,3.28,3.6,Animal with Collar 40905
40905,2023-05-01 00:06:16,2023-04-30 18:06:16-06:00,2023-05-01 00:07:11,2023-04-30 18:07:11-06:00,Iridium,,,,0,No Fix,Mortality No Radius,23,3.28,3.6,Animal with Collar 40905
40905,2023-04-30 23:34:51,2023-04-30 17:34:51-06:00,2023-05-01 00:07:11,2023-04-30 18:07:11-06:00,Iridium,46.709064,-113.91309,1451,6.6,3D Validated,Mortality No Radius,28,3.36,3.6,Animal with Collar 40905
40905,2023-04-30 23:05:11,2023-04-30 17:05:11-06:00,2023-05-01 00:07:11,2023-04-30 18:07:11-06:00,Iridium,46.70903,-113.91341,1405,3.4,3D Validated,Mortality No Radius,38,3.36,3.6,Animal with Collar 40905
