Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40893,2024-12-09 06:01:51,2024-12-08 23:01:51-07:00,2024-12-09 09:02:29,2024-12-09 02:02:29-07:00,Iridium,46.75219,-113.93466,1324,2.8,3D Valid,Nothing Detected,20,3.36,3.68,Animal with Collar 40893
40893,2024-12-09 05:01:00,2024-12-08 22:01:00-07:00,2024-12-09 09:02:37,2024-12-09 02:02:37-07:00,Iridium,46.75268,-113.93445,1320,8.6,3D,Nothing Detected,19,3.36,3.68,Animal with Collar 40893
40893,2024-12-09 04:03:00,2024-12-08 21:03:00-07:00,2024-12-09 09:02:37,2024-12-09 02:02:37-07:00,Iridium,46.75261,-113.93424,1330,10.6,3D,Nothing Detected,17,3.36,3.68,Animal with Collar 40893
40893,2024-12-09 03:02:56,2024-12-08 20:02:56-07:00,2024-12-09 09:02:37,2024-12-09 02:02:37-07:00,Iridium,46.75299,-113.93565,1531,4.4,3D,Nothing Detected,17,3.36,3.68,Animal with Collar 40893
40893,2024-12-08 21:01:18,2024-12-08 14:01:18-07:00,2024-12-09 09:03:01,2024-12-09 02:03:01-07:00,Iridium,46.75201,-113.93472,1475,2.8,3D Valid,Nothing Detected,17,3.36,3.68,Animal with Collar 40893
40893,2024-12-08 20:00:46,2024-12-08 13:00:46-07:00,2024-12-09 09:03:01,2024-12-09 02:03:01-07:00,Iridium,46.75228,-113.93359,1416,9.2,3D Valid,Nothing Detected,20,3.36,3.68,Animal with Collar 40893
40893,2024-12-08 19:01:51,2024-12-08 12:01:51-07:00,2024-12-09 09:03:01,2024-12-09 02:03:01-07:00,Iridium,46.75193,-113.93455,1294,3,3D Valid,Nothing Detected,24,3.36,3.68,Animal with Collar 40893
40893,2024-12-08 18:01:25,2024-12-08 11:01:25-07:00,2024-12-09 09:03:01,2024-12-09 02:03:01-07:00,Iridium,46.75254,-113.93464,1400,3.6,3D Valid,Nothing Detected,24,3.36,3.68,Animal with Collar 40893
40893,2024-12-08 17:03:00,2024-12-08 10:03:00-07:00,2024-12-09 09:03:07,2024-12-09 02:03:07-07:00,Iridium,46.75274,-113.93488,1234,12.6,3D,Nothing Detected,22,3.36,3.68,Animal with Collar 40893
40893,2024-12-08 15:01:30,2024-12-08 08:01:30-07:00,2024-12-09 09:03:07,2024-12-09 02:03:07-07:00,Iridium,46.75256,-113.93549,1486,4.2,3D Valid,Nothing Detected,19,3.36,3.68,Animal with Collar 40893
40893,2024-12-08 14:02:55,2024-12-08 07:02:55-07:00,2024-12-09 09:03:07,2024-12-09 02:03:07-07:00,Iridium,46.75285,-113.93543,1345,6.4,3D,Nothing Detected,17,3.36,3.68,Animal with Collar 40893
