Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40904,2021-10-26 6:00:40,2021-10-26 0:00:40,2021-10-26 6:01:06,2021-10-26 00:01:06-06:00,Iridium,46.7513,-113.93387,1390,3.2,3D Validated,Nothing Detected,11,3.36,3.68,Animal with Collar 40904
40904,2021-10-26 5:00:47,2021-10-25 23:00:47,2021-10-26 6:01:06,2021-10-26 00:01:06-06:00,Iridium,46.75131,-113.93386,1378,3,3D Validated,Nothing Detected,10,3.36,3.68,Animal with Collar 40904
40904,2021-10-26 4:00:38,2021-10-25 22:00:38,2021-10-26 6:01:06,2021-10-26 00:01:06-06:00,Iridium,46.75116,-113.9339,1388,5.2,3D Validated,Nothing Detected,11,3.44,3.68,Animal with Collar 40904
40904,2021-10-26 3:01:08,2021-10-25 21:01:08,2021-10-26 6:01:06,2021-10-26 00:01:06-06:00,Iridium,46.75118,-113.9339,1367,3,3D Validated,Nothing Detected,12,3.36,3.68,Animal with Collar 40904
40904,2021-10-26 2:00:57,2021-10-25 20:00:57,2021-10-26 6:01:15,2021-10-26 00:01:15-06:00,Iridium,46.75121,-113.93396,1372,2.8,3D Validated,Nothing Detected,14,3.28,3.68,Animal with Collar 40904
40904,2021-10-26 0:00:56,2021-10-25 18:00:56,2021-10-26 6:01:15,2021-10-26 00:01:15-06:00,Iridium,46.75125,-113.9339,1398,3.2,3D Validated,Nothing Detected,16,3.36,3.6,Animal with Collar 40904
40904,2021-10-25 23:00:16,2021-10-25 17:00:16,2021-10-26 6:01:15,2021-10-26 00:01:15-06:00,Iridium,46.75106,-113.93442,1396,2.6,3D Validated,Nothing Detected,17,3.28,3.68,Animal with Collar 40904
40904,2021-10-25 22:00:38,2021-10-25 16:00:38,2021-10-26 6:01:22,2021-10-26 00:01:22-06:00,Iridium,46.75122,-113.93443,1390,2.2,3D Validated,Nothing Detected,18,3.28,3.6,Animal with Collar 40904
40904,2021-10-25 21:00:09,2021-10-25 15:00:09,2021-10-26 6:01:22,2021-10-26 00:01:22-06:00,Iridium,46.75113,-113.93447,1391,3,3D Validated,Nothing Detected,17,3.28,3.6,Animal with Collar 40904
40904,2021-10-25 20:01:08,2021-10-25 14:01:08,2021-10-26 6:01:22,2021-10-26 00:01:22-06:00,Iridium,46.75111,-113.93437,1377,4,3D Validated,Nothing Detected,16,3.28,3.6,Animal with Collar 40904
40904,2021-10-25 19:00:38,2021-10-25 13:00:38,2021-10-26 6:01:22,2021-10-26 00:01:22-06:00,Iridium,46.75015,-113.93624,1392,3,3D Validated,Nothing Detected,15,3.36,3.68,Animal with Collar 40904
40904,2021-10-25 18:00:07,2021-10-25 12:00:07,2021-10-26 6:01:31,2021-10-26 00:01:31-06:00,Iridium,46.75021,-113.9363,1385,2.6,3D Validated,Nothing Detected,13,3.36,3.68,Animal with Collar 40904
40904,2021-10-25 17:00:38,2021-10-25 11:00:38,2021-10-26 6:01:31,2021-10-26 00:01:31-06:00,Iridium,46.74916,-113.93362,1410,3.2,3D Validated,Nothing Detected,13,3.36,3.68,Animal with Collar 40904
40904,2021-10-25 16:02:08,2021-10-25 10:02:08,2021-10-26 6:01:31,2021-10-26 00:01:31-06:00,Iridium,46.74925,-113.93358,1415,5,3D Validated,Nothing Detected,13,3.28,3.68,Animal with Collar 40904
40904,2021-10-25 15:00:21,2021-10-25 9:00:21,2021-10-26 6:01:31,2021-10-26 00:01:31-06:00,Iridium,46.74894,-113.93341,1463,3.2,3D Validated,Nothing Detected,15,3.36,3.68,Animal with Collar 40904
40904,2021-10-25 14:01:38,2021-10-25 8:01:38,2021-10-26 6:01:40,2021-10-26 00:01:40-06:00,Iridium,46.74926,-113.93357,1397,3.8,3D Validated,Nothing Detected,14,3.36,3.68,Animal with Collar 40904
40904,2021-10-23 9:00:36,2021-10-23 3:00:36,2021-10-26 6:01:40,2021-10-26 00:01:40-06:00,Iridium,46.74173,-113.91612,1319,5.4,3D Validated,Nothing Detected,10,3.36,3.68,Animal with Collar 40904
40904,2021-10-23 8:02:58,2021-10-23 2:02:58,2021-10-26 6:01:40,2021-10-26 00:01:40-06:00,Iridium,46.74168,-113.91615,1325,3.8,3D Validated,Nothing Detected,11,3.36,3.68,Animal with Collar 40904
40904,2021-10-23 7:00:12,2021-10-23 1:00:12,2021-10-26 6:01:40,2021-10-26 00:01:40-06:00,Iridium,46.74176,-113.91611,1338,3.6,3D Validated,Nothing Detected,12,3.2,3.68,Animal with Collar 40904
40904,2021-10-23 6:01:32,2021-10-23 0:01:32,2021-10-26 6:01:48,2021-10-26 00:01:48-06:00,Iridium,46.74175,-113.91608,1335,3.6,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40904
40904,2021-10-23 5:01:10,2021-10-22 23:01:10,2021-10-26 6:01:48,2021-10-26 00:01:48-06:00,Iridium,46.74158,-113.91643,1415,4.2,3D Validated,Nothing Detected,14,3.28,3.6,Animal with Collar 40904
40904,2021-10-23 4:00:38,2021-10-22 22:00:38,2021-10-26 6:01:48,2021-10-26 00:01:48-06:00,Iridium,46.74509,-113.91821,1507,3.2,3D Validated,Nothing Detected,15,3.28,3.6,Animal with Collar 40904
40904,2021-10-23 3:00:11,2021-10-22 21:00:11,2021-10-26 6:01:48,2021-10-26 00:01:48-06:00,Iridium,46.74821,-113.91979,1590,3.6,3D Validated,Nothing Detected,19,3.36,3.68,Animal with Collar 40904
40904,2021-10-23 2:01:02,2021-10-22 20:01:02,2021-10-26 6:01:57,2021-10-26 00:01:57-06:00,Iridium,46.74813,-113.92087,1576,4.4,3D Validated,Nothing Detected,21,3.36,3.6,Animal with Collar 40904
40904,2021-10-23 1:00:39,2021-10-22 19:00:39,2021-10-26 6:01:57,2021-10-26 00:01:57-06:00,Iridium,46.746,-113.9255,1464,3.8,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40904
40904,2021-10-23 0:01:02,2021-10-22 18:01:02,2021-10-26 6:01:57,2021-10-26 00:01:57-06:00,Iridium,46.7463,-113.9257,1468,3.8,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40904
40904,2021-10-20 17:00:12,2021-10-20 11:00:12,2021-10-26 6:01:57,2021-10-26 00:01:57-06:00,Iridium,46.75753,-113.9386,1276,3.4,3D Validated,Nothing Detected,19,3.44,3.68,Animal with Collar 40904
40904,2021-10-20 16:00:37,2021-10-20 10:00:37,2021-10-26 6:02:06,2021-10-26 00:02:06-06:00,Iridium,46.7576,-113.93861,1288,4.4,3D Validated,Nothing Detected,19,3.36,3.68,Animal with Collar 40904
40904,2021-10-20 15:00:12,2021-10-20 9:00:12,2021-10-26 6:02:06,2021-10-26 00:02:06-06:00,Iridium,46.75754,-113.93865,1292,2.2,3D Validated,Nothing Detected,15,3.36,3.68,Animal with Collar 40904
40904,2021-10-20 14:01:30,2021-10-20 8:01:30,2021-10-26 6:02:06,2021-10-26 00:02:06-06:00,Iridium,46.75592,-113.94054,1239,3.6,3D Validated,Nothing Detected,15,3.36,3.68,Animal with Collar 40904
40904,2021-10-20 13:00:38,2021-10-20 7:00:38,2021-10-26 6:02:06,2021-10-26 00:02:06-06:00,Iridium,46.75591,-113.94061,1250,3.2,3D Validated,Nothing Detected,14,3.36,3.68,Animal with Collar 40904
40904,2021-10-20 12:00:10,2021-10-20 6:00:10,2021-10-26 6:02:14,2021-10-26 00:02:14-06:00,Iridium,46.75596,-113.94059,1252,7,3D Validated,Nothing Detected,13,3.36,3.68,Animal with Collar 40904
40904,2021-10-20 11:00:36,2021-10-20 5:00:36,2021-10-26 6:02:14,2021-10-26 00:02:14-06:00,Iridium,46.75596,-113.94061,1240,3,3D Validated,Nothing Detected,14,3.36,3.6,Animal with Collar 40904
40904,2021-10-20 10:01:08,2021-10-20 4:01:08,2021-10-26 6:02:14,2021-10-26 00:02:14-06:00,Iridium,46.75964,-113.94115,1182,3,3D Validated,Nothing Detected,12,3.28,3.6,Animal with Collar 40904
40904,2021-10-20 9:03:02,2021-10-20 3:03:02,2021-10-26 6:02:14,2021-10-26 00:02:14-06:00,Iridium,46.74987,-113.94149,1206,7.2,3D Validated,Nothing Detected,12,3.28,3.6,Animal with Collar 40904
40904,2021-09-17 9:00:45,2021-09-17 3:00:45,2021-09-17 9:02:47,2021-09-17 03:02:47-06:00,Iridium,46.76567,-113.93163,1254,3.8,3D Validated,Nothing Detected,17,3.2,3.44,Animal with Collar 40904
40904,2021-09-17 8:01:00,2021-09-17 2:01:00,2021-09-17 9:02:47,2021-09-17 03:02:47-06:00,Iridium,46.76538,-113.93153,1246,4.8,3D Validated,Nothing Detected,20,3.2,3.44,Animal with Collar 40904
40904,2021-09-17 1:01:56,2021-09-16 19:01:56,2021-09-17 1:02:30,2021-09-16 19:02:30-06:00,Iridium,46.76546,-113.93155,1257,3.2,3D Validated,Nothing Detected,21,3.36,3.44,Animal with Collar 40904
40904,2021-09-17 0:00:18,2021-09-16 18:00:18,2021-09-17 1:02:30,2021-09-16 19:02:30-06:00,Iridium,46.76522,-113.93137,1268,6.6,3D Validated,Nothing Detected,21,3.36,3.44,Animal with Collar 40904
40904,2021-09-16 23:00:40,2021-09-16 17:00:40,2021-09-17 1:02:30,2021-09-16 19:02:30-06:00,Iridium,46.76544,-113.93155,1270,8.4,3D Validated,Nothing Detected,23,3.36,3.44,Animal with Collar 40904
40904,2021-09-16 21:00:14,2021-09-16 15:00:14,2021-09-17 1:02:47,2021-09-16 19:02:47-06:00,Iridium,46.76565,-113.93166,1273,2.8,3D Validated,Nothing Detected,22,3.28,3.44,Animal with Collar 40904
40904,2021-09-16 20:00:38,2021-09-16 14:00:38,2021-09-17 1:02:47,2021-09-16 19:02:47-06:00,Iridium,46.76541,-113.93154,1248,2.8,3D Validated,Nothing Detected,22,3.12,3.44,Animal with Collar 40904
40904,2021-09-16 19:00:40,2021-09-16 13:00:40,2021-09-17 1:02:47,2021-09-16 19:02:47-06:00,Iridium,46.76541,-113.93156,1249,3.6,3D Validated,Nothing Detected,22,3.36,3.44,Animal with Collar 40904
40904,2021-09-16 18:00:31,2021-09-16 12:00:31,2021-09-16 18:01:00,2021-09-16 12:01:00-06:00,Iridium,46.76417,-113.93413,1334,2.8,3D Validated,Nothing Detected,21,3.28,3.44,Animal with Collar 40904
