Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40888,2024-05-23 05:49:02,2024-05-22 23:49:02-06:00,2024-05-23 06:19:23,2024-05-23 00:19:23-06:00,Iridium,46.68707,-113.95802,1467,8.8,3D Valid,Mortality,0,3.28,3.6,Animal with Collar 40888
40888,2024-05-23 05:18:32,2024-05-22 23:18:32-06:00,2024-05-23 06:19:23,2024-05-23 00:19:23-06:00,Iridium,46.68686,-113.95785,1484,3,3D Valid,Mortality,0,3.28,3.6,Animal with Collar 40888
40888,2024-05-23 04:48:33,2024-05-22 22:48:33-06:00,2024-05-23 04:49:43,2024-05-22 22:49:43-06:00,Iridium,46.68693,-113.95793,1487,2.8,3D Valid,Mortality,0,3.28,3.6,Animal with Collar 40888
40888,2024-05-23 04:00:40,2024-05-22 22:00:40-06:00,2024-05-23 04:49:43,2024-05-22 22:49:43-06:00,Iridium,46.68693,-113.95794,1479,3.4,3D Valid,Nothing Detected,0,3.28,3.6,Animal with Collar 40888
40888,2024-05-23 03:00:30,2024-05-22 21:00:30-06:00,2024-05-23 04:49:43,2024-05-22 22:49:43-06:00,Iridium,46.68730,-113.95795,1462,8,3D Valid,Nothing Detected,0,3.36,3.6,Animal with Collar 40888
40888,2024-05-23 02:00:38,2024-05-22 20:00:38-06:00,2024-05-23 04:49:43,2024-05-22 22:49:43-06:00,Iridium,46.68699,-113.95798,1478,1.8,3D Valid,Nothing Detected,0,3.36,3.6,Animal with Collar 40888
40888,2024-05-23 01:00:09,2024-05-22 19:00:09-06:00,2024-05-23 06:19:23,2024-05-23 00:19:23-06:00,Iridium,46.68703,-113.95795,1488,3.8,3D Valid,Nothing Detected,0,3.36,3.6,Animal with Collar 40888
40888,2024-05-23 00:01:08,2024-05-22 18:01:08-06:00,2024-05-23 06:19:46,2024-05-23 00:19:46-06:00,Iridium,46.68704,-113.95801,1475,3,3D Valid,Nothing Detected,3,3.28,3.6,Animal with Collar 40888
40888,2024-05-22 23:00:09,2024-05-22 17:00:09-06:00,2024-05-23 06:19:46,2024-05-23 00:19:46-06:00,Iridium,46.68707,-113.95800,1489,1.8,3D Valid,Nothing Detected,7,3.36,3.68,Animal with Collar 40888
40888,2024-05-22 22:00:09,2024-05-22 16:00:09-06:00,2024-05-23 06:19:46,2024-05-23 00:19:46-06:00,Iridium,46.68698,-113.95785,1501,2.6,3D Valid,Nothing Detected,13,3.36,3.68,Animal with Collar 40888
40888,2024-05-22 21:00:38,2024-05-22 15:00:38-06:00,2024-05-23 06:19:46,2024-05-23 00:19:46-06:00,Iridium,46.68699,-113.95794,1486,1.6,3D Valid,Nothing Detected,16,3.36,3.68,Animal with Collar 40888
40888,2024-05-22 20:00:11,2024-05-22 14:00:11-06:00,2024-05-23 07:19:15,2024-05-23 01:19:15-06:00,Iridium,46.68706,-113.95797,1479,3.2,3D Valid,Nothing Detected,13,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 19:00:40,2024-05-22 13:00:40-06:00,2024-05-23 07:19:15,2024-05-23 01:19:15-06:00,Iridium,46.68700,-113.95790,1497,2,3D Valid,Nothing Detected,12,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 18:00:12,2024-05-22 12:00:12-06:00,2024-05-23 09:49:05,2024-05-23 03:49:05-06:00,Iridium,46.68694,-113.95795,1486,4,3D Valid,Nothing Detected,11,3.36,3.68,Animal with Collar 40888
40888,2024-05-22 17:00:11,2024-05-22 11:00:11-06:00,2024-05-23 09:49:05,2024-05-23 03:49:05-06:00,Iridium,46.68702,-113.95795,1492,2.6,3D Valid,Nothing Detected,7,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 16:00:39,2024-05-22 10:00:39-06:00,2024-05-23 09:49:05,2024-05-23 03:49:05-06:00,Iridium,46.68701,-113.95798,1484,2,3D Valid,Nothing Detected,6,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 15:00:17,2024-05-22 09:00:17-06:00,2024-05-23 09:49:16,2024-05-23 03:49:16-06:00,Iridium,46.68702,-113.95781,1472,5.6,3D Valid,Nothing Detected,5,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 14:00:11,2024-05-22 08:00:11-06:00,2024-05-23 09:49:16,2024-05-23 03:49:16-06:00,Iridium,46.68693,-113.95789,1492,2,3D Valid,Nothing Detected,4,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 13:00:38,2024-05-22 07:00:38-06:00,2024-05-23 09:49:16,2024-05-23 03:49:16-06:00,Iridium,46.68695,-113.95792,1486,2,3D Valid,Nothing Detected,5,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 12:00:13,2024-05-22 06:00:13-06:00,2024-05-22 12:00:38,2024-05-22 06:00:38-06:00,Iridium,46.68704,-113.95771,1514,3.8,3D Valid,Nothing Detected,5,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 11:00:56,2024-05-22 05:00:56-06:00,2024-05-22 12:00:38,2024-05-22 06:00:38-06:00,Iridium,46.68693,-113.95797,1479,2.4,3D Valid,Nothing Detected,5,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 10:00:10,2024-05-22 04:00:10-06:00,2024-05-22 12:00:38,2024-05-22 06:00:38-06:00,Iridium,46.68699,-113.95804,1462,4,3D Valid,Nothing Detected,5,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 09:00:40,2024-05-22 03:00:40-06:00,2024-05-22 12:00:38,2024-05-22 06:00:38-06:00,Iridium,46.68699,-113.95798,1484,3.4,3D Valid,Nothing Detected,5,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 08:00:12,2024-05-22 02:00:12-06:00,2024-05-22 12:00:51,2024-05-22 06:00:51-06:00,Iridium,46.68698,-113.95797,1485,2.4,3D Valid,Nothing Detected,6,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 07:00:38,2024-05-22 01:00:38-06:00,2024-05-22 12:00:51,2024-05-22 06:00:51-06:00,Iridium,46.68693,-113.95784,1512,3.2,3D Valid,Nothing Detected,6,3.36,3.68,Animal with Collar 40888
40888,2024-05-22 06:00:38,2024-05-22 00:00:38-06:00,2024-05-22 12:00:51,2024-05-22 06:00:51-06:00,Iridium,46.68693,-113.95796,1489,2.4,3D Valid,Nothing Detected,7,3.36,3.6,Animal with Collar 40888
40888,2024-05-22 05:00:10,2024-05-21 23:00:10-06:00,2024-05-22 12:00:51,2024-05-22 06:00:51-06:00,Iridium,46.68698,-113.95791,1479,2.6,3D Valid,Nothing Detected,13,3.36,3.6,Animal with Collar 40888
