Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40875,2022-06-23 14:00:47,2022-06-23 8:00:47,2022-06-23 14:02:06,2022-06-23 08:02:06-06:00,Iridium,46.67923,-114.20164,2275,3.6,3D Validated,Nothing Detected,24,3.2,3.44,Animal with Collar 40875
40875,2022-06-23 13:00:39,2022-06-23 7:00:39,2022-06-23 14:02:06,2022-06-23 08:02:06-06:00,Iridium,46.67932,-114.20194,2290,3,3D Validated,Nothing Detected,24,3.2,3.52,Animal with Collar 40875
40875,2022-06-23 12:00:36,2022-06-23 6:00:36,2022-06-23 14:02:06,2022-06-23 08:02:06-06:00,Iridium,46.6792,-114.20197,2270,3.6,3D Validated,Nothing Detected,21,3.2,3.52,Animal with Collar 40875
40875,2022-06-23 11:02:06,2022-06-23 5:02:06,2022-06-23 14:02:06,2022-06-23 08:02:06-06:00,Iridium,46.67928,-114.20191,2271,4,3D Validated,Nothing Detected,19,3.2,3.52,Animal with Collar 40875
40875,2022-06-23 10:00:13,2022-06-23 4:00:13,2022-06-23 10:00:36,2022-06-23 04:00:36-06:00,Iridium,46.67923,-114.20195,2277,2.2,3D Validated,Nothing Detected,23,3.2,3.52,Animal with Collar 40875
40875,2022-06-23 9:00:39,2022-06-23 3:00:39,2022-06-23 10:00:36,2022-06-23 04:00:36-06:00,Iridium,46.67918,-114.20188,2267,4.4,3D Validated,Nothing Detected,23,3.2,3.6,Animal with Collar 40875
40875,2022-06-23 7:00:08,2022-06-23 1:00:08,2022-06-23 10:00:36,2022-06-23 04:00:36-06:00,Iridium,46.67936,-114.20197,2267,2.4,3D Validated,Nothing Detected,22,3.2,3.44,Animal with Collar 40875
40875,2022-06-23 6:01:36,2022-06-23 0:01:36,2022-06-23 6:02:08,2022-06-23 00:02:08-06:00,Iridium,46.67937,-114.20208,2261,3.6,3D Validated,Nothing Detected,21,3.12,3.44,Animal with Collar 40875
40875,2022-06-23 5:01:08,2022-06-22 23:01:08,2022-06-23 6:02:08,2022-06-23 00:02:08-06:00,Iridium,46.66893,-114.21167,2413,7,3D Validated,Nothing Detected,23,3.2,3.52,Animal with Collar 40875
40875,2022-06-23 4:00:13,2022-06-22 22:00:13,2022-06-23 6:02:08,2022-06-23 00:02:08-06:00,Iridium,46.66475,-114.22038,2188,5.8,3D Validated,Nothing Detected,24,3.2,3.52,Animal with Collar 40875
40875,2022-06-23 3:01:38,2022-06-22 21:01:38,2022-06-23 6:02:08,2022-06-23 00:02:08-06:00,Iridium,46.66477,-114.22041,2192,4,3D Validated,Nothing Detected,24,3.2,3.52,Animal with Collar 40875
40875,2022-06-23 1:00:10,2022-06-22 19:00:10,2022-06-23 6:02:27,2022-06-23 00:02:27-06:00,Iridium,46.66085,-114.20596,2015,4.2,3D Validated,Nothing Detected,26,3.2,3.52,Animal with Collar 40875
40875,2022-06-23 0:00:38,2022-06-22 18:00:38,2022-06-23 6:02:27,2022-06-23 00:02:27-06:00,Iridium,46.66114,-114.20541,2015,7.6,3D Validated,Nothing Detected,28,3.2,3.52,Animal with Collar 40875
40875,2022-06-22 23:00:40,2022-06-22 17:00:40,2022-06-23 6:02:27,2022-06-23 00:02:27-06:00,Iridium,46.66137,-114.20536,2026,2.6,3D Validated,Nothing Detected,26,3.2,3.52,Animal with Collar 40875
40875,2022-06-22 22:01:08,2022-06-22 16:01:08,2022-06-22 22:01:59,2022-06-22 16:01:59-06:00,Iridium,46.6613,-114.20555,2028,2.6,3D Validated,Nothing Detected,28,3.2,3.52,Animal with Collar 40875
40875,2022-06-22 20:00:26,2022-06-22 14:00:26,2022-06-22 22:01:59,2022-06-22 16:01:59-06:00,Iridium,46.66137,-114.2054,2032,4,3D Validated,Nothing Detected,29,3.2,3.52,Animal with Collar 40875
40875,2022-06-22 19:00:10,2022-06-22 13:00:10,2022-06-22 22:01:59,2022-06-22 16:01:59-06:00,Iridium,46.66273,-114.20715,2114,5.6,3D Validated,Nothing Detected,31,3.2,3.52,Animal with Collar 40875
40875,2022-06-22 18:01:40,2022-06-22 12:01:40,2022-06-23 6:02:38,2022-06-23 00:02:38-06:00,Iridium,46.66295,-114.21117,2064,4.2,3D Validated,Nothing Detected,29,3.2,3.52,Animal with Collar 40875
40875,2022-06-22 17:01:40,2022-06-22 11:01:40,2022-06-23 6:02:38,2022-06-23 00:02:38-06:00,Iridium,46.66175,-114.21038,2049,4.6,3D Validated,Nothing Detected,31,3.2,3.52,Animal with Collar 40875
40875,2022-06-22 16:00:13,2022-06-22 10:00:13,2022-06-23 6:02:38,2022-06-23 00:02:38-06:00,Iridium,46.65735,-114.20382,1843,2.8,3D Validated,Nothing Detected,28,3.2,3.52,Animal with Collar 40875
