Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40909,2024-12-07 04:37:27,2024-12-06 21:37:27-07:00,2024-12-07 04:37:50,2024-12-06 21:37:50-07:00,Iridium,46.71264,-113.99228,1555,3,3D Valid,Nothing Detected,8,3.52,3.6,Animal with Collar 40909
40909,2024-11-15 06:01:38,2024-11-14 23:01:38-07:00,2024-11-15 06:02:16,2024-11-14 23:02:16-07:00,Iridium,46.71260,-113.99225,1565,4.8,3D Valid,Nothing Detected,13,3.44,3.68,Animal with Collar 40909
40909,2024-11-10 12:00:38,2024-11-10 05:00:38-07:00,2024-11-10 12:01:32,2024-11-10 05:01:32-07:00,Iridium,46.71213,-113.99262,1567,2.2,3D Valid,Nothing Detected,19,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 11:00:25,2024-11-10 04:00:25-07:00,2024-11-10 12:01:32,2024-11-10 05:01:32-07:00,Iridium,46.71230,-113.99237,1549,3.2,3D Valid,Nothing Detected,18,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 10:00:39,2024-11-10 03:00:39-07:00,2024-11-10 12:01:32,2024-11-10 05:01:32-07:00,Iridium,46.71214,-113.99249,1558,2.8,3D Valid,Nothing Detected,18,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 09:00:16,2024-11-10 02:00:16-07:00,2024-11-10 12:01:32,2024-11-10 05:01:32-07:00,Iridium,46.71211,-113.99260,1592,2.8,3D Valid,Nothing Detected,18,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 08:00:31,2024-11-10 01:00:31-07:00,2024-11-10 08:01:00,2024-11-10 01:01:00-07:00,Iridium,46.71199,-113.99265,1549,1.8,3D Valid,Nothing Detected,15,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 07:00:11,2024-11-10 00:00:11-07:00,2024-11-10 08:01:00,2024-11-10 01:01:00-07:00,Iridium,46.71217,-113.99247,1596,3.6,3D Valid,Nothing Detected,14,3.44,3.68,Animal with Collar 40909
40909,2024-11-10 06:00:36,2024-11-09 23:00:36-07:00,2024-11-10 08:01:00,2024-11-10 01:01:00-07:00,Iridium,46.71219,-113.99238,1571,1.8,3D Valid,Nothing Detected,15,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 05:00:13,2024-11-09 22:00:13-07:00,2024-11-10 08:01:00,2024-11-10 01:01:00-07:00,Iridium,46.71211,-113.99237,1548,5,3D Valid,Nothing Detected,16,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 04:00:38,2024-11-09 21:00:38-07:00,2024-11-10 08:01:11,2024-11-10 01:01:11-07:00,Iridium,46.71217,-113.99246,1557,2.8,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 03:00:36,2024-11-09 20:00:36-07:00,2024-11-10 08:01:11,2024-11-10 01:01:11-07:00,Iridium,46.71237,-113.99206,1564,2.2,3D Valid,Nothing Detected,19,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 02:00:12,2024-11-09 19:00:12-07:00,2024-11-10 08:01:11,2024-11-10 01:01:11-07:00,Iridium,46.71141,-113.98933,1667,5.4,3D Valid,Nothing Detected,18,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 01:00:13,2024-11-09 18:00:13-07:00,2024-11-10 08:01:11,2024-11-10 01:01:11-07:00,Iridium,46.71538,-113.98737,1680,2.6,3D Valid,Nothing Detected,18,3.44,3.6,Animal with Collar 40909
40909,2024-11-10 00:00:36,2024-11-09 17:00:36-07:00,2024-11-10 08:01:17,2024-11-10 01:01:17-07:00,Iridium,46.71609,-113.98957,1636,2,3D Valid,Nothing Detected,18,3.44,3.6,Animal with Collar 40909
40909,2024-11-09 23:00:12,2024-11-09 16:00:12-07:00,2024-11-10 08:01:17,2024-11-10 01:01:17-07:00,Iridium,46.71523,-113.98954,1630,2.6,3D Valid,Nothing Detected,20,3.44,3.6,Animal with Collar 40909
40909,2024-11-09 22:00:38,2024-11-09 15:00:38-07:00,2024-11-10 08:01:17,2024-11-10 01:01:17-07:00,Iridium,46.71532,-113.98957,1626,2.4,3D Valid,Nothing Detected,21,3.44,3.6,Animal with Collar 40909
40909,2024-11-09 21:00:38,2024-11-09 14:00:38-07:00,2024-11-10 08:01:17,2024-11-10 01:01:17-07:00,Iridium,46.71533,-113.98949,1625,4.8,3D Valid,Nothing Detected,21,3.44,3.6,Animal with Collar 40909
40909,2024-11-09 20:00:12,2024-11-09 13:00:12-07:00,2024-11-09 20:00:38,2024-11-09 13:00:38-07:00,Iridium,46.71532,-113.98949,1629,2.2,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40909
40909,2024-11-09 19:00:11,2024-11-09 12:00:11-07:00,2024-11-09 20:00:38,2024-11-09 13:00:38-07:00,Iridium,46.71526,-113.98972,1635,3.6,3D Valid,Nothing Detected,16,3.44,3.6,Animal with Collar 40909
40909,2024-11-09 18:00:38,2024-11-09 11:00:38-07:00,2024-11-09 20:00:38,2024-11-09 13:00:38-07:00,Iridium,46.71529,-113.98963,1635,2,3D Valid,Nothing Detected,13,3.44,3.6,Animal with Collar 40909
40909,2024-11-09 17:00:11,2024-11-09 10:00:11-07:00,2024-11-09 20:00:38,2024-11-09 13:00:38-07:00,Iridium,46.71529,-113.98968,1651,3.6,3D Valid,Nothing Detected,17,3.44,3.6,Animal with Collar 40909
40909,2024-11-09 16:00:36,2024-11-09 09:00:36-07:00,2024-11-09 16:01:01,2024-11-09 09:01:01-07:00,Iridium,46.71529,-113.98957,1629,2.6,3D Valid,Nothing Detected,16,3.44,3.6,Animal with Collar 40909
40909,2024-11-09 15:00:37,2024-11-09 08:00:37-07:00,2024-11-09 16:01:01,2024-11-09 09:01:01-07:00,Iridium,46.71569,-113.98940,1642,2.2,3D Valid,Nothing Detected,16,3.44,3.6,Animal with Collar 40909
