Location,BearID,Duration_hr
Confirmed Carcass 1,Athena F,103
Confirmed Carcass 1,Ham M,36
Confirmed Carcass 1,SplitEar F,106
Confirmed Carcass 1,ZZ M,20
Confirmed Carcass 2,CocaCola F,13
Confirmed Carcass 2,Dahlia F,40
Confirmed Carcass 2,GreenEggs M,39
Confirmed Carcass 2,Ham M,78
Confirmed Carcass 2,Squirt F,27
Suspected Berry Patch,Athena F,3
Suspected Berry Patch,CocaCola F,24
Suspected Berry Patch,Dahlia F,16
Suspected Berry Patch,Ham M,13
Suspected Berry Patch,SplitEar F,7
Suspected Berry Patch,Squirt F,13
Suspected Carcass 1,Athena F,84
Suspected Carcass 1,Bombshell F,32
Suspected Carcass 1,CocaCola F,143
Suspected Carcass 1,Fanta F,17
Suspected Carcass 1,Trouble M,64
Suspected Carcass 2,Athena F,8
Suspected Carcass 2,BackFloatBear M,3
Suspected Carcass 2,CocaCola F,15
Suspected Carcass 2,Ham M,13
Suspected Carcass 2,Rikki F,14
Suspected Carcass 2,SplitEar F,20
Suspected Carcass 2,ZZ M,7
