Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40882,2021-12-14 2:01:40,2021-12-13 20:01:40,2022-04-15 11:03:38,2022-04-15 05:03:38-06:00,Iridium,46.77243,-113.99162,1391,6.6,3D Validated,Nothing Detected,19,3.28,3.6,Animal with Collar 40882
40882,2021-12-13 20:00:11,2021-12-13 14:00:11,2022-04-15 11:03:57,2022-04-15 05:03:57-06:00,Iridium,46.77227,-113.9937,1456,3,3D Validated,Nothing Detected,12,3.28,3.6,Animal with Collar 40882
40882,2021-12-13 19:00:40,2021-12-13 13:00:40,2022-04-15 11:03:57,2022-04-15 05:03:57-06:00,Iridium,46.77222,-113.99371,1448,2.8,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40882
40882,2021-12-13 18:00:40,2021-12-13 12:00:40,2022-04-15 11:03:57,2022-04-15 05:03:57-06:00,Iridium,46.7722,-113.99377,1445,2.2,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40882
40882,2021-12-13 17:00:13,2021-12-13 11:00:13,2022-04-15 11:03:57,2022-04-15 05:03:57-06:00,Iridium,46.77221,-113.99366,1438,4.4,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40882
40882,2021-12-13 16:00:38,2021-12-13 10:00:38,2021-12-13 16:01:01,2021-12-13 09:01:01-07:00,Iridium,46.77222,-113.99365,1434,2.2,3D Validated,Nothing Detected,10,3.28,3.6,Animal with Collar 40882
40882,2021-12-13 15:02:02,2021-12-13 9:02:02,2021-12-13 16:01:01,2021-12-13 09:01:01-07:00,Iridium,46.7722,-113.99375,1441,3.8,3D Validated,Nothing Detected,12,3.28,3.6,Animal with Collar 40882
40882,2021-12-13 14:00:38,2021-12-13 8:00:38,2021-12-13 16:01:01,2021-12-13 09:01:01-07:00,Iridium,46.77222,-113.9937,1443,1.8,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40882
40882,2021-12-13 13:00:40,2021-12-13 7:00:40,2021-12-13 16:01:01,2021-12-13 09:01:01-07:00,Iridium,46.77214,-113.99372,1435,3.6,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40882
40882,2021-12-13 12:00:15,2021-12-13 6:00:15,2021-12-13 12:01:11,2021-12-13 05:01:11-07:00,Iridium,46.77213,-113.99367,1444,5,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40882
40882,2021-12-13 11:00:40,2021-12-13 5:00:40,2021-12-13 12:01:11,2021-12-13 05:01:11-07:00,Iridium,46.77221,-113.99369,1436,2.4,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40882
40882,2021-12-13 10:00:10,2021-12-13 4:00:10,2021-12-13 12:01:11,2021-12-13 05:01:11-07:00,Iridium,46.77217,-113.99372,1439,3.2,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40882
