Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40882,2022-08-05 5:00:38,2022-08-04 23:00:38,2022-08-05 13:00:45,2022-08-05 07:00:45-06:00,Iridium,46.7632,-113.99174,1619,2.4,3D Validated,Mortality No Radius,16,3.28,3.6,Animal with Collar 40882
40882,2022-08-05 4:00:14,2022-08-04 22:00:14,2022-08-05 13:00:45,2022-08-05 07:00:45-06:00,Iridium,46.763,-113.99178,1607,3,3D Validated,Mortality No Radius,18,3.28,3.6,Animal with Collar 40882
40882,2022-08-05 3:00:40,2022-08-04 21:00:40,2022-08-05 13:00:45,2022-08-05 07:00:45-06:00,Iridium,46.76315,-113.99176,1617,2.6,3D Validated,Mortality No Radius,20,3.28,3.6,Animal with Collar 40882
40882,2022-08-05 2:00:10,2022-08-04 20:00:10,2022-08-05 13:00:45,2022-08-05 07:00:45-06:00,Iridium,46.7632,-113.99188,1606,2.8,3D Validated,Mortality No Radius,23,3.28,3.6,Animal with Collar 40882
40882,2022-08-05 1:00:38,2022-08-04 19:00:38,2022-08-05 1:01:51,2022-08-04 19:01:51-06:00,Iridium,46.76315,-113.99183,1614,2.2,3D Validated,Mortality No Radius,26,3.28,3.6,Animal with Collar 40882
40882,2022-08-05 0:00:38,2022-08-04 18:00:38,2022-08-05 1:01:51,2022-08-04 19:01:51-06:00,Iridium,46.76312,-113.99181,1606,5.4,3D Validated,Mortality No Radius,27,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 23:00:39,2022-08-04 17:00:39,2022-08-05 1:01:51,2022-08-04 19:01:51-06:00,Iridium,46.76313,-113.99178,1619,3.6,3D Validated,Mortality No Radius,28,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 22:00:09,2022-08-04 16:00:09,2022-08-05 1:01:51,2022-08-04 19:01:51-06:00,Iridium,46.76313,-113.99179,1607,2.2,3D Validated,Mortality No Radius,27,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 20:45:04,2022-08-04 14:45:04,2022-08-05 1:02:03,2022-08-04 19:02:03-06:00,Iridium,46.76314,-113.99176,1609,2,3D Validated,Mortality No Radius,26,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 20:14:45,2022-08-04 14:14:45,2022-08-05 1:02:03,2022-08-04 19:02:03-06:00,Iridium,46.76303,-113.99176,1602,1.8,3D Validated,Mortality No Radius,28,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 19:44:43,2022-08-04 13:44:43,2022-08-05 1:02:03,2022-08-04 19:02:03-06:00,Iridium,46.76308,-113.99169,1612,1.8,3D Validated,Mortality No Radius,29,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 19:15:08,2022-08-04 13:15:08,2022-08-04 19:15:25,2022-08-04 13:15:25-06:00,Iridium,46.76311,-113.9918,1618,2.2,3D Validated,Mortality No Radius,27,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 18:44:46,2022-08-04 12:44:46,2022-08-04 18:45:08,2022-08-04 12:45:08-06:00,Iridium,46.76323,-113.99178,1628,2.4,3D Validated,Mortality No Radius,27,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 18:15:09,2022-08-04 12:15:09,2022-08-04 18:16:24,2022-08-04 12:16:24-06:00,Iridium,46.76318,-113.99178,1624,3.6,3D Validated,Mortality No Radius,26,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 17:44:49,2022-08-04 11:44:49,2022-08-04 17:45:43,2022-08-04 11:45:43-06:00,Iridium,46.7631,-113.99146,1628,4.8,3D Validated,Mortality No Radius,25,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 17:14:42,2022-08-04 11:14:42,2022-08-04 17:45:43,2022-08-04 11:45:43-06:00,Iridium,46.76309,-113.99172,1612,7.8,3D Validated,Mortality No Radius,26,3.28,3.6,Animal with Collar 40882
40882,2022-08-04 16:44:42,2022-08-04 10:44:42,2022-08-04 16:45:02,2022-08-04 10:45:02-06:00,Iridium,46.76317,-113.99187,1606,5.2,3D Validated,Mortality No Radius,30,3.28,3.6,Animal with Collar 40882
