Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40922,11/4/2022 0:00,11/3/2022 18:00,11/4/2022 0:00,2022-11-03 18:00:58-06:00,Iridium,46.70789,-113.89304,1459,2.4,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 23:00,11/3/2022 17:00,11/4/2022 0:00,2022-11-03 18:00:58-06:00,Iridium,46.70783,-113.89304,1466,4,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 22:00,11/3/2022 16:00,11/4/2022 0:00,2022-11-03 18:00:58-06:00,Iridium,46.7079,-113.89309,1461,2,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 21:00,11/3/2022 15:00,11/4/2022 0:00,2022-11-03 18:00:58-06:00,Iridium,46.70796,-113.89299,1457,3.4,3D Validated,Nothing Detected,12,3.28,3.6,Animal with Collar 40922
40922,11/3/2022 20:00,11/3/2022 14:00,11/3/2022 20:01,2022-11-03 14:01:05-06:00,Iridium,46.70802,-113.89322,1449,1.8,3D Validated,Nothing Detected,11,3.28,3.6,Animal with Collar 40922
40922,11/3/2022 19:00,11/3/2022 13:00,11/3/2022 20:01,2022-11-03 14:01:05-06:00,Iridium,46.71569,-113.89549,1401,3.4,3D Validated,Nothing Detected,12,3.28,3.6,Animal with Collar 40922
40922,11/3/2022 18:01,11/3/2022 12:01,11/3/2022 20:01,2022-11-03 14:01:05-06:00,Iridium,46.7136,-113.88945,1430,5.4,3D Validated,Nothing Detected,7,3.28,3.6,Animal with Collar 40922
40922,11/3/2022 17:00,11/3/2022 11:00,11/3/2022 20:01,2022-11-03 14:01:05-06:00,Iridium,46.72154,-113.88615,1563,4,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 16:00,11/3/2022 10:00,11/3/2022 16:01,2022-11-03 10:01:01-06:00,Iridium,46.72262,-113.88776,1496,2.6,3D Validated,Nothing Detected,6,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 15:01,11/3/2022 9:01,11/3/2022 16:01,2022-11-03 10:01:01-06:00,Iridium,46.72258,-113.88781,1514,2.8,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 14:00,11/3/2022 8:00,11/3/2022 16:01,2022-11-03 10:01:01-06:00,Iridium,46.72264,-113.8878,1508,3.4,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 13:00,11/3/2022 7:00,11/3/2022 16:01,2022-11-03 10:01:01-06:00,Iridium,46.7226,-113.88779,1493,2.6,3D Validated,Nothing Detected,6,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 12:00,11/3/2022 6:00,11/3/2022 16:01,2022-11-03 10:01:10-06:00,Iridium,46.72268,-113.8878,1512,6.2,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 11:00,11/3/2022 5:00,11/3/2022 16:01,2022-11-03 10:01:10-06:00,Iridium,46.72265,-113.88775,1493,2.6,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 10:00,11/3/2022 4:00,11/3/2022 16:01,2022-11-03 10:01:10-06:00,Iridium,46.72269,-113.88776,1495,2.4,3D Validated,Nothing Detected,8,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 9:00,11/3/2022 3:00,11/3/2022 16:01,2022-11-03 10:01:10-06:00,Iridium,46.72266,-113.88776,1501,2.6,3D Validated,Nothing Detected,8,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 8:00,11/3/2022 2:00,11/3/2022 16:01,2022-11-03 10:01:18-06:00,Iridium,46.72296,-113.88809,1486,5.2,3D Validated,Nothing Detected,9,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 7:01,11/3/2022 1:01,11/3/2022 16:01,2022-11-03 10:01:18-06:00,Iridium,46.72264,-113.88782,1518,3.4,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 6:01,11/3/2022 0:01,11/3/2022 16:01,2022-11-03 10:01:18-06:00,Iridium,46.72265,-113.88773,1498,4,3D Validated,Nothing Detected,11,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 5:00,11/2/2022 23:00,11/3/2022 16:01,2022-11-03 10:01:18-06:00,Iridium,46.72281,-113.88786,1479,4.4,3D Validated,Nothing Detected,9,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 4:00,11/2/2022 22:00,11/3/2022 16:01,2022-11-03 10:01:25-06:00,Iridium,46.7227,-113.88779,1488,6.8,3D Validated,Nothing Detected,8,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 3:00,11/2/2022 21:00,11/3/2022 16:01,2022-11-03 10:01:25-06:00,Iridium,46.72248,-113.88785,1513,2.8,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 2:02,11/2/2022 20:02,11/3/2022 16:01,2022-11-03 10:01:25-06:00,Iridium,46.7243,-113.88772,1438,9.6,3D Validated,Nothing Detected,8,3.36,3.6,Animal with Collar 40922
40922,11/3/2022 1:00,11/2/2022 19:00,11/3/2022 16:01,2022-11-03 10:01:25-06:00,Iridium,46.72451,-113.88844,1444,2.8,3D Validated,Nothing Detected,8,3.36,3.6,Animal with Collar 40922
