Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40878,2021-11-22 15:56:18,2021-11-22 9:56:18,2022-03-30 8:05:08,2022-03-30 02:05:08-06:00,Iridium,46.66325,-113.86069,1702,3.8,3D,Nothing Detected,18,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 15:00:38,2021-11-19 9:00:38,2022-03-30 8:05:15,2022-03-30 02:05:15-06:00,Iridium,46.6633,-113.86066,1706,3,3D Validated,Nothing Detected,17,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 14:00:39,2021-11-19 8:00:39,2022-03-30 8:05:15,2022-03-30 02:05:15-06:00,Iridium,46.66326,-113.86066,1702,2.8,3D Validated,Nothing Detected,18,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 13:00:53,2021-11-19 7:00:53,2022-03-30 8:05:15,2022-03-30 02:05:15-06:00,Iridium,46.6633,-113.86066,1703,2,3D Validated,Nothing Detected,19,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 12:00:46,2021-11-19 6:00:46,2022-03-30 8:05:15,2022-03-30 02:05:15-06:00,Iridium,46.6632,-113.86068,1699,4.6,3D Validated,Nothing Detected,18,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 11:00:40,2021-11-19 5:00:40,2022-03-30 8:05:24,2022-03-30 02:05:24-06:00,Iridium,46.66321,-113.8607,1701,5.6,3D Validated,Nothing Detected,19,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 10:01:04,2021-11-19 4:01:04,2022-03-30 8:05:24,2022-03-30 02:05:24-06:00,Iridium,46.66324,-113.86069,1701,2.8,3D Validated,Nothing Detected,20,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 9:00:59,2021-11-19 3:00:59,2022-03-30 8:05:24,2022-03-30 02:05:24-06:00,Iridium,46.66313,-113.86062,1685,4.2,3D Validated,Nothing Detected,21,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 8:00:13,2021-11-19 2:00:13,2022-03-30 8:05:24,2022-03-30 02:05:24-06:00,Iridium,46.66322,-113.86066,1700,4.2,3D Validated,Nothing Detected,19,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 7:00:39,2021-11-19 1:00:39,2022-03-30 8:05:35,2022-03-30 02:05:35-06:00,Iridium,46.66323,-113.86069,1699,2.4,3D Validated,Nothing Detected,20,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 5:00:47,2021-11-18 23:00:47,2022-03-30 8:05:35,2022-03-30 02:05:35-06:00,Iridium,46.66332,-113.86066,1709,2,3D Validated,Nothing Detected,15,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 4:00:40,2021-11-18 22:00:40,2022-03-30 8:05:35,2022-03-30 02:05:35-06:00,Iridium,46.66323,-113.86066,1699,4,3D Validated,Nothing Detected,14,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 3:00:38,2021-11-18 21:00:38,2022-03-30 8:05:42,2022-03-30 02:05:42-06:00,Iridium,46.66321,-113.86066,1696,3.2,3D Validated,Nothing Detected,14,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 2:00:38,2021-11-18 20:00:38,2022-03-30 8:05:42,2022-03-30 02:05:42-06:00,Iridium,46.66323,-113.86068,1702,3,3D Validated,Nothing Detected,18,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 1:00:58,2021-11-18 19:00:58,2022-03-30 20:01:13,2022-03-30 14:01:13-06:00,Iridium,46.66323,-113.86068,1702,2.4,3D Validated,Nothing Detected,23,3.44,3.68,Animal with Collar 40878
40878,2021-11-19 0:01:38,2021-11-18 18:01:38,2022-03-30 20:01:13,2022-03-30 14:01:13-06:00,Iridium,46.66338,-113.86073,1716,4.8,3D Validated,Nothing Detected,24,3.44,3.68,Animal with Collar 40878
40878,2021-11-16 15:00:22,2021-11-16 9:00:22,2022-03-31 4:01:01,2022-03-30 22:01:01-06:00,Iridium,46.66322,-113.86064,1703,3.4,3D Validated,Nothing Detected,12,3.44,3.68,Animal with Collar 40878
40878,2021-11-16 14:00:37,2021-11-16 8:00:37,2022-03-31 4:01:12,2022-03-30 22:01:12-06:00,Iridium,46.66318,-113.86066,1696,3.4,3D Validated,Nothing Detected,13,3.44,3.68,Animal with Collar 40878
40878,2021-11-16 13:00:36,2021-11-16 7:00:36,2022-03-31 4:01:12,2022-03-30 22:01:12-06:00,Iridium,46.66325,-113.86066,1703,2.2,3D Validated,Nothing Detected,11,3.44,3.68,Animal with Collar 40878
40878,2021-11-16 12:03:00,2021-11-16 6:03:00,2022-03-31 4:01:12,2022-03-30 22:01:12-06:00,Iridium,46.66325,-113.86068,1705,4.6,3D,Nothing Detected,12,3.44,3.68,Animal with Collar 40878
40878,2021-11-16 6:00:54,2021-11-16 0:00:54,2022-03-31 4:01:40,2022-03-30 22:01:40-06:00,Iridium,46.66326,-113.86063,1704,2.4,3D Validated,Nothing Detected,13,3.44,3.68,Animal with Collar 40878
40878,2021-11-16 5:01:05,2021-11-15 23:01:05,2022-03-31 4:01:40,2022-03-30 22:01:40-06:00,Iridium,46.66316,-113.86067,1696,4.8,3D Validated,Nothing Detected,14,3.44,3.68,Animal with Collar 40878
40878,2021-11-16 4:02:11,2021-11-15 22:02:11,2022-03-31 4:01:40,2022-03-30 22:01:40-06:00,Iridium,46.66324,-113.86066,1701,3.4,3D Validated,Nothing Detected,14,3.44,3.68,Animal with Collar 40878
40878,2021-11-16 3:01:08,2021-11-15 21:01:08,2022-03-31 4:01:40,2022-03-30 22:01:40-06:00,Iridium,46.66317,-113.8607,1697,4.6,3D Validated,Nothing Detected,15,3.44,3.68,Animal with Collar 40878
40878,2021-11-16 2:00:58,2021-11-15 20:00:58,2022-03-31 16:02:58,2022-03-31 10:02:58-06:00,Iridium,46.66325,-113.86068,1705,4.8,3D Validated,Nothing Detected,14,3.44,3.68,Animal with Collar 40878
40878,2021-11-15 21:00:11,2021-11-15 15:00:11,2022-03-31 16:03:57,2022-03-31 10:03:57-06:00,Iridium,46.66322,-113.86059,1709,2.4,3D Validated,Nothing Detected,20,3.36,3.68,Animal with Collar 40878
40878,2021-11-15 20:00:39,2021-11-15 14:00:39,2022-03-31 16:03:57,2022-03-31 10:03:57-06:00,Iridium,46.66327,-113.8607,1701,3.8,3D Validated,Nothing Detected,18,3.36,3.68,Animal with Collar 40878
40878,2021-11-14 18:00:36,2021-11-14 12:00:36,2022-03-31 16:04:04,2022-03-31 10:04:04-06:00,Iridium,46.66327,-113.86066,1703,3.8,3D Validated,Nothing Detected,16,3.44,3.68,Animal with Collar 40878
40878,2021-11-14 17:01:08,2021-11-14 11:01:08,2022-03-31 16:04:04,2022-03-31 10:04:04-06:00,Iridium,46.66318,-113.86062,1696,4.2,3D Validated,Nothing Detected,14,3.44,3.68,Animal with Collar 40878
40878,2021-11-14 16:00:43,2021-11-14 10:00:43,2022-03-31 16:04:04,2022-03-31 10:04:04-06:00,Iridium,46.66322,-113.8607,1711,3.8,3D Validated,Nothing Detected,14,3.44,3.68,Animal with Collar 40878
40878,2021-11-14 15:00:36,2021-11-14 9:00:36,2022-03-31 16:04:12,2022-03-31 10:04:12-06:00,Iridium,46.66327,-113.86067,1709,6.6,3D Validated,Nothing Detected,14,3.44,3.68,Animal with Collar 40878
40878,2021-11-14 14:00:39,2021-11-14 8:00:39,2022-03-31 16:04:12,2022-03-31 10:04:12-06:00,Iridium,46.66326,-113.8607,1707,3.4,3D Validated,Nothing Detected,13,3.44,3.68,Animal with Collar 40878
