Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40878,2023-05-01 14:00:08,2023-05-01 08:00:08-06:00,2023-05-01 14:00:31,2023-05-01 08:00:31-06:00,Iridium,46.67142,-113.93712,1431,3.2,3D Valid,Nothing Detected,19,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 13:00:39,2023-05-01 07:00:39-06:00,2023-05-01 14:00:31,2023-05-01 08:00:31-06:00,Iridium,46.67097,-113.93654,1467,5,3D Valid,Nothing Detected,18,3.36,3.68,Animal with Collar 40878
40878,2023-05-01 12:00:38,2023-05-01 06:00:38-06:00,2023-05-01 14:00:31,2023-05-01 08:00:31-06:00,Iridium,46.67106,-113.93652,1425,2.6,3D Valid,Nothing Detected,18,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 11:00:38,2023-05-01 05:00:38-06:00,2023-05-01 14:00:31,2023-05-01 08:00:31-06:00,Iridium,46.67089,-113.93659,1467,2,3D Valid,Nothing Detected,19,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 10:00:13,2023-05-01 04:00:13-06:00,2023-05-01 14:00:40,2023-05-01 08:00:40-06:00,Iridium,46.67117,-113.93637,1460,3.6,3D Valid,Nothing Detected,20,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 09:00:39,2023-05-01 03:00:39-06:00,2023-05-01 14:00:40,2023-05-01 08:00:40-06:00,Iridium,46.67126,-113.93642,1429,2.4,3D Valid,Nothing Detected,19,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 08:00:21,2023-05-01 02:00:21-06:00,2023-05-01 14:00:40,2023-05-01 08:00:40-06:00,Iridium,46.67182,-113.93703,1408,5.2,3D Valid,Nothing Detected,19,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 07:00:08,2023-05-01 01:00:08-06:00,2023-05-01 14:00:40,2023-05-01 08:00:40-06:00,Iridium,46.67108,-113.93652,1450,2.8,3D Valid,Nothing Detected,19,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 06:00:39,2023-05-01 00:00:39-06:00,2023-05-01 14:00:48,2023-05-01 08:00:48-06:00,Iridium,46.67125,-113.93644,1496,4,3D Valid,Nothing Detected,20,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 05:00:09,2023-04-30 23:00:09-06:00,2023-05-01 14:00:48,2023-05-01 08:00:48-06:00,Iridium,46.67102,-113.93632,1456,2.4,3D Valid,Nothing Detected,21,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 04:00:09,2023-04-30 22:00:09-06:00,2023-05-01 14:00:48,2023-05-01 08:00:48-06:00,Iridium,46.67119,-113.93631,1444,1.6,3D Valid,Nothing Detected,23,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 03:00:37,2023-04-30 21:00:37-06:00,2023-05-01 14:00:48,2023-05-01 08:00:48-06:00,Iridium,46.67194,-113.93555,1472,1.8,3D Valid,Nothing Detected,23,3.36,3.68,Animal with Collar 40878
40878,2023-05-01 02:00:13,2023-04-30 20:00:13-06:00,2023-05-01 14:00:56,2023-05-01 08:00:56-06:00,Iridium,46.67417,-113.93388,1494,3.6,3D Valid,Nothing Detected,26,3.44,3.68,Animal with Collar 40878
40878,2023-05-01 01:00:40,2023-04-30 19:00:40-06:00,2023-05-01 14:00:56,2023-05-01 08:00:56-06:00,Iridium,46.66745,-113.92633,1434,1.8,3D Valid,Nothing Detected,29,3.36,3.68,Animal with Collar 40878
40878,2023-05-01 00:00:40,2023-04-30 18:00:40-06:00,2023-05-01 14:00:56,2023-05-01 08:00:56-06:00,Iridium,46.66597,-113.92493,1417,2.2,3D Valid,Nothing Detected,29,3.36,3.68,Animal with Collar 40878
40878,2023-04-30 23:00:38,2023-04-30 17:00:38-06:00,2023-05-01 14:00:56,2023-05-01 08:00:56-06:00,Iridium,46.66473,-113.92459,1365,5.8,3D Valid,Nothing Detected,30,3.36,3.52,Animal with Collar 40878
40878,2023-04-30 22:00:09,2023-04-30 16:00:09-06:00,2023-05-01 14:01:05,2023-05-01 08:01:05-06:00,Iridium,46.66386,-113.92563,1352,5,3D Valid,Nothing Detected,33,3.44,3.68,Animal with Collar 40878
40878,2023-04-30 21:00:39,2023-04-30 15:00:39-06:00,2023-05-01 14:01:05,2023-05-01 08:01:05-06:00,Iridium,46.66442,-113.92529,1373,3,3D Valid,Nothing Detected,30,3.44,3.68,Animal with Collar 40878
40878,2023-04-30 20:00:12,2023-04-30 14:00:12-06:00,2023-05-01 14:01:05,2023-05-01 08:01:05-06:00,Iridium,46.66415,-113.92548,1350,3.8,3D Valid,Nothing Detected,35,3.44,3.68,Animal with Collar 40878
