Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40907,2024-11-07 18:00:39,2024-11-07 11:00:39-07:00,2024-11-07 18:01:01,2024-11-07 11:01:01-07:00,Iridium,46.60722,-113.68571,1699,3,3D Valid,Nothing Detected,13,3.28,3.6,Animal with Collar 40907
40907,2024-11-02 10:00:38,2024-11-02 04:00:38-06:00,2024-11-02 10:01:25,2024-11-02 04:01:25-06:00,Iridium,46.61155,-113.70586,1723,2.8,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40907
40907,2024-11-02 09:00:48,2024-11-02 03:00:48-06:00,2024-11-02 10:01:25,2024-11-02 04:01:25-06:00,Iridium,46.61166,-113.70587,1717,3.8,3D Valid,Nothing Detected,14,3.36,3.6,Animal with Collar 40907
40907,2024-11-02 08:00:36,2024-11-02 02:00:36-06:00,2024-11-02 10:01:25,2024-11-02 04:01:25-06:00,Iridium,46.61165,-113.70589,1721,3,3D Valid,Nothing Detected,13,3.36,3.6,Animal with Collar 40907
40907,2024-11-02 07:00:40,2024-11-02 01:00:40-06:00,2024-11-02 10:01:25,2024-11-02 04:01:25-06:00,Iridium,46.61161,-113.70583,1722,3.4,3D Valid,Nothing Detected,13,3.36,3.6,Animal with Collar 40907
40907,2024-11-01 14:00:22,2024-11-01 08:00:22-06:00,2024-11-01 14:01:14,2024-11-01 08:01:14-06:00,Iridium,46.63647,-113.67281,1934,3.2,3D Valid,Nothing Detected,8,3.36,3.6,Animal with Collar 40907
40907,2024-11-01 13:00:38,2024-11-01 07:00:38-06:00,2024-11-01 14:01:14,2024-11-01 08:01:14-06:00,Iridium,46.63648,-113.67287,1933,2.4,3D Valid,Nothing Detected,7,3.36,3.6,Animal with Collar 40907
40907,2024-11-01 12:00:10,2024-11-01 06:00:10-06:00,2024-11-01 14:01:14,2024-11-01 08:01:14-06:00,Iridium,46.63641,-113.67275,1948,3.2,3D Valid,Nothing Detected,4,3.36,3.6,Animal with Collar 40907
40907,2024-11-01 11:00:38,2024-11-01 05:00:38-06:00,2024-11-01 14:01:14,2024-11-01 08:01:14-06:00,Iridium,46.63649,-113.67287,1927,3.8,3D Valid,Nothing Detected,4,3.36,3.6,Animal with Collar 40907
40907,2024-11-01 10:00:11,2024-11-01 04:00:11-06:00,2024-11-01 14:01:21,2024-11-01 08:01:21-06:00,Iridium,46.63647,-113.67286,1934,2.4,3D Valid,Nothing Detected,6,3.36,3.6,Animal with Collar 40907
