Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40883,2022-08-14 7:00:36,2022-08-14 1:00:36,2022-09-02 16:02:33,2022-09-02 10:02:33-06:00,Iridium,46.86729,-113.93954,977,1.8,3D Validated,Nothing Detected,25,3.36,3.68,Animal with Collar 40883
40883,2022-08-14 6:00:48,2022-08-14 0:00:48,2022-09-02 16:02:33,2022-09-02 10:02:33-06:00,Iridium,46.86016,-113.93519,1311,2.2,3D Validated,Nothing Detected,28,3.36,3.68,Animal with Collar 40883
40883,2022-08-14 5:00:38,2022-08-13 23:00:38,2022-08-14 5:01:03,2022-08-13 23:01:03-06:00,Iridium,46.8601,-113.93542,1296,3.6,3D Validated,Nothing Detected,25,3.36,3.68,Animal with Collar 40883
40883,2022-08-14 3:00:57,2022-08-13 21:00:57,2022-08-14 5:01:03,2022-08-13 23:01:03-06:00,Iridium,46.86008,-113.93544,1273,6.4,3D Validated,Nothing Detected,28,3.36,3.68,Animal with Collar 40883
40883,2022-08-14 2:00:36,2022-08-13 20:00:36,2022-08-14 5:01:03,2022-08-13 23:01:03-06:00,Iridium,46.86085,-113.92902,1407,4.2,3D,Nothing Detected,30,3.36,3.68,Animal with Collar 40883
40883,2022-08-14 1:00:40,2022-08-13 19:00:40,2022-08-14 5:01:12,2022-08-13 23:01:12-06:00,Iridium,46.863,-113.92645,1290,3.2,3D Validated,Nothing Detected,29,3.44,3.68,Animal with Collar 40883
40883,2022-08-14 0:00:40,2022-08-13 18:00:40,2022-08-14 5:01:12,2022-08-13 23:01:12-06:00,Iridium,46.86296,-113.92632,1291,4.4,3D Validated,Nothing Detected,31,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 23:00:39,2022-08-13 17:00:39,2022-08-14 5:01:12,2022-08-13 23:01:12-06:00,Iridium,46.86071,-113.92952,1394,5.6,3D Validated,Nothing Detected,32,3.44,3.68,Animal with Collar 40883
40883,2022-08-13 22:00:37,2022-08-13 16:00:37,2022-08-14 5:01:12,2022-08-13 23:01:12-06:00,Iridium,46.86084,-113.93025,1378,2.8,3D Validated,Nothing Detected,32,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 21:00:10,2022-08-13 15:00:10,2022-08-14 5:01:25,2022-08-13 23:01:25-06:00,Iridium,46.86073,-113.93034,1398,2.6,3D Validated,Nothing Detected,32,3.44,3.68,Animal with Collar 40883
40883,2022-08-13 20:00:37,2022-08-13 14:00:37,2022-08-14 5:01:25,2022-08-13 23:01:25-06:00,Iridium,46.86088,-113.93036,1385,5,3D Validated,Nothing Detected,30,3.44,3.68,Animal with Collar 40883
40883,2022-08-13 19:00:21,2022-08-13 13:00:21,2022-08-14 5:01:25,2022-08-13 23:01:25-06:00,Iridium,46.86074,-113.93049,1371,2.2,3D Validated,Nothing Detected,28,3.44,3.68,Animal with Collar 40883
40883,2022-08-13 18:00:54,2022-08-13 12:00:54,2022-08-14 5:01:25,2022-08-13 23:01:25-06:00,Iridium,46.86081,-113.93044,1378,3,3D Validated,Nothing Detected,28,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 16:00:36,2022-08-13 10:00:36,2022-09-03 8:01:09,2022-09-03 02:01:09-06:00,Iridium,46.86046,-113.93185,1376,2.8,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 15:03:00,2022-08-13 9:03:00,2022-09-03 8:01:09,2022-09-03 02:01:09-06:00,Iridium,46.86045,-113.93185,1375,3,3D,Nothing Detected,24,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 14:00:11,2022-08-13 8:00:11,2022-09-03 8:01:09,2022-09-03 02:01:09-06:00,Iridium,46.86053,-113.93559,1260,4.2,3D Validated,Nothing Detected,21,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 13:00:38,2022-08-13 7:00:38,2022-09-03 8:01:20,2022-09-03 02:01:20-06:00,Iridium,46.8636,-113.9369,1117,2,3D Validated,Nothing Detected,20,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 11:00:43,2022-08-13 5:00:43,2022-09-03 8:01:20,2022-09-03 02:01:20-06:00,Iridium,46.86514,-113.9413,985,2.8,3D Validated,Nothing Detected,20,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 10:00:10,2022-08-13 4:00:10,2022-09-03 8:01:20,2022-09-03 02:01:20-06:00,Iridium,46.86559,-113.94733,988,5,3D Validated,Nothing Detected,22,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 9:00:36,2022-08-13 3:00:36,2022-09-03 8:01:31,2022-09-03 02:01:31-06:00,Iridium,46.86581,-113.94337,978,1.8,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 7:00:56,2022-08-13 1:00:56,2022-09-03 8:01:31,2022-09-03 02:01:31-06:00,Iridium,46.86609,-113.94343,989,2.8,3D Validated,Nothing Detected,25,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 6:00:15,2022-08-13 0:00:15,2022-09-03 8:01:31,2022-09-03 02:01:31-06:00,Iridium,46.86591,-113.94376,992,5,3D Validated,Nothing Detected,24,3.44,3.68,Animal with Collar 40883
40883,2022-08-13 5:00:40,2022-08-12 23:00:40,2022-08-13 5:01:27,2022-08-12 23:01:27-06:00,Iridium,46.86497,-113.94697,983,2.6,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 4:00:15,2022-08-12 22:00:15,2022-08-13 5:01:27,2022-08-12 23:01:27-06:00,Iridium,46.8619,-113.95626,980,4,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 3:00:56,2022-08-12 21:00:56,2022-08-13 5:01:27,2022-08-12 23:01:27-06:00,Iridium,46.85942,-113.95422,1082,6.6,3D Validated,Nothing Detected,27,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 2:01:38,2022-08-12 20:01:38,2022-08-13 5:01:27,2022-08-12 23:01:27-06:00,Iridium,46.85836,-113.95599,1104,2.2,3D Validated,Nothing Detected,27,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 1:00:38,2022-08-12 19:00:38,2022-09-03 8:01:47,2022-09-03 02:01:47-06:00,Iridium,46.85849,-113.95615,1102,2.2,3D Validated,Nothing Detected,27,3.36,3.68,Animal with Collar 40883
40883,2022-08-13 0:00:38,2022-08-12 18:00:38,2022-09-03 8:01:47,2022-09-03 02:01:47-06:00,Iridium,46.85873,-113.9563,1077,4.8,3D Validated,Nothing Detected,28,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 23:01:40,2022-08-12 17:01:40,2022-09-03 8:01:47,2022-09-03 02:01:47-06:00,Iridium,46.85689,-113.95221,1216,3.6,3D Validated,Nothing Detected,29,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 22:00:18,2022-08-12 16:00:18,2022-09-03 8:01:47,2022-09-03 02:01:47-06:00,Iridium,46.85429,-113.95379,1290,3.8,3D Validated,Nothing Detected,30,3.44,3.68,Animal with Collar 40883
40883,2022-08-12 21:00:33,2022-08-12 15:00:33,2022-08-12 21:01:02,2022-08-12 15:01:02-06:00,Iridium,46.85453,-113.95379,1289,2,3D Validated,Nothing Detected,32,3.44,3.68,Animal with Collar 40883
40883,2022-08-12 20:02:38,2022-08-12 14:02:38,2022-08-12 21:01:02,2022-08-12 15:01:02-06:00,Iridium,46.854,-113.95397,1246,6,3D Validated,Nothing Detected,33,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 19:00:38,2022-08-12 13:00:38,2022-08-12 21:01:02,2022-08-12 15:01:02-06:00,Iridium,46.85412,-113.95389,1258,1.8,3D Validated,Nothing Detected,30,3.44,3.68,Animal with Collar 40883
40883,2022-08-12 18:01:11,2022-08-12 12:01:11,2022-08-12 21:01:02,2022-08-12 15:01:02-06:00,Iridium,46.8541,-113.95371,1257,3.6,3D Validated,Nothing Detected,27,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 16:00:41,2022-08-12 10:00:41,2022-08-12 21:01:10,2022-08-12 15:01:10-06:00,Iridium,46.85405,-113.95387,1217,5.6,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 15:00:11,2022-08-12 9:00:11,2022-08-12 21:01:10,2022-08-12 15:01:10-06:00,Iridium,46.85413,-113.95388,1240,4,3D Validated,Nothing Detected,25,3.44,3.68,Animal with Collar 40883
40883,2022-08-12 14:00:40,2022-08-12 8:00:40,2022-08-12 21:01:10,2022-08-12 15:01:10-06:00,Iridium,46.85394,-113.95372,1293,3.4,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 13:00:10,2022-08-12 7:00:10,2022-08-12 13:01:21,2022-08-12 07:01:21-06:00,Iridium,46.85292,-113.96151,1465,2.4,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 12:00:40,2022-08-12 6:00:40,2022-08-12 13:01:21,2022-08-12 07:01:21-06:00,Iridium,46.85362,-113.96596,1436,2.4,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 11:01:02,2022-08-12 5:01:02,2022-08-12 13:01:21,2022-08-12 07:01:21-06:00,Iridium,46.85389,-113.96764,1458,2.8,3D Validated,Nothing Detected,22,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 10:01:10,2022-08-12 4:01:10,2022-08-12 13:01:21,2022-08-12 07:01:21-06:00,Iridium,46.85393,-113.96767,1459,5.2,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 9:00:12,2022-08-12 3:00:12,2022-08-12 21:01:26,2022-08-12 15:01:26-06:00,Iridium,46.84999,-113.95757,1486,3.2,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 8:01:09,2022-08-12 2:01:09,2022-08-12 21:01:26,2022-08-12 15:01:26-06:00,Iridium,46.84239,-113.95225,1316,2,3D Validated,Nothing Detected,21,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 7:01:08,2022-08-12 1:01:08,2022-08-12 21:01:26,2022-08-12 15:01:26-06:00,Iridium,46.83421,-113.95845,1209,3.2,3D Validated,Nothing Detected,21,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 5:00:38,2022-08-11 23:00:38,2022-08-12 21:01:33,2022-08-12 15:01:33-06:00,Iridium,46.8286,-113.97388,1076,4,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-12 4:00:08,2022-08-11 22:00:08,2022-08-12 21:01:33,2022-08-12 15:01:33-06:00,Iridium,46.8306,-113.97482,1127,4,3D Validated,Nothing Detected,27,3.44,3.68,Animal with Collar 40883
40883,2022-08-12 2:00:41,2022-08-11 20:00:41,2022-08-12 21:01:33,2022-08-12 15:01:33-06:00,Iridium,46.83224,-113.97418,1100,4,3D Validated,Nothing Detected,32,3.44,3.68,Animal with Collar 40883
40883,2022-08-12 1:00:40,2022-08-11 19:00:40,2022-08-12 1:02:15,2022-08-11 19:02:15-06:00,Iridium,46.8321,-113.97411,1166,4.6,3D Validated,Nothing Detected,33,3.44,3.68,Animal with Collar 40883
40883,2022-08-11 22:00:38,2022-08-11 16:00:38,2022-08-12 1:02:15,2022-08-11 19:02:15-06:00,Iridium,46.83235,-113.9742,1146,2.4,3D Validated,Nothing Detected,34,3.44,3.68,Animal with Collar 40883
40883,2022-08-11 21:00:38,2022-08-11 15:00:38,2022-08-12 1:02:26,2022-08-11 19:02:26-06:00,Iridium,46.83234,-113.97417,1144,2.4,3D Validated,Nothing Detected,33,3.44,3.68,Animal with Collar 40883
40883,2022-08-11 20:00:58,2022-08-11 14:00:58,2022-08-12 1:02:26,2022-08-11 19:02:26-06:00,Iridium,46.83256,-113.97456,1160,4,3D Validated,Nothing Detected,31,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 19:00:18,2022-08-11 13:00:18,2022-08-12 1:02:26,2022-08-11 19:02:26-06:00,Iridium,46.83231,-113.97431,1128,2.2,3D Validated,Nothing Detected,28,3.44,3.68,Animal with Collar 40883
40883,2022-08-11 18:00:56,2022-08-11 12:00:56,2022-08-12 1:02:26,2022-08-11 19:02:26-06:00,Iridium,46.83222,-113.97448,1167,2.2,3D Validated,Nothing Detected,26,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 17:00:39,2022-08-11 11:00:39,2022-08-12 1:02:37,2022-08-11 19:02:37-06:00,Iridium,46.83225,-113.97456,1139,6.4,3D Validated,Nothing Detected,27,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 16:00:39,2022-08-11 10:00:39,2022-08-12 1:02:37,2022-08-11 19:02:37-06:00,Iridium,46.83226,-113.9744,1136,5.8,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 15:00:33,2022-08-11 9:00:33,2022-08-12 1:02:37,2022-08-11 19:02:37-06:00,Iridium,46.83217,-113.97459,1156,3.2,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 14:00:15,2022-08-11 8:00:15,2022-08-12 1:02:37,2022-08-11 19:02:37-06:00,Iridium,46.83123,-113.97578,1140,4,3D Validated,Nothing Detected,20,3.44,3.68,Animal with Collar 40883
40883,2022-08-11 13:00:38,2022-08-11 7:00:38,2022-08-11 13:01:02,2022-08-11 07:01:02-06:00,Iridium,46.83124,-113.97623,1116,2.6,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 12:01:08,2022-08-11 6:01:08,2022-08-11 13:01:02,2022-08-11 07:01:02-06:00,Iridium,46.8309,-113.97776,1102,3.2,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 11:00:36,2022-08-11 5:00:36,2022-08-11 13:01:02,2022-08-11 07:01:02-06:00,Iridium,46.83214,-113.98737,1033,2.6,3D Validated,Nothing Detected,23,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 10:00:09,2022-08-11 4:00:09,2022-08-11 13:01:02,2022-08-11 07:01:02-06:00,Iridium,46.83805,-113.99245,1015,2.4,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 9:00:38,2022-08-11 3:00:38,2022-08-11 9:01:04,2022-08-11 03:01:04-06:00,Iridium,46.83603,-113.99981,1058,2.2,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 8:00:10,2022-08-11 2:00:10,2022-08-11 9:01:04,2022-08-11 03:01:04-06:00,Iridium,46.83695,-114.00243,1022,1.8,3D Validated,Nothing Detected,25,3.44,3.68,Animal with Collar 40883
40883,2022-08-11 7:00:38,2022-08-11 1:00:38,2022-08-11 9:01:04,2022-08-11 03:01:04-06:00,Iridium,46.83927,-113.99534,1025,1.8,3D Validated,Nothing Detected,25,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 6:00:38,2022-08-11 0:00:38,2022-08-11 9:01:04,2022-08-11 03:01:04-06:00,Iridium,46.83565,-113.99132,1021,2.6,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 5:00:38,2022-08-10 23:00:38,2022-08-11 5:01:04,2022-08-10 23:01:04-06:00,Iridium,46.83411,-113.99012,1031,4.6,3D Validated,Nothing Detected,26,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 4:01:02,2022-08-10 22:01:02,2022-08-11 5:01:04,2022-08-10 23:01:04-06:00,Iridium,46.82906,-113.97585,1081,4.2,3D Validated,Nothing Detected,27,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 3:00:50,2022-08-10 21:00:50,2022-08-11 5:01:04,2022-08-10 23:01:04-06:00,Iridium,46.82805,-113.97498,1167,4.6,3D Validated,Nothing Detected,28,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 2:00:40,2022-08-10 20:00:40,2022-08-11 5:01:04,2022-08-10 23:01:04-06:00,Iridium,46.82777,-113.97471,1166,3,3D Validated,Nothing Detected,30,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 1:00:35,2022-08-10 19:00:35,2022-08-11 9:01:15,2022-08-11 03:01:15-06:00,Iridium,46.82795,-113.97521,1119,4.4,3D Validated,Nothing Detected,30,3.36,3.68,Animal with Collar 40883
40883,2022-08-11 0:01:28,2022-08-10 18:01:28,2022-08-11 9:01:15,2022-08-11 03:01:15-06:00,Iridium,46.82791,-113.97518,1101,3.4,3D Validated,Nothing Detected,31,3.36,3.68,Animal with Collar 40883
40883,2022-08-10 21:00:36,2022-08-10 15:00:36,2022-08-11 13:01:10,2022-08-11 07:01:10-06:00,Iridium,46.82793,-113.97458,1124,2,3D Validated,Nothing Detected,32,3.44,3.68,Animal with Collar 40883
40883,2022-08-10 20:01:08,2022-08-10 14:01:08,2022-08-11 13:01:10,2022-08-11 07:01:10-06:00,Iridium,46.82783,-113.97472,1091,7.8,3D Validated,Nothing Detected,32,3.36,3.68,Animal with Collar 40883
40883,2022-08-10 19:00:40,2022-08-10 13:00:40,2022-08-11 13:01:10,2022-08-11 07:01:10-06:00,Iridium,46.82795,-113.97521,1097,4.8,3D Validated,Nothing Detected,31,3.36,3.68,Animal with Collar 40883
40883,2022-08-10 18:01:04,2022-08-10 12:01:04,2022-08-11 13:01:10,2022-08-11 07:01:10-06:00,Iridium,46.82793,-113.97495,1104,5,3D Validated,Nothing Detected,31,3.36,3.68,Animal with Collar 40883
40883,2022-08-10 17:00:19,2022-08-10 11:00:19,2022-08-11 13:01:18,2022-08-11 07:01:18-06:00,Iridium,46.82785,-113.9749,1121,5.8,3D Validated,Nothing Detected,29,3.44,3.68,Animal with Collar 40883
40883,2022-08-10 16:01:02,2022-08-10 10:01:02,2022-08-11 13:01:18,2022-08-11 07:01:18-06:00,Iridium,46.82624,-113.97697,1174,5,3D Validated,Nothing Detected,28,3.36,3.68,Animal with Collar 40883
40883,2022-08-10 15:00:15,2022-08-10 9:00:15,2022-08-11 13:01:18,2022-08-11 07:01:18-06:00,Iridium,46.82639,-113.97704,1153,3.8,3D Validated,Nothing Detected,26,3.44,3.68,Animal with Collar 40883
