Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40893,2020-11-13 18:00:54,2020-11-13 12:00:54,2021-03-27 22:01:27,2021-03-27 16:01:27-06:00,Iridium,46.73421,-113.9923,1291,3.4,3D Validated,Nothing Detected,15,3.36,3.6,Animal with Collar 40893
40893,2020-11-13 17:03:00,2020-11-13 11:03:00,2021-03-27 22:01:27,2021-03-27 16:01:27-06:00,Iridium,46.73425,-113.99229,1307,16,3D,Nothing Detected,15,3.36,3.6,Animal with Collar 40893
40893,2020-11-13 15:00:54,2020-11-13 9:00:54,2021-03-27 22:01:27,2021-03-27 16:01:27-06:00,Iridium,46.73421,-113.99218,1278,5.2,3D Validated,Nothing Detected,15,3.36,3.6,Animal with Collar 40893
40893,2020-11-13 14:01:02,2020-11-13 8:01:02,2021-03-27 22:01:34,2021-03-27 16:01:34-06:00,Iridium,46.73422,-113.99236,1301,6.4,3D Validated,Nothing Detected,16,3.36,3.6,Animal with Collar 40893
40893,2020-11-13 8:01:02,2020-11-13 2:01:02,2021-03-27 22:01:43,2021-03-27 16:01:43-06:00,Iridium,46.73425,-113.99225,1273,7,3D,Nothing Detected,18,3.36,3.6,Animal with Collar 40893
40893,2020-11-03 0:00:38,2020-11-02 18:00:38,2021-03-27 22:02:26,2021-03-27 16:02:26-06:00,Iridium,46.73428,-113.99216,1278,4.8,3D Validated,Nothing Detected,19,3.36,3.6,Animal with Collar 40893
40893,2020-11-02 23:01:08,2020-11-02 17:01:08,2021-03-27 22:02:26,2021-03-27 16:02:26-06:00,Iridium,46.73426,-113.99204,1277,4.4,3D Validated,Nothing Detected,20,3.36,3.6,Animal with Collar 40893
40893,2020-11-02 22:01:06,2020-11-02 16:01:06,2021-03-27 22:02:26,2021-03-27 16:02:26-06:00,Iridium,46.73427,-113.99216,1282,6,3D Validated,Nothing Detected,19,3.36,3.6,Animal with Collar 40893
40893,2020-11-02 21:00:39,2020-11-02 15:00:39,2021-03-27 22:02:26,2021-03-27 16:02:26-06:00,Iridium,46.73423,-113.99236,1300,7.6,3D Validated,Nothing Detected,17,3.36,3.6,Animal with Collar 40893
40893,2020-11-02 20:03:00,2020-11-02 14:03:00,2021-03-27 22:02:36,2021-03-27 16:02:36-06:00,Iridium,46.73438,-113.99241,1364,8.4,3D,Nothing Detected,16,3.36,3.6,Animal with Collar 40893
40893,2020-11-02 18:01:33,2020-11-02 12:01:33,2021-03-27 22:02:36,2021-03-27 16:02:36-06:00,Iridium,46.73423,-113.9922,1275,8.2,3D Validated,Nothing Detected,14,3.36,3.6,Animal with Collar 40893
40893,2020-11-02 16:01:06,2020-11-02 10:01:06,2020-11-02 17:02:08,2020-11-02 10:02:08-07:00,Iridium,46.73431,-113.99268,1317,4,3D Validated,Nothing Detected,14,3.36,3.6,Animal with Collar 40893
40893,2020-11-02 15:00:38,2020-11-02 9:00:38,2020-11-02 17:02:08,2020-11-02 10:02:08-07:00,Iridium,46.73426,-113.99221,1292,7,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40893
