Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
89026,2023-10-16 19:00:39,2023-10-16 13:00:39-06:00,2023-10-16 19:01:06,2023-10-16 13:01:06-06:00,Iridium,46.77312,-113.964935,1434,6.6,3D Validated,Nothing Detected,20,3.28,3.6,
89026,2023-10-16 18:01:39,2023-10-16 12:01:39-06:00,2023-10-16 19:01:06,2023-10-16 13:01:06-06:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,
89026,2023-10-16 17:01:38,2023-10-16 11:01:38-06:00,2023-10-16 19:01:06,2023-10-16 13:01:06-06:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,
89026,2023-10-16 16:01:39,2023-10-16 10:01:39-06:00,2023-10-16 19:01:06,2023-10-16 13:01:06-06:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,
89026,2023-10-14 19:00:39,2023-10-14 13:00:39-06:00,2023-10-14 19:01:09,2023-10-14 13:01:09-06:00,Iridium,46.773113,-113.964935,1404,7,3D Validated,Nothing Detected,20,3.28,3.6,
89026,2023-10-14 18:01:41,2023-10-14 12:01:41-06:00,2023-10-14 19:01:09,2023-10-14 13:01:09-06:00,Iridium,46.773144,-113.96486,1404,6,3D Validated,Nothing Detected,17,3.28,3.6,
89026,2023-10-14 17:01:39,2023-10-14 11:01:39-06:00,2023-10-14 19:01:09,2023-10-14 13:01:09-06:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,
89026,2023-10-14 16:01:39,2023-10-14 10:01:39-06:00,2023-10-14 19:01:09,2023-10-14 13:01:09-06:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,
89026,2023-10-14 15:01:39,2023-10-14 09:01:39-06:00,2023-10-14 19:01:19,2023-10-14 13:01:19-06:00,Iridium,,,,0,No Fix,Nothing Detected,15,3.28,3.6,
89026,2023-10-14 14:01:39,2023-10-14 08:01:39-06:00,2023-10-14 19:01:19,2023-10-14 13:01:19-06:00,Iridium,,,,0,No Fix,Nothing Detected,14,3.28,3.6,
89026,2023-10-14 13:01:39,2023-10-14 07:01:39-06:00,2023-10-14 19:01:19,2023-10-14 13:01:19-06:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,
89026,2023-10-14 12:01:39,2023-10-14 06:01:39-06:00,2023-10-14 19:01:19,2023-10-14 13:01:19-06:00,Iridium,,,,0,No Fix,Nothing Detected,15,3.28,3.6,
89026,2023-10-14 11:01:39,2023-10-14 05:01:39-06:00,2023-10-14 19:01:48,2023-10-14 13:01:48-06:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,
89026,2023-10-14 10:01:39,2023-10-14 04:01:39-06:00,2023-10-14 19:01:48,2023-10-14 13:01:48-06:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,
89026,2023-10-14 09:01:39,2023-10-14 03:01:39-06:00,2023-10-14 19:01:48,2023-10-14 13:01:48-06:00,Iridium,,,,0,No Fix,Nothing Detected,15,3.28,3.6,
89026,2023-10-14 08:01:39,2023-10-14 02:01:39-06:00,2023-10-14 19:01:48,2023-10-14 13:01:48-06:00,Iridium,,,,0,No Fix,Nothing Detected,15,3.28,3.6,
89026,2023-10-14 07:01:39,2023-10-14 01:01:39-06:00,2023-10-14 19:01:56,2023-10-14 13:01:56-06:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,
89026,2023-10-14 06:01:39,2023-10-14 00:01:39-06:00,2023-10-14 19:01:56,2023-10-14 13:01:56-06:00,Iridium,,,,0,No Fix,Nothing Detected,15,3.28,3.6,
89026,2023-10-14 05:01:41,2023-10-13 23:01:41-06:00,2023-10-14 19:01:56,2023-10-14 13:01:56-06:00,Iridium,,,,0,No Fix,Nothing Detected,15,3.28,3.6,
89026,2023-10-14 04:01:38,2023-10-13 22:01:38-06:00,2023-10-14 19:01:56,2023-10-14 13:01:56-06:00,Iridium,,,,0,No Fix,Nothing Detected,15,3.28,3.6,
89026,2023-10-14 03:01:38,2023-10-13 21:01:38-06:00,2023-10-14 19:02:07,2023-10-14 13:02:07-06:00,Iridium,,,,0,No Fix,Nothing Detected,15,3.28,3.6,
89026,2023-10-14 02:01:38,2023-10-13 20:01:38-06:00,2023-10-14 19:02:07,2023-10-14 13:02:07-06:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,
89026,2023-10-14 01:01:38,2023-10-13 19:01:38-06:00,2023-10-14 19:02:07,2023-10-14 13:02:07-06:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,
89026,2023-10-14 00:01:38,2023-10-13 18:01:38-06:00,2023-10-14 19:02:07,2023-10-14 13:02:07-06:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,
89026,2023-10-05 19:00:37,2023-10-05 13:00:37-06:00,2023-10-05 19:01:05,2023-10-05 13:01:05-06:00,Iridium,46.773144,-113.9649,1409,2.6,3D Validated,Nothing Detected,23,3.28,3.6,
89026,2023-10-05 18:00:11,2023-10-05 12:00:11-06:00,2023-10-05 19:01:05,2023-10-05 13:01:05-06:00,Iridium,46.77321,-113.9648,1427,3.2,3D Validated,Nothing Detected,21,3.28,3.6,
89026,2023-10-05 17:00:42,2023-10-05 11:00:42-06:00,2023-10-05 19:01:05,2023-10-05 13:01:05-06:00,Iridium,46.77296,-113.96517,1420,2.4,3D Validated,Nothing Detected,20,3.28,3.6,
89026,2023-10-05 16:01:39,2023-10-05 10:01:39-06:00,2023-10-05 19:01:05,2023-10-05 13:01:05-06:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,
89026,2023-10-05 15:01:39,2023-10-05 09:01:39-06:00,2023-10-05 19:01:15,2023-10-05 13:01:15-06:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,
89026,2023-10-05 14:01:39,2023-10-05 08:01:39-06:00,2023-10-05 19:01:15,2023-10-05 13:01:15-06:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,
89026,2023-10-05 13:01:39,2023-10-05 07:01:39-06:00,2023-10-05 19:01:15,2023-10-05 13:01:15-06:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,
89026,2023-10-05 12:01:39,2023-10-05 06:01:39-06:00,2023-10-05 19:01:15,2023-10-05 13:01:15-06:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.28,3.6,
89026,2023-10-05 11:01:39,2023-10-05 05:01:39-06:00,2023-10-05 19:01:23,2023-10-05 13:01:23-06:00,Iridium,,,,0,No Fix,Nothing Detected,19,3.28,3.6,
89026,2023-10-05 10:01:39,2023-10-05 04:01:39-06:00,2023-10-05 19:01:23,2023-10-05 13:01:23-06:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.28,3.6,
89026,2023-10-05 09:01:38,2023-10-05 03:01:38-06:00,2023-10-05 19:01:23,2023-10-05 13:01:23-06:00,Iridium,,,,0,No Fix,Nothing Detected,26,3.28,3.6,
89026,2023-10-05 08:01:38,2023-10-05 02:01:38-06:00,2023-10-05 19:01:23,2023-10-05 13:01:23-06:00,Iridium,,,,0,No Fix,Nothing Detected,28,3.28,3.6,
89026,2023-10-05 07:01:38,2023-10-05 01:01:38-06:00,2023-10-05 19:01:30,2023-10-05 13:01:30-06:00,Iridium,,,,0,No Fix,Nothing Detected,21,3.28,3.6,
89026,2023-10-05 06:01:38,2023-10-05 00:01:38-06:00,2023-10-05 19:01:30,2023-10-05 13:01:30-06:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,
89026,2023-10-05 05:01:38,2023-10-04 23:01:38-06:00,2023-10-05 19:01:30,2023-10-05 13:01:30-06:00,Iridium,,,,0,No Fix,Nothing Detected,20,3.28,3.6,
89026,2023-10-05 04:01:38,2023-10-04 22:01:38-06:00,2023-10-05 19:01:30,2023-10-05 13:01:30-06:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.28,3.6,
89026,2023-10-05 03:01:36,2023-10-04 21:01:36-06:00,2023-10-05 03:02:32,2023-10-04 21:02:32-06:00,Iridium,46.77322,-113.96498,1412,6,3D Validated,Nothing Detected,17,3.28,3.6,
89026,2023-10-05 02:01:38,2023-10-04 20:01:38-06:00,2023-10-05 03:02:32,2023-10-04 21:02:32-06:00,Iridium,,,,0,No Fix,Nothing Detected,16,3.28,3.6,
89026,2023-10-05 01:00:22,2023-10-04 19:00:22-06:00,2023-10-05 03:02:32,2023-10-04 21:02:32-06:00,Iridium,46.773937,-113.96456,1422,7.2,3D Validated,Nothing Detected,21,3.28,3.6,
89026,2023-10-05 00:00:38,2023-10-04 18:00:38-06:00,2023-10-05 03:02:32,2023-10-04 21:02:32-06:00,Iridium,46.773823,-113.9652,1341,10,3D Validated,Nothing Detected,21,3.28,3.6,
89026,2023-10-04 23:00:46,2023-10-04 17:00:46-06:00,2023-10-04 23:01:10,2023-10-04 17:01:10-06:00,Iridium,46.77486,-113.96612,1321,2.2,3D Validated,Nothing Detected,20,3.28,3.6,
