Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
89026,2024-10-04 05:39:33,2024-10-03 23:39:33-06:00,2024-10-04 22:03:53,2024-10-04 16:03:53-06:00,Iridium,46.76801,-113.92152,1295,5,3D Valid,Mortality,0,3.2,3.6,
89026,2024-10-04 05:09:18,2024-10-03 23:09:18-06:00,2024-10-04 22:03:53,2024-10-04 16:03:53-06:00,Iridium,46.76836,-113.92144,1314,7.2,3D Valid,Mortality,0,3.2,3.6,
89026,2024-10-04 04:39:16,2024-10-03 22:39:16-06:00,2024-10-04 04:39:36,2024-10-03 22:39:36-06:00,Iridium,46.76786,-113.92164,1261,3.6,3D Valid,Mortality,1,3.2,3.6,
89026,2024-10-04 04:09:31,2024-10-03 22:09:31-06:00,2024-10-04 04:09:57,2024-10-03 22:09:57-06:00,Iridium,46.76818,-113.92157,1280,3,3D Valid,Mortality,1,3.2,3.6,
89026,2024-10-04 03:39:15,2024-10-03 21:39:15-06:00,2024-10-04 04:09:57,2024-10-03 22:09:57-06:00,Iridium,46.76796,-113.92161,1317,4.8,3D Valid,Mortality,2,3.2,3.6,
89026,2024-10-04 03:09:05,2024-10-03 21:09:05-06:00,2024-10-04 03:11:07,2024-10-03 21:11:07-06:00,Iridium,46.76792,-113.92150,1274,2.8,3D Valid,Mortality,2,3.2,3.6,
89026,2024-10-04 02:39:16,2024-10-03 20:39:16-06:00,2024-10-04 03:11:07,2024-10-03 21:11:07-06:00,Iridium,46.76815,-113.92142,1300,2.8,3D Valid,Mortality,3,3.2,3.6,
89026,2024-10-04 02:09:03,2024-10-03 20:09:03-06:00,2024-10-04 03:11:07,2024-10-03 21:11:07-06:00,Iridium,46.76790,-113.92147,1257,5.4,3D Valid,Mortality,4,3.2,3.6,
89026,2024-10-04 01:39:23,2024-10-03 19:39:23-06:00,2024-10-04 03:11:07,2024-10-03 21:11:07-06:00,Iridium,46.76805,-113.92155,1277,6.2,3D Valid,Mortality,6,3.2,3.6,
89026,2024-10-04 01:09:10,2024-10-03 19:09:10-06:00,2024-10-04 03:11:56,2024-10-03 21:11:56-06:00,Iridium,46.76792,-113.92152,1291,2.6,3D Valid,Mortality,7,3.2,3.6,
89026,2024-10-04 00:39:13,2024-10-03 18:39:13-06:00,2024-10-04 03:11:56,2024-10-03 21:11:56-06:00,Iridium,46.76803,-113.92158,1268,3.8,3D Valid,Mortality,9,3.2,3.6,
89026,2024-10-04 00:09:47,2024-10-03 18:09:47-06:00,2024-10-04 00:11:44,2024-10-03 18:11:44-06:00,Iridium,46.76806,-113.92165,1282,7.6,3D Valid,Mortality,10,3.2,3.6,
89026,2024-10-03 04:00:39,2024-10-02 22:00:39-06:00,2024-10-04 00:11:44,2024-10-03 18:11:44-06:00,Iridium,46.76791,-113.92172,1312,3,3D Valid,Nothing Detected,3,3.2,3.6,
89026,2024-10-03 03:00:17,2024-10-02 21:00:17-06:00,2024-10-04 00:11:44,2024-10-03 18:11:44-06:00,Iridium,46.76816,-113.92170,1296,2.4,3D Valid,Nothing Detected,6,3.28,3.6,
89026,2024-10-03 02:00:46,2024-10-02 20:00:46-06:00,2024-10-03 02:02:33,2024-10-02 20:02:33-06:00,Iridium,46.76763,-113.92165,1247,3,3D Valid,Nothing Detected,7,3.2,3.6,
89026,2024-10-03 01:00:18,2024-10-02 19:00:18-06:00,2024-10-03 02:02:33,2024-10-02 20:02:33-06:00,Iridium,46.76801,-113.92151,1282,3.4,3D Valid,Nothing Detected,9,3.28,3.6,
89026,2024-10-03 00:00:35,2024-10-02 18:00:35-06:00,2024-10-03 02:02:33,2024-10-02 20:02:33-06:00,Iridium,46.76794,-113.92157,1267,2.4,3D Valid,Nothing Detected,11,3.28,3.6,
89026,2024-10-02 23:01:10,2024-10-02 17:01:10-06:00,2024-10-03 02:02:33,2024-10-02 20:02:33-06:00,Iridium,46.76791,-113.92162,1256,4.4,3D Valid,Nothing Detected,12,3.2,3.6,
89026,2024-10-02 22:01:00,2024-10-02 16:01:00-06:00,2024-10-03 02:02:57,2024-10-02 20:02:57-06:00,Iridium,46.76793,-113.92150,1276,4,3D Valid,Nothing Detected,13,3.28,3.6,
89026,2024-10-02 21:00:47,2024-10-02 15:00:47-06:00,2024-10-03 02:02:57,2024-10-02 20:02:57-06:00,Iridium,46.76808,-113.92145,1313,4.8,3D Valid,Nothing Detected,13,3.28,3.6,
89026,2024-10-02 20:00:21,2024-10-02 14:00:21-06:00,2024-10-03 02:02:57,2024-10-02 20:02:57-06:00,Iridium,46.76808,-113.92149,1238,8.2,3D Valid,Nothing Detected,14,3.28,3.6,
89026,2024-10-02 19:00:38,2024-10-02 13:00:38-06:00,2024-10-03 02:02:57,2024-10-02 20:02:57-06:00,Iridium,46.76796,-113.92154,1262,6.4,3D Valid,Nothing Detected,15,3.28,3.6,
89026,2024-10-02 17:00:28,2024-10-02 11:00:28-06:00,2024-10-03 02:03:05,2024-10-02 20:03:05-06:00,Iridium,46.76778,-113.92139,1265,2.8,3D Valid,Nothing Detected,13,3.28,3.6,
