Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40879,2020-06-12 16:00:09,2020-06-12 10:00:09,2020-06-12 16:00:52,2020-06-12 10:00:52-06:00,Iridium,46.67369,-114.01599,1113,3.2,3D Validated,Nothing Detected,23,3.28,3.6,Animal with Collar 40879
40879,2020-06-12 15:00:34,2020-06-12 9:00:34,2020-06-12 16:00:52,2020-06-12 10:00:52-06:00,Iridium,46.70462,-113.97621,1659,1.8,3D Validated,Nothing Detected,22,3.28,3.6,Animal with Collar 40879
40879,2020-06-12 14:00:15,2020-06-12 8:00:15,2020-06-12 16:00:52,2020-06-12 10:00:52-06:00,Iridium,46.70452,-113.97616,1669,2,3D Validated,Nothing Detected,15,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 13:00:36,2020-06-12 7:00:36,2020-06-12 16:00:52,2020-06-12 10:00:52-06:00,Iridium,46.70463,-113.9762,1655,2.2,3D Validated,Nothing Detected,11,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 12:00:15,2020-06-12 6:00:15,2020-06-12 16:01:16,2020-06-12 10:01:16-06:00,Iridium,46.70463,-113.97638,1641,6.4,3D Validated,Nothing Detected,10,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 11:00:36,2020-06-12 5:00:36,2020-06-12 16:01:16,2020-06-12 10:01:16-06:00,Iridium,46.70467,-113.97614,1646,3,3D Validated,Nothing Detected,11,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 10:01:06,2020-06-12 4:01:06,2020-06-12 16:01:16,2020-06-12 10:01:16-06:00,Iridium,46.70459,-113.97614,1659,4.6,3D Validated,Nothing Detected,10,3.2,3.52,Animal with Collar 40879
40879,2020-06-12 9:00:12,2020-06-12 3:00:12,2020-06-12 16:01:16,2020-06-12 10:01:16-06:00,Iridium,46.70446,-113.97612,1691,4.8,3D Validated,Nothing Detected,11,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 8:18:32,2020-06-12 2:18:32,2020-07-01 19:02:02,2020-07-01 13:02:02-06:00,Iridium,46.70465,-113.97615,1664,2.8,3D Validated,Nothing Detected,11,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 7:48:24,2020-06-12 1:48:24,2020-06-12 7:48:48,2020-06-12 01:48:48-06:00,Iridium,46.7046,-113.97622,1661,3.8,3D Validated,Mortality No Radius,11,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 7:18:55,2020-06-12 1:18:55,2020-06-12 7:48:48,2020-06-12 01:48:48-06:00,Iridium,46.70453,-113.97618,1671,3.4,3D Validated,Mortality No Radius,11,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 6:48:31,2020-06-12 0:48:31,2020-06-12 7:48:48,2020-06-12 01:48:48-06:00,Iridium,46.70461,-113.97628,1668,3,3D Validated,Mortality No Radius,12,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 6:18:30,2020-06-12 0:18:30,2020-06-12 7:48:48,2020-06-12 01:48:48-06:00,Iridium,46.70463,-113.97615,1639,3.2,3D Validated,Mortality No Radius,12,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 5:48:37,2020-06-11 23:48:37,2020-06-12 7:48:57,2020-06-12 01:48:57-06:00,Iridium,46.70454,-113.97628,1676,4,3D Validated,Mortality No Radius,13,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 5:18:37,2020-06-11 23:18:37,2020-06-12 5:19:03,2020-06-11 23:19:03-06:00,Iridium,46.70472,-113.97615,1649,4.2,3D Validated,Mortality No Radius,13,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 4:48:33,2020-06-11 22:48:33,2020-06-12 4:49:01,2020-06-11 22:49:01-06:00,Iridium,46.7044,-113.97604,1692,4,3D Validated,Mortality No Radius,14,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 4:18:37,2020-06-11 22:18:37,2020-06-12 4:49:01,2020-06-11 22:49:01-06:00,Iridium,46.70458,-113.97613,1654,4,3D Validated,Mortality No Radius,14,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 3:48:29,2020-06-11 21:48:29,2020-06-12 4:49:01,2020-06-11 22:49:01-06:00,Iridium,46.70466,-113.9762,1654,3.2,3D Validated,Mortality No Radius,15,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 3:18:28,2020-06-11 21:18:28,2020-06-12 4:49:01,2020-06-11 22:49:01-06:00,Iridium,46.7046,-113.97616,1655,2.6,3D Validated,Mortality No Radius,15,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 2:48:40,2020-06-11 20:48:40,2020-06-12 2:49:17,2020-06-11 20:49:17-06:00,Iridium,46.70468,-113.97615,1639,3.2,3D Validated,Mortality No Radius,16,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 2:00:12,2020-06-11 20:00:12,2020-06-12 2:49:17,2020-06-11 20:49:17-06:00,Iridium,46.70435,-113.97578,1687,2.6,3D Validated,Nothing Detected,18,3.28,3.52,Animal with Collar 40879
40879,2020-06-12 1:00:09,2020-06-11 19:00:09,2020-06-12 2:49:17,2020-06-11 20:49:17-06:00,Iridium,46.70451,-113.97605,1635,2.2,3D Validated,Nothing Detected,22,3.28,3.6,Animal with Collar 40879
40879,2020-06-11 23:00:39,2020-06-11 17:00:39,2020-06-12 2:49:28,2020-06-11 20:49:28-06:00,Iridium,46.70461,-113.97618,1657,2.8,3D Validated,Nothing Detected,32,3.28,3.6,Animal with Collar 40879
40879,2020-06-11 22:00:38,2020-06-11 16:00:38,2020-06-12 2:49:28,2020-06-11 20:49:28-06:00,Iridium,46.70464,-113.97617,1657,5.4,3D Validated,Nothing Detected,41,3.28,3.6,Animal with Collar 40879
40879,2020-06-11 21:00:10,2020-06-11 15:00:10,2020-06-12 2:49:28,2020-06-11 20:49:28-06:00,Iridium,46.70457,-113.97619,1659,4.4,3D Validated,Nothing Detected,36,3.28,3.6,Animal with Collar 40879
40879,2020-06-11 20:00:39,2020-06-11 14:00:39,2020-06-12 2:49:28,2020-06-11 20:49:28-06:00,Iridium,46.70466,-113.97622,1655,2.6,3D Validated,Nothing Detected,36,3.28,3.6,Animal with Collar 40879
40879,2020-06-11 19:00:13,2020-06-11 13:00:13,2020-06-12 2:49:46,2020-06-11 20:49:46-06:00,Iridium,46.70469,-113.97632,1676,2.8,3D Validated,Nothing Detected,41,3.36,3.6,Animal with Collar 40879
40879,2020-06-11 18:00:38,2020-06-11 12:00:38,2020-06-12 2:49:46,2020-06-11 20:49:46-06:00,Iridium,46.70463,-113.97623,1655,3.4,3D Validated,Nothing Detected,37,3.28,3.6,Animal with Collar 40879
40879,2020-06-11 17:00:08,2020-06-11 11:00:08,2020-06-12 2:49:46,2020-06-11 20:49:46-06:00,Iridium,46.70467,-113.9762,1646,4.6,3D Validated,Nothing Detected,35,3.28,3.6,Animal with Collar 40879
