Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40883,2020-07-13 23:00:50,2020-07-13 17:00:50,2020-07-14 14:01:32,2020-07-14 08:01:32-06:00,Iridium,46.89396,-113.95581,1102,3,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40883
40883,2020-07-13 22:00:58,2020-07-13 16:00:58,2020-07-13 22:01:22,2020-07-13 16:01:22-06:00,Iridium,46.85254,-114.0391,971,1.6,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40883
40883,2020-07-13 21:00:38,2020-07-13 15:00:38,2020-07-13 22:01:22,2020-07-13 16:01:22-06:00,Iridium,46.67107,-114.02789,1026,2.6,3D Validated,Nothing Detected,26,3.36,3.68,Animal with Collar 40883
40883,2020-07-13 20:00:41,2020-07-13 14:00:41,2020-07-13 22:01:22,2020-07-13 16:01:22-06:00,Iridium,46.70987,-114.00362,1361,4.6,3D Validated,Nothing Detected,20,3.36,3.6,Animal with Collar 40883
40883,2020-07-13 19:00:38,2020-07-13 13:00:38,2020-07-13 22:01:22,2020-07-13 16:01:22-06:00,Iridium,46.70997,-114.00363,1351,4.4,3D Validated,Nothing Detected,17,3.36,3.6,Animal with Collar 40883
40883,2020-07-13 18:00:36,2020-07-13 12:00:36,2020-07-13 18:00:58,2020-07-13 12:00:58-06:00,Iridium,46.71014,-114.00362,1358,2.4,3D Validated,Mortality No Radius,15,3.36,3.6,Animal with Collar 40883
40883,2020-07-13 17:00:40,2020-07-13 11:00:40,2020-07-13 18:00:58,2020-07-13 12:00:58-06:00,Iridium,46.71002,-114.00373,1352,3.6,3D Validated,Mortality No Radius,14,3.36,3.6,Animal with Collar 40883
40883,2020-07-13 16:00:38,2020-07-13 10:00:38,2020-07-13 18:00:58,2020-07-13 12:00:58-06:00,Iridium,46.70999,-114.00365,1332,3.6,3D Validated,Mortality No Radius,13,3.36,3.6,Animal with Collar 40883
40883,2020-07-13 15:00:39,2020-07-13 9:00:39,2020-07-13 18:00:58,2020-07-13 12:00:58-06:00,Iridium,46.70992,-114.00359,1340,2.8,3D Validated,Mortality No Radius,10,3.36,3.6,Animal with Collar 40883
40883,2020-07-13 14:00:40,2020-07-13 8:00:40,2020-07-13 14:00:58,2020-07-13 08:00:58-06:00,Iridium,46.71004,-114.00364,1327,2.8,3D Validated,Mortality No Radius,8,3.36,3.6,Animal with Collar 40883
40883,2020-07-13 13:00:10,2020-07-13 7:00:10,2020-07-13 14:00:58,2020-07-13 08:00:58-06:00,Iridium,46.70996,-114.00371,1338,3.4,3D Validated,Mortality No Radius,8,3.36,3.6,Animal with Collar 40883
40883,2020-07-13 12:00:40,2020-07-13 6:00:40,2020-07-13 14:00:58,2020-07-13 08:00:58-06:00,Iridium,46.70999,-114.00368,1333,3.4,3D Validated,Mortality No Radius,8,3.36,3.6,Animal with Collar 40883
40883,2020-07-13 11:00:40,2020-07-13 5:00:40,2020-07-13 14:00:58,2020-07-13 08:00:58-06:00,Iridium,46.71001,-114.00365,1334,2.2,3D Validated,Mortality No Radius,9,3.36,3.6,Animal with Collar 40883
40883,2020-07-13 10:00:13,2020-07-13 4:00:13,2020-07-13 10:00:40,2020-07-13 04:00:40-06:00,Iridium,46.71005,-114.00356,1356,6,3D Validated,Mortality No Radius,9,3.36,3.6,Animal with Collar 40883
