Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40877,2020-12-09 14:03:02,2020-12-09 8:03:02,2021-04-13 14:01:13,2021-04-13 08:01:13-06:00,Iridium,46.72068,-113.97975,1411,4.6,3D,Nothing Detected,13,3.28,3.6,Animal with Collar 40877
40877,2020-12-07 3:00:46,2020-12-06 21:00:46,2021-04-14 10:01:52,2021-04-14 04:01:52-06:00,Iridium,46.7206,-113.9799,1400,6.8,3D Validated,Nothing Detected,11,3.28,3.6,Animal with Collar 40877
40877,2020-12-07 2:01:06,2020-12-06 20:01:06,2021-04-14 10:01:52,2021-04-14 04:01:52-06:00,Iridium,46.7207,-113.97984,1414,4.6,3D Validated,Nothing Detected,9,3.36,3.6,Animal with Collar 40877
40877,2020-12-06 23:03:00,2020-12-06 17:03:00,2021-04-14 10:02:12,2021-04-14 04:02:12-06:00,Iridium,46.72062,-113.97979,1401,5.2,3D,Nothing Detected,8,3.28,3.6,Animal with Collar 40877
40877,2020-12-06 22:00:58,2020-12-06 16:00:58,2021-04-14 10:02:12,2021-04-14 04:02:12-06:00,Iridium,46.72072,-113.9798,1418,2.8,3D Validated,Nothing Detected,5,3.28,3.6,Animal with Collar 40877
40877,2020-12-06 21:00:53,2020-12-06 15:00:53,2021-04-14 10:02:12,2021-04-14 04:02:12-06:00,Iridium,46.72066,-113.97965,1426,2.4,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40877
40877,2020-12-06 20:00:36,2020-12-06 14:00:36,2021-04-14 10:02:19,2021-04-14 04:02:19-06:00,Iridium,46.7206,-113.97977,1403,5,3D Validated,Nothing Detected,4,3.36,3.6,Animal with Collar 40877
40877,2020-12-06 19:00:35,2020-12-06 13:00:35,2021-04-14 10:02:19,2021-04-14 04:02:19-06:00,Iridium,46.72065,-113.97977,1408,2.4,3D Validated,Nothing Detected,3,3.36,3.6,Animal with Collar 40877
40877,2020-12-06 18:00:55,2020-12-06 12:00:55,2021-04-14 10:02:19,2021-04-14 04:02:19-06:00,Iridium,46.72063,-113.97979,1438,3.6,3D Validated,Nothing Detected,5,3.36,3.6,Animal with Collar 40877
40877,2020-12-06 16:00:58,2020-12-06 10:00:58,2021-04-14 10:02:26,2021-04-14 04:02:26-06:00,Iridium,46.72066,-113.97977,1413,3.8,3D Validated,Nothing Detected,5,3.36,3.6,Animal with Collar 40877
40877,2020-12-06 15:01:09,2020-12-06 9:01:09,2021-04-14 10:02:26,2021-04-14 04:02:26-06:00,Iridium,46.72065,-113.97977,1411,2.6,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40877
40877,2020-12-03 3:01:01,2020-12-02 21:01:01,2021-04-14 10:03:45,2021-04-14 04:03:45-06:00,Iridium,46.72067,-113.97982,1406,9.2,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40877
40877,2020-11-26 10:03:00,2020-11-26 4:03:00,2020-11-26 12:02:07,2020-11-26 05:02:07-07:00,Iridium,46.72069,-113.97984,1404,3.8,3D,Nothing Detected,11,3.28,3.6,Animal with Collar 40877
40877,2020-11-26 9:01:34,2020-11-26 3:01:34,2020-11-26 12:02:07,2020-11-26 05:02:07-07:00,Iridium,46.7206,-113.97977,1403,3.8,3D Validated,Nothing Detected,11,3.28,3.6,Animal with Collar 40877
40877,2020-11-26 6:03:01,2020-11-26 0:03:01,2020-11-26 8:03:35,2020-11-26 01:03:35-07:00,Iridium,46.72114,-113.98029,1431,6.8,3D,Nothing Detected,12,3.28,3.6,Animal with Collar 40877
40877,2020-11-21 23:02:59,2020-11-21 17:02:59,2021-04-16 2:02:05,2021-04-15 20:02:05-06:00,Iridium,46.72068,-113.97979,1416,5.2,3D,Nothing Detected,13,3.28,3.6,Animal with Collar 40877
40877,2020-11-14 10:00:36,2020-11-14 4:00:36,2021-04-17 2:03:48,2021-04-16 20:03:48-06:00,Iridium,46.72068,-113.9798,1406,3.6,3D Validated,Nothing Detected,9,3.36,3.6,Animal with Collar 40877
40877,2020-11-14 9:00:44,2020-11-14 3:00:44,2021-04-17 2:03:57,2021-04-16 20:03:57-06:00,Iridium,46.7207,-113.97975,1406,8.6,3D Validated,Nothing Detected,8,3.28,3.6,Animal with Collar 40877
40877,2020-11-14 8:00:41,2020-11-14 2:00:41,2021-04-17 2:03:57,2021-04-16 20:03:57-06:00,Iridium,46.72065,-113.97952,1417,6.6,3D Validated,Nothing Detected,7,3.36,3.6,Animal with Collar 40877
40877,2020-11-14 6:00:47,2020-11-14 0:00:47,2021-04-17 2:03:57,2021-04-16 20:03:57-06:00,Iridium,46.72048,-113.97983,1391,3.4,3D Validated,Nothing Detected,9,3.36,3.6,Animal with Collar 40877
40877,2020-11-12 6:02:58,2020-11-12 0:02:58,2021-04-17 10:02:10,2021-04-17 04:02:10-06:00,Iridium,46.72068,-113.97977,1414,4.4,3D,Nothing Detected,7,3.28,3.6,Animal with Collar 40877
40877,2020-11-11 23:01:32,2020-11-11 17:01:32,2021-04-17 14:03:45,2021-04-17 08:03:45-06:00,Iridium,46.72066,-113.9798,1404,3.4,3D Validated,Nothing Detected,9,3.28,3.6,Animal with Collar 40877
40877,2020-11-05 21:01:36,2020-11-05 15:01:36,2021-04-18 22:02:44,2021-04-18 16:02:44-06:00,Iridium,46.72058,-113.97979,1410,3.6,3D Validated,Nothing Detected,16,3.28,3.52,Animal with Collar 40877
40877,2020-11-05 17:00:41,2020-11-05 11:00:41,2021-04-18 22:02:54,2021-04-18 16:02:54-06:00,Iridium,46.72056,-113.97984,1391,2.8,3D Validated,Nothing Detected,15,3.28,3.52,Animal with Collar 40877
40877,2020-11-05 16:00:38,2020-11-05 10:00:38,2021-04-18 22:02:54,2021-04-18 16:02:54-06:00,Iridium,46.72061,-113.97979,1407,8.4,3D Validated,Nothing Detected,17,3.28,3.52,Animal with Collar 40877
40877,2020-11-05 15:01:08,2020-11-05 9:01:08,2021-04-18 22:03:00,2021-04-18 16:03:00-06:00,Iridium,46.72066,-113.97977,1413,2.2,3D Validated,Nothing Detected,13,3.28,3.6,Animal with Collar 40877
