Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40893,2023-11-30 12:01:39,2023-11-30 05:01:39-07:00,2023-11-30 12:02:59,2023-11-30 05:02:59-07:00,Iridium,,,,0,No Fix,Nothing Detected,17,3.36,3.68,Animal with Collar 40893
40893,2023-11-30 11:01:39,2023-11-30 04:01:39-07:00,2023-11-30 12:02:59,2023-11-30 05:02:59-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.36,3.68,Animal with Collar 40893
40893,2023-11-30 10:01:39,2023-11-30 03:01:39-07:00,2023-11-30 12:02:59,2023-11-30 05:02:59-07:00,Iridium,,,,0,No Fix,Nothing Detected,18,3.36,3.68,Animal with Collar 40893
40893,2023-11-30 09:01:15,2023-11-30 02:01:15-07:00,2023-11-30 12:02:59,2023-11-30 05:02:59-07:00,Iridium,46.623196,-113.86191,1820,4.6,3D Validated,Nothing Detected,19,3.36,3.68,Animal with Collar 40893
40893,2023-11-19 17:00:15,2023-11-19 10:00:15-07:00,2023-11-19 17:00:43,2023-11-19 10:00:43-07:00,Iridium,46.62339,-113.86201,1838,3,3D Validated,Nothing Detected,17,3.36,3.6,Animal with Collar 40893
40893,2023-11-19 16:01:33,2023-11-19 09:01:33-07:00,2023-11-19 17:00:43,2023-11-19 10:00:43-07:00,Iridium,46.62324,-113.861786,1813,2.6,3D Validated,Nothing Detected,17,3.36,3.6,Animal with Collar 40893
40893,2023-11-19 15:00:12,2023-11-19 08:00:12-07:00,2023-11-19 17:00:43,2023-11-19 10:00:43-07:00,Iridium,46.623356,-113.86193,1834,2.2,3D Validated,Nothing Detected,21,3.36,3.6,Animal with Collar 40893
40893,2023-11-19 14:00:38,2023-11-19 07:00:38-07:00,2023-11-19 17:00:43,2023-11-19 10:00:43-07:00,Iridium,46.62329,-113.86185,1819,7,3D Validated,Nothing Detected,23,3.36,3.6,Animal with Collar 40893
40893,2023-11-19 13:01:39,2023-11-19 06:01:39-07:00,2023-11-19 17:00:54,2023-11-19 10:00:54-07:00,Iridium,,,,0,No Fix,Nothing Detected,23,3.36,3.6,Animal with Collar 40893
40893,2023-11-19 12:01:38,2023-11-19 05:01:38-07:00,2023-11-19 17:00:54,2023-11-19 10:00:54-07:00,Iridium,,,,0,No Fix,Nothing Detected,22,3.36,3.6,Animal with Collar 40893
40893,2023-11-19 11:03:00,2023-11-19 04:03:00-07:00,2023-11-19 17:00:54,2023-11-19 10:00:54-07:00,Iridium,46.623264,-113.86188,1808,6.8,3D,Nothing Detected,21,3.28,3.6,Animal with Collar 40893
40893,2023-11-19 10:00:44,2023-11-19 03:00:44-07:00,2023-11-19 17:00:54,2023-11-19 10:00:54-07:00,Iridium,46.623325,-113.862,1840,1.8,3D Validated,Nothing Detected,18,3.36,3.6,Animal with Collar 40893
40893,2023-11-19 01:00:13,2023-11-18 18:00:13-07:00,2023-11-19 01:01:00,2023-11-18 18:01:00-07:00,Iridium,46.6235,-113.861786,1865,4.8,3D Validated,Nothing Detected,7,3.44,3.68,Animal with Collar 40893
40893,2023-11-19 00:00:10,2023-11-18 17:00:10-07:00,2023-11-19 01:01:00,2023-11-18 18:01:00-07:00,Iridium,46.623367,-113.861824,1833,1.4,3D Validated,Nothing Detected,12,3.44,3.6,Animal with Collar 40893
40893,2023-11-18 23:00:38,2023-11-18 16:00:38-07:00,2023-11-19 01:01:00,2023-11-18 18:01:00-07:00,Iridium,46.623337,-113.86183,1833,1.6,3D Validated,Nothing Detected,18,3.36,3.6,Animal with Collar 40893
40893,2023-11-18 22:00:38,2023-11-18 15:00:38-07:00,2023-11-19 01:01:00,2023-11-18 18:01:00-07:00,Iridium,46.62354,-113.862144,1815,6.2,3D Validated,Nothing Detected,20,3.36,3.6,Animal with Collar 40893
40893,2023-11-18 21:00:09,2023-11-18 14:00:09-07:00,2023-11-18 21:00:48,2023-11-18 14:00:48-07:00,Iridium,46.6233,-113.861786,1826,1.6,3D Validated,Nothing Detected,21,3.44,3.68,Animal with Collar 40893
40893,2023-11-18 20:00:38,2023-11-18 13:00:38-07:00,2023-11-18 21:00:48,2023-11-18 14:00:48-07:00,Iridium,46.62326,-113.86178,1824,1.8,3D Validated,Nothing Detected,24,3.36,3.68,Animal with Collar 40893
