Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40905,2024-04-15 05:00:11,2024-04-14 23:00:11-06:00,2024-04-16 23:04:07,2024-04-16 17:04:07-06:00,Iridium,46.62298,-113.86188,1816,1.6,3D Valid,Mortality,6,3.28,3.6,Animal with Collar 40905
40905,2024-04-15 04:00:36,2024-04-14 22:00:36-06:00,2024-04-16 23:04:07,2024-04-16 17:04:07-06:00,Iridium,46.62294,-113.86198,1828,2,3D Valid,Mortality,7,3.28,3.6,Animal with Collar 40905
40905,2024-04-15 03:00:17,2024-04-14 21:00:17-06:00,2024-04-20 07:00:44,2024-04-20 01:00:44-06:00,Iridium,46.62294,-113.86182,1827,3,3D Valid,Mortality,9,3.28,3.6,Animal with Collar 40905
40905,2024-04-15 02:00:37,2024-04-14 20:00:37-06:00,2024-04-20 07:00:44,2024-04-20 01:00:44-06:00,Iridium,46.62301,-113.86201,1851,2,3D Valid,Mortality,12,3.36,3.6,Animal with Collar 40905
40905,2024-04-15 01:00:12,2024-04-14 19:00:12-06:00,2024-04-20 07:00:44,2024-04-20 01:00:44-06:00,Iridium,46.62304,-113.86192,1815,3.6,3D Valid,Mortality,16,3.36,3.6,Animal with Collar 40905
40905,2024-04-15 00:00:37,2024-04-14 18:00:37-06:00,2024-04-20 07:00:44,2024-04-20 01:00:44-06:00,Iridium,46.62296,-113.86195,1823,2.8,3D Valid,Mortality,22,3.36,3.6,Animal with Collar 40905
40905,2024-04-14 23:00:16,2024-04-14 17:00:16-06:00,2024-04-14 23:00:47,2024-04-14 17:00:47-06:00,Iridium,46.62290,-113.86181,1832,4,3D Valid,Mortality,27,3.36,3.6,Animal with Collar 40905
40905,2024-04-14 22:00:58,2024-04-14 16:00:58-06:00,2024-04-14 23:00:47,2024-04-14 17:00:47-06:00,Iridium,46.62297,-113.86192,1839,5,3D Valid,Mortality,17,3.36,3.6,Animal with Collar 40905
40905,2024-04-14 21:00:38,2024-04-14 15:00:38-06:00,2024-04-14 23:00:47,2024-04-14 17:00:47-06:00,Iridium,46.62291,-113.86187,1817,4.4,3D Valid,Mortality,17,3.36,3.6,Animal with Collar 40905
40905,2024-04-14 20:00:16,2024-04-14 14:00:16-06:00,2024-04-14 23:00:47,2024-04-14 17:00:47-06:00,Iridium,46.62288,-113.86195,1845,3.6,3D Valid,Mortality,23,3.36,3.6,Animal with Collar 40905
