Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
89195,2023-12-17 16:00:13,2023-12-17 09:00:13-07:00,2023-12-17 16:00:33,2023-12-17 09:00:33-07:00,Iridium,46.868458,-114.042595,973,4.4,3D Validated,Mortality No Radius,-5,3.36,3.6,
89195,2023-12-17 15:00:36,2023-12-17 08:00:36-07:00,2023-12-17 16:00:33,2023-12-17 09:00:33-07:00,Iridium,46.86828,-114.04247,959,4.4,3D Validated,Mortality No Radius,-5,3.36,3.6,
89195,2023-12-17 14:00:12,2023-12-17 07:00:12-07:00,2023-12-17 16:00:33,2023-12-17 09:00:33-07:00,Iridium,46.868362,-114.042496,964,1.6,3D Validated,Mortality No Radius,-5,3.36,3.6,
89195,2023-12-17 13:00:38,2023-12-17 06:00:38-07:00,2023-12-17 16:00:33,2023-12-17 09:00:33-07:00,Iridium,46.86818,-114.042564,997,2.4,3D Validated,Mortality No Radius,-5,3.36,3.6,
89195,2023-12-17 12:00:34,2023-12-17 05:00:34-07:00,2023-12-17 12:01:38,2023-12-17 05:01:38-07:00,Iridium,46.868412,-114.0423,970,2.4,3D Validated,Mortality No Radius,-5,3.36,3.6,
89195,2023-12-17 11:00:50,2023-12-17 04:00:50-07:00,2023-12-17 12:01:38,2023-12-17 05:01:38-07:00,Iridium,46.868362,-114.04249,945,2.4,3D Validated,Mortality No Radius,-4,3.36,3.6,
89195,2023-12-17 10:00:17,2023-12-17 03:00:17-07:00,2023-12-17 12:01:38,2023-12-17 05:01:38-07:00,Iridium,46.868256,-114.042336,992,1.6,3D Validated,Mortality No Radius,-4,3.36,3.6,
89195,2023-12-17 09:00:44,2023-12-17 02:00:44-07:00,2023-12-17 12:01:38,2023-12-17 05:01:38-07:00,Iridium,46.86836,-114.04249,973,2.6,3D Validated,Mortality No Radius,-4,3.36,3.6,
89195,2023-12-17 08:00:22,2023-12-17 01:00:22-07:00,2023-12-17 12:01:57,2023-12-17 05:01:57-07:00,Iridium,46.86846,-114.0425,954,2,3D Validated,Mortality No Radius,-4,3.36,3.6,
89195,2023-12-17 07:00:46,2023-12-17 00:00:46-07:00,2023-12-17 12:01:57,2023-12-17 05:01:57-07:00,Iridium,46.86832,-114.04244,966,2.2,3D Validated,Mortality No Radius,-4,3.36,3.6,
89195,2023-12-17 06:00:41,2023-12-16 23:00:41-07:00,2023-12-17 12:01:57,2023-12-17 05:01:57-07:00,Iridium,46.868347,-114.042564,946,2,3D Validated,Mortality No Radius,-4,3.36,3.6,
89195,2023-12-17 05:00:13,2023-12-16 22:00:13-07:00,2023-12-17 12:01:57,2023-12-17 05:01:57-07:00,Iridium,46.868393,-114.04249,942,3,3D Validated,Mortality No Radius,-4,3.28,3.6,
89195,2023-12-17 04:00:39,2023-12-16 21:00:39-07:00,2023-12-17 12:02:07,2023-12-17 05:02:07-07:00,Iridium,46.868347,-114.04265,982,2.2,3D Validated,Mortality No Radius,-3,3.28,3.6,
89195,2023-12-17 02:42:39,2023-12-16 19:42:39-07:00,2023-12-17 12:02:07,2023-12-17 05:02:07-07:00,Iridium,46.86839,-114.042366,964,1.8,3D Validated,Mortality No Radius,-1,3.2,3.6,
89195,2023-12-17 02:13:07,2023-12-16 19:13:07-07:00,2023-12-17 02:22:32,2023-12-16 19:22:32-07:00,Iridium,46.868355,-114.04247,998,2.2,3D Validated,Mortality No Radius,-2,3.2,3.6,
89195,2023-12-17 01:42:41,2023-12-16 18:42:41-07:00,2023-12-17 01:45:52,2023-12-16 18:45:52-07:00,Iridium,46.868355,-114.04252,987,1.8,3D Validated,Mortality No Radius,-1,3.2,3.6,
89195,2023-12-17 01:12:42,2023-12-16 18:12:42-07:00,2023-12-17 01:16:09,2023-12-16 18:16:09-07:00,Iridium,46.868374,-114.04247,971,2.2,3D Validated,Mortality No Radius,0,3.2,3.6,
89195,2023-12-17 00:43:12,2023-12-16 17:43:12-07:00,2023-12-17 00:52:14,2023-12-16 17:52:14-07:00,Iridium,46.868362,-114.04244,964,2.8,3D Validated,Mortality No Radius,-2,3.28,3.6,
89195,2023-12-17 00:12:41,2023-12-16 17:12:41-07:00,2023-12-17 00:52:14,2023-12-16 17:52:14-07:00,Iridium,46.868374,-114.042404,974,2.6,3D Validated,Mortality No Radius,-2,3.36,3.6,
89195,2023-12-16 23:42:40,2023-12-16 16:42:40-07:00,2023-12-16 23:43:36,2023-12-16 16:43:36-07:00,Iridium,46.868378,-114.04239,957,1.8,3D Validated,Mortality No Radius,-1,3.36,3.6,
89195,2023-12-16 23:12:39,2023-12-16 16:12:39-07:00,2023-12-16 23:14:18,2023-12-16 16:14:18-07:00,Iridium,46.868374,-114.042366,985,2,3D Validated,Mortality No Radius,-1,3.36,3.6,
89195,2023-12-16 22:43:07,2023-12-16 15:43:07-07:00,2023-12-16 23:14:18,2023-12-16 16:14:18-07:00,Iridium,46.868412,-114.04243,973,2.6,3D Validated,Mortality No Radius,0,3.36,3.6,
89195,2023-12-16 22:12:47,2023-12-16 15:12:47-07:00,2023-12-16 23:14:18,2023-12-16 16:14:18-07:00,Iridium,46.86827,-114.04229,984,2.4,3D Validated,Mortality No Radius,0,3.36,3.6,
89195,2023-12-16 21:42:41,2023-12-16 14:42:41-07:00,2023-12-16 23:14:18,2023-12-16 16:14:18-07:00,Iridium,46.86833,-114.04231,992,3,3D Validated,Mortality No Radius,-1,3.36,3.6,
89195,2023-12-16 21:13:14,2023-12-16 14:13:14-07:00,2023-12-16 23:14:28,2023-12-16 16:14:28-07:00,Iridium,46.868324,-114.042496,982,3.2,3D Validated,Mortality No Radius,-1,3.36,3.6,
89195,2023-12-16 15:00:11,2023-12-16 08:00:11-07:00,2023-12-16 23:14:28,2023-12-16 16:14:28-07:00,Iridium,46.868385,-114.04246,962,2,3D Validated,Nothing Detected,-6,3.44,3.6,
89195,2023-12-16 14:00:38,2023-12-16 07:00:38-07:00,2023-12-16 23:14:28,2023-12-16 16:14:28-07:00,Iridium,46.86839,-114.04245,958,1.6,3D Validated,Nothing Detected,-6,3.36,3.6,
