Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
89198,2024-05-05 05:00:37,2024-05-04 23:00:37-06:00,2024-05-05 06:00:46,2024-05-05 00:00:46-06:00,Iridium,46.69626,-113.88094,1685,4,3D Valid,Mortality,8,3.28,3.6,
89198,2024-05-05 04:00:12,2024-05-04 22:00:12-06:00,2024-05-05 06:00:46,2024-05-05 00:00:46-06:00,Iridium,46.69643,-113.88096,1651,2.4,3D Valid,Mortality,8,3.28,3.52,
89198,2024-05-05 03:00:38,2024-05-04 21:00:38-06:00,2024-05-05 06:00:46,2024-05-05 00:00:46-06:00,Iridium,46.69622,-113.88096,1662,2.8,3D Valid,Mortality,9,3.28,3.6,
89198,2024-05-05 02:00:15,2024-05-04 20:00:15-06:00,2024-05-05 02:00:44,2024-05-04 20:00:44-06:00,Iridium,46.69602,-113.88084,1703,7.2,3D Valid,Mortality,11,3.28,3.52,
89198,2024-05-05 01:00:37,2024-05-04 19:00:37-06:00,2024-05-05 02:00:44,2024-05-04 20:00:44-06:00,Iridium,46.69601,-113.88105,1693,4.6,3D Valid,Mortality,12,3.28,3.6,
89198,2024-05-05 00:00:16,2024-05-04 18:00:16-06:00,2024-05-05 02:00:44,2024-05-04 20:00:44-06:00,Iridium,46.69625,-113.88108,1671,3.6,3D Valid,Mortality,14,3.28,3.6,
89198,2024-05-04 23:00:38,2024-05-04 17:00:38-06:00,2024-05-05 02:00:44,2024-05-04 20:00:44-06:00,Iridium,46.69624,-113.88097,1677,3,3D Valid,Mortality,16,3.28,3.6,
89198,2024-05-04 22:00:15,2024-05-04 16:00:15-06:00,2024-05-04 22:00:43,2024-05-04 16:00:43-06:00,Iridium,46.69633,-113.88103,1678,2.6,3D Valid,Mortality,22,3.28,3.6,
89198,2024-05-04 21:00:35,2024-05-04 15:00:35-06:00,2024-05-04 22:00:43,2024-05-04 16:00:43-06:00,Iridium,46.69628,-113.88098,1670,2.2,3D Valid,Mortality,19,3.28,3.6,
89198,2024-05-04 20:00:16,2024-05-04 14:00:16-06:00,2024-05-04 22:00:43,2024-05-04 16:00:43-06:00,Iridium,46.69623,-113.88084,1730,5.8,3D Valid,Mortality,17,3.28,3.6,
89198,2024-05-04 19:00:36,2024-05-04 13:00:36-06:00,2024-05-04 22:00:43,2024-05-04 16:00:43-06:00,Iridium,46.69631,-113.88094,1678,2.2,3D Valid,Mortality,33,3.28,3.6,
89198,2024-05-04 18:00:12,2024-05-04 12:00:12-06:00,2024-05-04 22:00:52,2024-05-04 16:00:52-06:00,Iridium,46.69626,-113.88098,1683,2.6,3D Valid,Mortality,16,3.28,3.6,
89198,2024-05-04 17:00:38,2024-05-04 11:00:38-06:00,2024-05-04 22:00:52,2024-05-04 16:00:52-06:00,Iridium,46.69629,-113.88097,1674,2.6,3D Valid,Mortality,17,3.28,3.52,
89198,2024-05-04 16:00:14,2024-05-04 10:00:14-06:00,2024-05-04 22:00:52,2024-05-04 16:00:52-06:00,Iridium,46.69624,-113.88087,1688,5.2,3D Valid,Mortality,14,3.28,3.52,
89198,2024-05-04 15:00:13,2024-05-04 09:00:13-06:00,2024-05-04 22:00:52,2024-05-04 16:00:52-06:00,Iridium,46.69618,-113.88084,1658,1.8,3D Valid,Mortality,6,3.28,3.52,
89198,2024-05-04 14:00:38,2024-05-04 08:00:38-06:00,2024-05-04 22:01:00,2024-05-04 16:01:00-06:00,Iridium,46.69620,-113.88101,1675,4,3D Valid,Mortality,1,3.2,3.52,
89198,2024-05-04 13:00:16,2024-05-04 07:00:16-06:00,2024-05-04 22:01:00,2024-05-04 16:01:00-06:00,Iridium,46.69627,-113.88106,1673,2.6,3D Valid,Mortality,0,3.28,3.52,
89198,2024-05-04 12:00:38,2024-05-04 06:00:38-06:00,2024-05-04 22:01:00,2024-05-04 16:01:00-06:00,Iridium,46.69627,-113.88094,1663,4.8,3D Valid,Mortality,0,3.2,3.52,
89198,2024-05-04 11:00:15,2024-05-04 05:00:15-06:00,2024-05-04 22:01:00,2024-05-04 16:01:00-06:00,Iridium,46.69636,-113.88078,1672,6.8,3D Valid,Mortality,0,3.28,3.52,
89198,2024-05-04 10:00:42,2024-05-04 04:00:42-06:00,2024-05-04 10:01:34,2024-05-04 04:01:34-06:00,Iridium,46.69626,-113.88098,1655,4.8,3D Valid,Mortality,0,3.2,3.52,
89198,2024-05-04 09:00:13,2024-05-04 03:00:13-06:00,2024-05-04 10:01:34,2024-05-04 04:01:34-06:00,Iridium,46.69635,-113.88107,1685,2.2,3D Valid,Mortality,0,3.28,3.52,
89198,2024-05-04 08:00:36,2024-05-04 02:00:36-06:00,2024-05-04 10:01:34,2024-05-04 04:01:34-06:00,Iridium,46.69631,-113.88094,1678,9.6,3D Valid,Mortality,1,3.2,3.52,
89198,2024-05-04 07:00:12,2024-05-04 01:00:12-06:00,2024-05-04 10:01:34,2024-05-04 04:01:34-06:00,Iridium,46.69628,-113.88095,1678,2,3D Valid,Mortality,1,3.28,3.52,
89198,2024-05-04 05:39:08,2024-05-03 23:39:08-06:00,2024-05-04 05:39:33,2024-05-03 23:39:33-06:00,Iridium,46.69640,-113.88107,1676,3.8,3D Valid,Mortality,1,3.2,3.52,
89198,2024-05-04 05:09:20,2024-05-03 23:09:20-06:00,2024-05-04 05:39:33,2024-05-03 23:39:33-06:00,Iridium,46.69628,-113.88098,1692,3.8,3D Valid,Mortality,2,3.2,3.52,
