Collar ID,Acq. Time [UTC],Acq. Time [MST],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40879,2023-03-07 19:44:18,2023-03-07 13:44:18,2023-03-07 19:45:48,2023-03-07 12:45:48-07:00,Iridium,46.75384,-113.96004,1461,3.8,3D Validated,Nothing Detected,10,3.2,3.6,Animal with Collar 40879
40879,2023-01-22 16:02:54,2023-01-22 10:02:54,2023-01-24 20:44:25,2023-01-24 13:44:25-07:00,Iridium,46.75377,-113.96014,1434,4,3D Validated,Nothing Detected,12,3.28,3.6,Animal with Collar 40879
40879,2023-01-22 15:00:38,2023-01-22 9:00:38,2023-01-24 20:44:25,2023-01-24 13:44:25-07:00,Iridium,46.75378,-113.95998,1469,4,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40879
40879,2023-01-22 14:00:36,2023-01-22 8:00:36,2023-01-24 20:44:47,2023-01-24 13:44:47-07:00,Iridium,46.75385,-113.9601,1455,4.6,3D Validated,Nothing Detected,9,3.36,3.6,Animal with Collar 40879
40879,2023-01-22 13:00:36,2023-01-22 7:00:36,2023-01-24 20:44:47,2023-01-24 13:44:47-07:00,Iridium,46.75378,-113.96001,1459,4,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40879
40879,2023-01-22 12:01:36,2023-01-22 6:01:36,2023-01-24 20:44:47,2023-01-24 13:44:47-07:00,Iridium,46.75377,-113.96003,1455,3,3D Validated,Nothing Detected,12,3.28,3.6,Animal with Collar 40879
40879,2023-01-22 11:01:34,2023-01-22 5:01:34,2023-01-24 20:44:47,2023-01-24 13:44:47-07:00,Iridium,46.75352,-113.95975,1482,4.8,3D Validated,Nothing Detected,12,3.36,3.6,Animal with Collar 40879
40879,2023-01-22 10:03:00,2023-01-22 4:03:00,2023-01-24 20:44:59,2023-01-24 13:44:59-07:00,Iridium,46.75388,-113.96003,1439,10.6,3D,Nothing Detected,11,3.36,3.6,Animal with Collar 40879
40879,2023-01-22 3:01:11,2023-01-21 21:01:11,2023-01-24 20:45:08,2023-01-24 13:45:08-07:00,Iridium,46.7538,-113.96014,1452,7.4,3D Validated,Nothing Detected,14,3.36,3.6,Animal with Collar 40879
40879,2023-01-22 0:01:06,2023-01-21 18:01:06,2023-01-24 20:45:23,2023-01-24 13:45:23-07:00,Iridium,46.7538,-113.96004,1447,3.2,3D Validated,Nothing Detected,13,3.28,3.6,Animal with Collar 40879
40879,2023-01-21 23:03:02,2023-01-21 17:03:02,2023-01-24 20:45:23,2023-01-24 13:45:23-07:00,Iridium,46.75384,-113.9602,1443,12.4,3D,Nothing Detected,13,3.28,3.6,Animal with Collar 40879
40879,2022-10-26 4:00:17,2022-10-25 22:00:17,2022-10-26 4:00:58,2022-10-25 22:00:58-06:00,Iridium,46.75373,-113.95992,1476,3.8,3D Validated,Nothing Detected,9,3.36,3.6,Animal with Collar 40879
40879,2022-10-26 3:00:38,2022-10-25 21:00:38,2022-10-26 4:00:58,2022-10-25 22:00:58-06:00,Iridium,46.7538,-113.96008,1455,3,3D Validated,Nothing Detected,11,3.28,3.6,Animal with Collar 40879
40879,2022-10-26 2:00:40,2022-10-25 20:00:40,2022-10-26 4:00:58,2022-10-25 22:00:58-06:00,Iridium,46.75383,-113.96005,1457,2.6,3D Validated,Nothing Detected,10,3.36,3.6,Animal with Collar 40879
